"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0.333333333333333,0,0,0
"maleAgeClass 2",0.333333333333333,0,0,0
"maleAgeClass 3",6.33333333333333,1,0.333333333333333,1
"maleAgeClass 4",15.6666666666667,0,1.33333333333333,1
"maleAgeClass 5",78.6666666666667,3,4.33333333333333,4
"maleAgeClass 6",126.333333333333,1.33333333333333,6.66666666666667,9.33333333333333
"maleAgeClass 7",193,0.333333333333333,8.66666666666667,13.6666666666667
"maleAgeClass 8",452,2.66666666666667,18.3333333333333,19.3333333333333
"femaleAgeClass 1",1,0,0,0
"femaleAgeClass 2",0.333333333333333,0,0,0
"femaleAgeClass 3",1.66666666666667,0,0.333333333333333,1
"femaleAgeClass 4",7,0.333333333333333,1.33333333333333,0.333333333333333
"femaleAgeClass 5",46.6666666666667,2,2,3.33333333333333
"femaleAgeClass 6",91.3333333333333,1.66666666666667,4.33333333333333,4.33333333333333
"femaleAgeClass 7",164.666666666667,1,6,6
"femaleAgeClass 8",629.333333333333,2.66666666666667,22.6666666666667,23
