"","deaths_Quint1","deaths_Quint2","deaths_Quint3","deaths_Quint4"
"maleAgeClass 1",3.33333333333333,0.333333333333333,1.33333333333333,1
"maleAgeClass 2",1,0.666666666666667,0.666666666666667,0.666666666666667
"maleAgeClass 3",20,17.6666666666667,16.6666666666667,10.6666666666667
"maleAgeClass 4",29.6666666666667,34.6666666666667,42.6666666666667,35
"maleAgeClass 5",200,177,224.333333333333,206
"maleAgeClass 6",236.666666666667,262.666666666667,267.666666666667,242.333333333333
"maleAgeClass 7",362,436.666666666667,345.666666666667,191.666666666667
"maleAgeClass 8",917.666666666667,899.666666666667,539.333333333333,293.333333333333
"femaleAgeClass 1",2.33333333333333,2.33333333333333,1.33333333333333,0.666666666666667
"femaleAgeClass 2",0,0.333333333333333,0.333333333333333,0
"femaleAgeClass 3",9.33333333333333,8,5,5.33333333333333
"femaleAgeClass 4",19.3333333333333,21.6666666666667,20.6666666666667,19.3333333333333
"femaleAgeClass 5",119.333333333333,122.333333333333,125,120.666666666667
"femaleAgeClass 6",164.666666666667,214,181.333333333333,148
"femaleAgeClass 7",349.666666666667,395.333333333333,267.666666666667,154.333333333333
"femaleAgeClass 8",1540.33333333333,1234.33333333333,733.333333333333,429
