"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",2.33333333333333,0.333333333333333,1,2.33333333333333
"maleAgeClass 2",1.66666666666667,0.333333333333333,0,1
"maleAgeClass 3",32.3333333333333,9,8,15.6666666666667
"maleAgeClass 4",74,20,19,29
"maleAgeClass 5",575.333333333333,91.3333333333333,65.3333333333333,75.3333333333333
"maleAgeClass 6",752,87,96,74.3333333333333
"maleAgeClass 7",1032,89,110.666666666667,104.333333333333
"maleAgeClass 8",2171.33333333333,90,231.333333333333,155.333333333333
"femaleAgeClass 1",1.33333333333333,1.66666666666667,0.666666666666667,3
"femaleAgeClass 2",0.333333333333333,0,0,0.333333333333333
"femaleAgeClass 3",14.3333333333333,4,1.33333333333333,8
"femaleAgeClass 4",40.6666666666667,17.3333333333333,12,11
"femaleAgeClass 5",324.666666666667,85,38.6666666666667,39
"femaleAgeClass 6",529.333333333333,71.3333333333333,62.6666666666667,44
"femaleAgeClass 7",908,82.3333333333333,101,75.6666666666667
"femaleAgeClass 8",3330.33333333333,146.666666666667,274.666666666667,185
