"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0,0,0,0.333333333333333
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",2.66666666666667,0,0,0.666666666666667
"maleAgeClass 4",4,0,1,3
"maleAgeClass 5",28.6666666666667,1.66666666666667,4.66666666666667,5.66666666666667
"maleAgeClass 6",37.3333333333333,1,5.33333333333333,3
"maleAgeClass 7",48,0.666666666666667,10,6
"maleAgeClass 8",99.3333333333333,2,10.3333333333333,9.66666666666667
"femaleAgeClass 1",0,0,0,0.333333333333333
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",1.33333333333333,0.333333333333333,0,1
"femaleAgeClass 4",2.33333333333333,0,0.666666666666667,1.66666666666667
"femaleAgeClass 5",16.3333333333333,0.666666666666667,1.33333333333333,1.66666666666667
"femaleAgeClass 6",29,0,3,1
"femaleAgeClass 7",40.3333333333333,0.333333333333333,5.33333333333333,3.66666666666667
"femaleAgeClass 8",157.666666666667,1.33333333333333,16.6666666666667,8
