"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0.333333333333333
"maleAgeClass 3",0.333333333333333,0.666666666666667,0.666666666666667,2
"maleAgeClass 4",4.66666666666667,0.333333333333333,1.33333333333333,4.33333333333333
"maleAgeClass 5",33,3.33333333333333,5,7.33333333333333
"maleAgeClass 6",48.6666666666667,1,2,9.33333333333333
"maleAgeClass 7",69.6666666666667,1.33333333333333,4.33333333333333,12.3333333333333
"maleAgeClass 8",133.666666666667,3,9.66666666666667,18.3333333333333
"femaleAgeClass 1",0,0,0.333333333333333,0.666666666666667
"femaleAgeClass 2",0,0,0,0.333333333333333
"femaleAgeClass 3",1,0.333333333333333,0,1.33333333333333
"femaleAgeClass 4",3,0,2.33333333333333,0
"femaleAgeClass 5",24.3333333333333,1,2.66666666666667,3.66666666666667
"femaleAgeClass 6",38,2.66666666666667,3.33333333333333,4
"femaleAgeClass 7",53.6666666666667,0,6.33333333333333,15
"femaleAgeClass 8",230.666666666667,3.66666666666667,13.6666666666667,26
