,0,1,2,3,4,NHW
0~4,0,0,0,0,0,male
5~14,0,0,0,0,0,
15~29,53.95,31.68333333,61.1,56.75,41,
30~44,55.7,52.4,55.75,57,49.2,
45~59,46.55,53.2,58.225,42.26666667,44.8,
60~69,20.5,41,20.5,33.825,30.75,
70~79,8.75,22.75,6.25,4.375,0,
80+,10,5,5,0,0,
0~4,0,0,0,0,0,female
5~14,0,0,0,0,0,
15~29,35.875,45.1,38.95,30.75,41,
30~44,41,42.9,41,41,41,
45~59,51.6,43.85,41,41,27.8,
60~69,25.5,37.625,16.4,21,6,
70~79,9.333333333,5.125,0,0,1.25,
80+,2.916666667,0,0,0,0,
,,,,,,
,0,1,2,3,4,NHB
0~4,1,1,1,1,1,male
5~14,0,0,0,0,0,
15~29,53.95,31.68333333,61.1,56.75,41,
30~44,55.7,52.4,55.75,57,49.2,
45~59,46.55,53.2,58.225,42.26666667,44.8,
60~69,20.5,41,20.5,33.825,30.75,
70~79,8.75,22.75,6.25,4.375,0,
80+,10,5,5,0,0,
0~4,0,0,0,0,0,female
5~14,0,0,0,0,0,
15~29,35.875,45.1,38.95,30.75,41,
30~44,41,42.9,41,41,41,
45~59,51.6,43.85,41,41,27.8,
60~69,25.5,37.625,16.4,21,6,
70~79,9.333333333,5.125,0,0,1.25,
80+,2.916666667,0,0,0,0,
,,,,,,
,0,1,2,3,4,NHO
0~4,2,2,2,2,2,male
5~14,0,0,0,0,0,
15~29,53.95,31.68333333,61.1,56.75,41,
30~44,55.7,52.4,55.75,57,49.2,
45~59,46.55,53.2,58.225,42.26666667,44.8,
60~69,20.5,41,20.5,33.825,30.75,
70~79,8.75,22.75,6.25,4.375,0,
80+,10,5,5,0,0,
0~4,0,0,0,0,0,female
5~14,0,0,0,0,0,
15~29,35.875,45.1,38.95,30.75,41,
30~44,41,42.9,41,41,41,
45~59,51.6,43.85,41,41,27.8,
60~69,25.5,37.625,16.4,21,6,
70~79,9.333333333,5.125,0,0,1.25,
80+,2.916666667,0,0,0,0,
,,,,,,
,0,1,2,3,4,HO
0~4,3,3,3,3,3,male
5~14,0,0,0,0,0,
15~29,53.95,31.68333333,61.1,56.75,41,
30~44,55.7,52.4,55.75,57,49.2,
45~59,46.55,53.2,58.225,42.26666667,44.8,
60~69,20.5,41,20.5,33.825,30.75,
70~79,8.75,22.75,6.25,4.375,0,
80+,10,5,5,0,0,
0~4,0,0,0,0,0,female
5~14,0,0,0,0,0,
15~29,35.875,45.1,38.95,30.75,41,
30~44,41,42.9,41,41,41,
45~59,51.6,43.85,41,41,27.8,
60~69,25.5,37.625,16.4,21,6,
70~79,9.333333333,5.125,0,0,1.25,
80+,2.916666667,0,0,0,0,
