Disease,Age,deaths,yll,yld,daly
BreastCancer,maleAgeClass 1,0,0,0,0
BreastCancer,maleAgeClass 2,0,0,0,0
BreastCancer,maleAgeClass 3,0,0,0,0
BreastCancer,maleAgeClass 4,0,0,0,0
BreastCancer,maleAgeClass 5,0,0,0,0
BreastCancer,maleAgeClass 6,0,0,0,0
BreastCancer,maleAgeClass 7,0,0,0,0
BreastCancer,maleAgeClass 8,0,0,0,0
BreastCancer,femaleAgeClass 1,0,0,0,0
BreastCancer,femaleAgeClass 2,0,0,0,0
BreastCancer,femaleAgeClass 3,94.71693,5665.139,300.30263,5965.436
BreastCancer,femaleAgeClass 4,2492.761,116347.2,8597.745,124945
BreastCancer,femaleAgeClass 5,10670.67,361032,42267.2,403300
BreastCancer,femaleAgeClass 6,9557.96,223173.7,39838.8,263012
BreastCancer,femaleAgeClass 7,8317.74,122873.9,34594.9,157468.8
BreastCancer,femaleAgeClass 8,11428,62575,35683.2,98258.2
ColonCancer,maleAgeClass 1,0,0,0,0
ColonCancer,maleAgeClass 2,0,0,0,0
ColonCancer,maleAgeClass 3,103.2166,6312.104,146.8891,6458.99
ColonCancer,maleAgeClass 4,803.8,37653.11,1298.805,38951.86
ColonCancer,maleAgeClass 5,5451.97,181482.4,8305.17,189787.6
ColonCancer,maleAgeClass 6,7354.05,170263.3,9603.35,179866.7
ColonCancer,maleAgeClass 7,8376.92,123770.5,9438.77,133209.2
ColonCancer,maleAgeClass 8,9741.37,62005.5,8061.82,70067.4
ColonCancer,femaleAgeClass 1,0,0,0,0
ColonCancer,femaleAgeClass 2,0,0,0,0
ColonCancer,femaleAgeClass 3,67.92313,4136.263,116.4747,4252.738
ColonCancer,femaleAgeClass 4,702.6633,32869.55,1243.095,34112.62
ColonCancer,femaleAgeClass 5,4273.837,142695,6929.54,149624.6
ColonCancer,femaleAgeClass 6,5497.69,126962.6,7703.3,134665.8
ColonCancer,femaleAgeClass 7,7400.1,108048.7,8795.95,116844.7
ColonCancer,femaleAgeClass 8,14135,77397.7,11593.9,88991.6
CVD,maleAgeClass 1,78.3726,6657.37,58.7448,6716.12
CVD,maleAgeClass 2,45.1253,3401.45,246.527,3647.97
CVD,maleAgeClass 3,601.8319,37229.52,6142.679,43372.26
CVD,maleAgeClass 4,5425.509,252192.7,25697.02,277889.2
CVD,maleAgeClass 5,37320.83,1247929,93788.5,1341717
CVD,maleAgeClass 6,46256.5,1072270,91209.7,1163480
CVD,maleAgeClass 7,60668.2,886284,78977.7,965262
CVD,maleAgeClass 8,127113,809099,67471,876570
CVD,femaleAgeClass 1,61.2144,5196.62,22.8568,5219.47
CVD,femaleAgeClass 2,30.7429,2337.22,126.186,2463.41
CVD,femaleAgeClass 3,243.5378,15107.02,4036.587,19143.61
CVD,femaleAgeClass 4,2039.413,94878.6,19350.24,114228.8
CVD,femaleAgeClass 5,13597.68,452097,72390.3,524487
CVD,femaleAgeClass 6,23268.7,534482,71881.4,606363
CVD,femaleAgeClass 7,44649.8,642094,68504.9,710599
CVD,femaleAgeClass 8,201486,1103260,85129,1188380
Dementia,maleAgeClass 1,0,0,0,0
Dementia,maleAgeClass 2,19.4324,1481.545,0,1481.545
Dementia,maleAgeClass 3,19.06353,1221.849,0,1221.849
Dementia,maleAgeClass 4,40.68663,1910.975,294.927,2205.905
Dementia,maleAgeClass 5,521.618,16764.24,23878.56,40642.72
Dementia,maleAgeClass 6,2246.423,50685.7,37513.1,88198.9
Dementia,maleAgeClass 7,9678.02,136846.8,71693.5,208540.6
Dementia,maleAgeClass 8,38971.6,248061,172288,420349
Dementia,femaleAgeClass 1,0,0,0,0
Dementia,femaleAgeClass 2,15.08719,1154.149,0,1154.149
Dementia,femaleAgeClass 3,13.38456,859.191,0,859.191
Dementia,femaleAgeClass 4,32.00333,1512.452,344.996,1857.446
Dementia,femaleAgeClass 5,485.4946,15556.44,32693.96,48250.37
Dementia,femaleAgeClass 6,2182.666,49122.5,51734.1,100856.6
Dementia,femaleAgeClass 7,11473.4,160299.5,102646.9,262946.1
Dementia,femaleAgeClass 8,92582.4,506944,336824,843768
Depression,maleAgeClass 1,0,0,53.2081,53.2081
