Disease,Age,deaths,yll,yld,daly,US,deaths_nhw,deaths_nhb,deaths_nhothers,deaths_ho,Target
BreastCancer,maleAgeClass 1,0,0,0,0,,0,1,2,3,
BreastCancer,maleAgeClass 2,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 3,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 4,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 5,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 6,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 7,0,0,0,0,,0,0,0,0,
BreastCancer,maleAgeClass 8,0,0,0,0,,0,0,0,0,
BreastCancer,femaleAgeClass 1,0,0,0,0,,0,0,0,0,
BreastCancer,femaleAgeClass 2,0,0,0,0,,0,0,0,0,
BreastCancer,femaleAgeClass 3,94.71693,5665.139,300.30263,5965.436,,0.764500969,0.764500969,0.764500969,0.764500969,
BreastCancer,femaleAgeClass 4,2492.761,116347.2,8597.745,124945,,16.76730548,16.76730548,16.76730548,16.76730548,
BreastCancer,femaleAgeClass 5,10670.67,361032,42267.2,403300,,73.91302053,73.91302053,73.91302053,73.91302053,
BreastCancer,femaleAgeClass 6,9557.96,223173.7,39838.8,263012,,71.17540273,71.17540273,71.17540273,71.17540273,
BreastCancer,femaleAgeClass 7,8317.74,122873.9,34594.9,157468.8,,54.40824644,54.40824644,54.40824644,54.40824644,
BreastCancer,femaleAgeClass 8,11428,62575,35683.2,98258.2,,74.9395044,74.9395044,74.9395044,74.9395044,
ColonCancer,maleAgeClass 1,0,0,0,0,,0,0,0,0,
ColonCancer,maleAgeClass 2,0,0,0,0,,0,0,0,0,
ColonCancer,maleAgeClass 3,103.2166,6312.104,146.8891,6458.99,,0.647760845,0.647760845,0.647760845,0.647760845,
ColonCancer,maleAgeClass 4,803.8,37653.11,1298.805,38951.86,,4.83802935,4.83802935,4.83802935,4.83802935,
ColonCancer,maleAgeClass 5,5451.97,181482.4,8305.17,189787.6,,22.10586519,22.10586519,22.10586519,22.10586519,
ColonCancer,maleAgeClass 6,7354.05,170263.3,9603.35,179866.7,,28.84545677,28.84545677,28.84545677,28.84545677,
ColonCancer,maleAgeClass 7,8376.92,123770.5,9438.77,133209.2,,35.31543519,35.31543519,35.31543519,35.31543519,
ColonCancer,maleAgeClass 8,9741.37,62005.5,8061.82,70067.4,,44.48145289,44.48145289,44.48145289,44.48145289,
ColonCancer,femaleAgeClass 1,0,0,0,0,,0,0,0,0,
ColonCancer,femaleAgeClass 2,0,0,0,0,,0,0,0,0,
ColonCancer,femaleAgeClass 3,67.92313,4136.263,116.4747,4252.738,,0.446264687,0.446264687,0.446264687,0.446264687,
ColonCancer,femaleAgeClass 4,702.6633,32869.55,1243.095,34112.62,,4.393748775,4.393748775,4.393748775,4.393748775,
ColonCancer,femaleAgeClass 5,4273.837,142695,6929.54,149624.6,,21.72632096,21.72632096,21.72632096,21.72632096,
ColonCancer,femaleAgeClass 6,5497.69,126962.6,7703.3,134665.8,,23.11900363,23.11900363,23.11900363,23.11900363,
