"","bike","walk","motorcycle","car","bus","truck","one-party",""
"bike","0","0","0","1.2","0","0","0","local fatal"
"walk","0","0","0","0","0.4","0","0","local fatal"
"motorcycle","0","0","0","0","0","0","0","local fatal"
"car","0.4","1.6","0.6","0.4","0.8","0","4.8","local fatal"
"bus","0.8","0.4","0.2","0.6","0.4","0","0.8","local fatal"
"truck","0","0","0","0","0.6","0","0","local fatal"
"bike","0","0","0","0","0","0","0","arterial fatal"
"walk","0","0","0","0","0","0","0","arterial fatal"
"motorcycle","0","0","0","0","0","0","0.6","arterial fatal"
"car","0","0","0","1.2","0.8","0","1.6","arterial fatal"
"bus","0","0.2","0","2","0.2","0","1","arterial fatal"
"truck","0","0","0","0","0","0","0","arterial fatal"
"bike","0","0","0","0","0","0","0","highway fatal"
"walk","0","0","0","0","0","0","0","highway fatal"
"motorcycle","0","0","0","0","0","0","0","highway fatal"
"car","0","0","0","2","0.4","0","1.2","highway fatal"
"bus","0","0.2","0","0.8","0","0","0.6","highway fatal"
"truck","0","0","0","0","0","0","0","highway fatal"
"bike","0","0","0","0.4","0.4","0","0","local serious"
"walk","0","0","0","0.4","0.2","0","0","local serious"
"motorcycle","0","0.2","0.2","0.6","0","0","4.2","local serious"
"car","1.8","2.6","1.8","5.8","2.8","0","14.4","local serious"
"bus","0.4","1.2","0.4","2.4","0.6","0","3.4","local serious"
"truck","0","0","0","0","1.2","0","0","local serious"
"bike","0","0","0","0","0","0","0","arterial serious"
"walk","0","0","0","0","0","0","0","arterial serious"
"motorcycle","0","0","0.2","0.2","0","0","0.8","arterial serious"
"car","0","0","0.6","4","0.6","0","4.4","arterial serious"
"bus","0.2","0","0.2","2","0.8","0","1","arterial serious"
"truck","0","0","0","0","0","0","0","arterial serious"
"bike","0","0","0","0","0","0","0","highway serious"
"walk","0","0","0","0.4","0","0","0","highway serious"
"motorcycle","0","0","0","0","0","0","1.6","highway serious"
"car","0","0.2","0.2","2","0.6","0","7.6","highway serious"
"bus","0.2","0.2","0","2","0.2","0","1.2","highway serious"
"truck","0","0","0","0","0","0","0","highway serious"
