"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"2398513",-120.896345819,38.8160209656,2006,"0900","4","7","3","01",0,1,"B",,,,,"Y",300,1,"E","I","A","MARSHALL RD","PROSPECTORS RD",2112,"N","N","2006-05-04",9245,"2006-01-01",20,"12720",,"3","9","0","2",,"1","021","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","D","D","0","Y","A","07",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2414723",-120.838928991,38.8588752747,2006,"0900","5","2","4","05",0,1,"B",,,,,,2400,1,"E","I","A","BLACK OAK MINE RD","RT 193",1742,"W","N","2006-05-23",9245,"2006-01-03",2210,"01189",,"3","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",21650,,"N","A","H","-","D","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2415942",-120.07232188,38.82110549,2006,"0900","2","7","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 50","SIERRA AT TAHOE RD",528,"E","N","2006-06-16",9246,"2006-01-08",1636,"01005",,"2","9","0","1",,"1","021","-","Y","ED",3,50,"-","-",63.91,"H","-","W","N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2415981",-120.089238805,38.950580499,2006,"0900","3","7","3","17",0,2,"A",,,,,,300,1,"F","A","A","RT 89","EAGLE POINT CMPGRD",528,"S","N","2006-07-12",9246,"2006-01-01",110,"01270",,"3","9","0","1",,"1","030","-","Y","ED",3,89,"-","-",15.33,"H","-","S","Y",1,"A","-",21662,,"N","C","H","-","D","D","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2418734",-120.893113032,38.6707458496,2006,"0900","4","5","3","05",0,1,"A",,,,,,1800,1,"D","C","A","MOTHER LODE DR","FAWN ST",0,,"Y","2006-05-04",9245,"2006-01-06",1640,"01161",,"2","9","0","2",,"1","039","-","N",,0,0,,,0,,,,"Y",2,"A","-",21460,"B","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2418742",-121.008088945,38.6951065063,2006,"0900","5","7","3","05",0,3,"C",,,,,,300,1,"E","I","A","BASS LAKE RD","PARKDALE LN",528,"S","N","2006-05-04",9245,"2006-01-08",120,"01082",,"3","9","0","3",,"2","001","-","N",,0,0,,,0,,,,"Y",1,"A","-",21650,,"N","B","H","-","D","D","0","Y","A","01",0,1,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2422886",-120.44006125,38.76867933,2006,"0900","2","1","4","05",0,1,"A",,,,,,1200,1,"E","I","A","RT 50","ICE HOUSE RD",4,"E","N","2006-06-16",9245,"2006-01-09",1100,"11480",,"1","9","0","1",,"1","160","-","Y","ED",3,50,"-","-",40.19,"H","-","E","Y",1,"A","-",21650,,"N","B","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2422901",-120.950073439,38.660276031,2006,"0900","2","7","4","18",0,1,"A",,,"Y",,,1200,1,"F","A","A","RT 50","CAMERON PARK DR",5174,"E","N","2006-06-16",9245,"2006-01-15",1150,"10717",,"1","9","0","1",,"2","110","-","Y","ED",3,50,"-","-",7.57,"H","-","W","N",1,"C","-",0,,"N","A","H","-","A","D","1","Y","-","-",0,0,1,0,0,0,0,0,1,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2422925",-120.82303462,38.7012519836,2006,"0900","4","2","1","11",1,1,"B","Y",,,,,2100,1,"G","B","D","MISSOURI FLAT RD","WEDGE HILL RD",50,"N","N","2007-06-19",9245,"2006-01-03",1805,"01038",,"2","9","0","2",,"1","037","-","N",,0,0,,,0,,,,"Y",2,"A","-",21950,"B","N","A","H","-","D","D","0","Y","N","60",0,0,1,1,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2422930",-120.852558291,38.651151845,2006,"0900","3","6","3","03",0,2,"B",,,,,,900,1,"E","C","A","RT 49","ORE CT",6336,"N","N","2006-05-30",9245,"2006-01-07",601,"01334",,"1","9","0","1",,"1","135","-","Y","ED",3,49,"-","-",7.4,"H","-","S","Y",2,"A","-",22350,,"N","B","C","-","D","D","0","Y","D","22",0,1,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
