"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"2415378",-121.661063544,39.275449361,2006,"5101","0","1","4","04",0,1,"B",,,,,,1800,1,"C","C","A","RT 99","PENNINGTON RD",200,"S","N","2006-06-26",5100,"2006-01-02",1655,"2152","5101","5","2","0","0",,"0","002","-","Y","SUT",3,99,"-","-",40.21,"H","-","N","N",3,"A","-",21703,,"N","B","H","-","A","A","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","LIVE OAK","SUTTER","CA",0,0
"2421529",0,0,2006,"5102","0","7","4","08",0,1,"C",,,,,,1200,1,"D","C","A","WALTON AV","SAMS CLUB WY",15,"N","N","2006-05-05",5102,"2006-01-01",1144,"4040","5102","5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","B","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"2421589",-121.621395463,39.158241272,2006,"5102","0","4","4","03",0,2,"A",,,,,,1200,1,"C","C","A","LIVE OAK BL","NORTHGATE DR",440,"S","N","2006-05-04",5102,"2006-01-05",1038,"4057","5102","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","D","22",0,0,2,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"2422804",-121.638719039,39.211769104,2006,"5100","4","6","3","08",0,1,"B",,,,,,900,1,"E","I","A","LIVE OAK BL","MORSE RD",85,"N","N","2006-05-08",9285,"2006-01-07",800,"10790",,"1","9","0","2",,"1","073","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","B","H","-","A","D","0","Y","A","08",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"2422871",-121.610083187,39.00353515,2006,"5100","3","4","4","09",0,2,"E",,,,,,600,1,"D","C","A","RT 99","GARDEN HWY",0,,"Y","2006-06-26",9285,"2006-01-12",540,"01015",,"3","9","0","1",,"1","011","-","Y","SUT",3,99,"-","R",19.688,"I","5","S","Y",2,"A","-",21802,"A","N","B","H","-","D","A","0","Y","D","23",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"2433417",-121.540288464,38.749752427,2006,"5100","3","7","3","03",0,1,"B",,,"Y",,,1500,1,"E","I","A","RT 99","RIEGO RD",50,"S","N","2006-06-26",9285,"2006-01-01",1315,"01223",,"1","9","0","1",,"1","011","G","Y","SUT",3,99,"-","-",0.94,"H","-","N","Y",1,"A","-",22350,,"N","A","H","-","A","D","5","Y","C","02",0,1,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"2433420",-121.833220011,39.1569137573,2006,"5100","5","5","4","05",0,1,"B",,,,,,1200,1,"E","I","A","WEST BUTTE RD","SOUTH BUTTE RD",2376,"N","N","2006-05-19",9285,"2006-01-13",925,"11077",,"1","9","0","3",,"2","007","-","N",,0,0,,,0,,,,"Y",1,"A","-",21650,,"N","A","H","-","A","A","0","Y","D","23",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"2433425",-121.636951988,39.202878012,2006,"5100","3","5","3","08",0,1,"A",,,,,,300,1,"E","J","A","RT 99","EAGER RD",3168,"N","N","2006-06-26",9285,"2006-01-13",55,"15048",,"3","9","0","1",,"1","071","-","Y","SUT",3,99,"-","R",34.55,"H","-","N","Y",1,"A","-",22107,,"N","A","H","-","D","D","1","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"2434315",-121.620270589,39.1563720703,2006,"5102","0","1","4","18",0,1,"C",,,,,,1500,1,"H","H","A","LIVE OAK BL","CASSIDY AV",150,"S","N","2006-05-31",5102,"2006-01-02",1212,"4057","5102","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",1,"C","-",0,,"N","B","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"2436023",-121.623493206,39.1361045837,2006,"5102","0","5","4","06",0,3,"A",,,,,,1500,1,"B","C","A","COOPER AV","FREMONT WY",0,,"Y","2006-05-10",5102,"2006-01-06",1316,"4045","5102","5","4","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21755,,"N","A","H","-","A","D","0","Y","-","-",0,0,3,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
