"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"2415380",-121.76446482,38.5622329712,2006,"5701","0","4","2","21",0,1,"A","Y",,,,,900,1,"G","B","E","SYCAMORE LN","ALVARADO AV",250,"N","N","2006-05-20",5701,"2006-01-05",655,"36","5701","5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",22106,,"N","A","H","-","A","A","0","Y","-",,1,0,0,0,1,0,0,0,0,"-","-","DAVIS","YOLO","CA",0,0
"2421764",-121.798496888,38.5468978882,2006,"5700","5","7","4","03",0,1,"B",,,,,,1800,1,"C","C","A","RUSSELL BL","PATWIN RD",330,"W","N","2006-05-09",9280,"2006-01-08",1655,"11706",,"2","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",0,0
"2421772",-121.953133181,38.527495085,2006,"5702","1","2","4","08",0,1,"B",,,,,,1500,1,"E","I","A","RT 505","RT 128",217,"S","N","2006-05-30",9280,"2006-01-03",1225,"01322",,"1","2","0","1",,"2","031","-","Y","YOL",3,505,"-","-",0.162,"R","2","S","N",1,"A","-",22107,,"N","B","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","WINTERS","YOLO","CA",0,0
"2421780",-121.552933722,38.574955119,2006,"5704","2","5","4","03",0,1,"B",,,,,,1800,1,"C","C","A","RT 50","HARBOR BL",1584,"W","N","2006-06-16",9280,"2006-01-06",1721,"11706",,"2","4","0","1",,"2","011","-","Y","YOL",3,50,"-","-",0.9,"H","-","E","Y",2,"A","-",22350,,"N","A","H","-","C","D","1","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"2422633",0,0,2006,"5701","0","2","4","21",0,1,"B",,,,,,1500,1,"C","C","A","F ST","8TH ST",22,,"N","2006-05-11",5701,"2006-01-10",1344,"62","5701","5","5","0","0",,"0","0IV","-","N",,0,0,,,0,,,,"N",2,"A","-",22106,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",0,0
"2425445",-122.056164908,38.7077347686,2006,"5700","3","2","3","03",0,1,"B",,,,,,900,1,"C","E","A","RT 16","2ND ST",600,"W","N","2006-05-30",9280,"2006-01-03",715,"15492",,"1","9","0","1",,"2","034","-","Y","YOL",3,16,"-","-",25.25,"H","-","E","Y",2,"A","-",22350,,"N","B","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",0,0
"2428480",-121.969986283,38.7688751221,2006,"5700","5","3","3","08",0,1,"A",,,,,,2400,1,"E","I","A","COUNTY ROAD 89","RT 16",6336,"N","N","2006-05-08",9280,"2006-01-11",2330,"15010",,"3","9","0","3",,"2","003","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"M","A","H","-","C","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",0,0
"2433448",-121.786856448,38.6788749695,2006,"5703","0","1","2","11",0,1,"A","Y",,,,"Y",2400,1,"G","B","D","W COURT ST","CALIFORNIA ST",510,"E","N","2006-05-23",5703,"2006-01-16",2100,"891","62","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","C","D","0","Y","N",,1,0,0,0,1,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433456",-121.747023168,38.6771469116,2006,"5703","0","5","4","-",0,1,"A",,,,,,1800,1,"D","C","A","EAST MAIN ST","PIONEER AV",0,,"Y","2006-05-23",5703,"2006-01-06",1540,"834","51","5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",0,,"N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433468",-121.742333166,38.6684036255,2006,"5703","0","5","4","09",0,1,"B",,,,,,1200,1,"D","C","A","E GUM AV","PIONEER AV",0,,"Y","2006-05-23",5703,"2006-01-13",1140,"835","33","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","D",,0,0,1,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433472",-121.76555317,38.6701469421,2006,"5703","0","5","4","09",0,1,"B",,,,,,1800,1,"A","C","A","EAST ST","PENDEGAST ST",0,,"Y","2006-05-23",5703,"2006-01-13",1513,"835","14","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433480",-121.770713171,38.6719932556,2006,"5703","0","7","3","12",0,1,"A",,,,,,1200,1,"D","C","A","CROSS ST","3RD ST",0,,"Y","2006-05-23",5703,"2006-01-08",1008,"862","12","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",22450,"A","N","A","H","-","A","A","0","Y","A",,0,1,0,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433503",-121.793123177,38.6920661926,2006,"5703","0","3","4","09",0,2,"B",,,,,,1200,1,"A","C","A","W KENTUCKY AV","N COTTONWOOD ST",0,,"Y","2006-05-19",5703,"2006-01-18",930,"808","64","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","B","H","-","A","D","0","Y","A",,0,0,2,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2433519",-121.770773171,38.6678848267,2006,"5703","0","3","3","09",0,1,"A",,,,,,1500,1,"D","C","A","MARSHALL AV","3RD ST",0,,"Y","2006-05-19",5703,"2006-01-04",1249,"845","14","5","4","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","A",,0,1,0,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2434805",0,0,2006,"5700","5","6","3","01",0,1,"C",,,,,"Y",1200,1,"E","I","A","COUNTY ROAD 24","COUNTY ROAD 97",1000,"W","N","2006-05-08",9280,"2006-01-14",935,"01201",,"1","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","B","H","-","A","D","0","Y","A","07",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",0,0
"2434845",-121.521038605,38.575931022,2006,"5704","2","7","4","08",0,1,"C",,,,,,2100,1,"E","I","A","RT 50","JEFFERSON BL",700,"E","N","2006-06-16",9280,"2006-01-01",1810,"12600",,"2","4","0","1",,"2","011","G","Y","YOL",3,50,"-","-",2.63,"H","-","W","Y",2,"A","-",22107,,"N","B","H","-","D","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"2434849",-121.730080868,38.5991630554,2006,"5703","5","1","4","08",0,1,"B",,,,,,1800,1,"E","I","A","COUNTY ROAD 102","COUNTY ROAD 29",3696,"S","N","2006-05-22",9280,"2006-01-02",1630,"12600",,"2","4","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","B","F","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"2434967",-121.661906483,38.559510674,2006,"5701","1","2","4","08",0,1,"A",,,,,,600,1,"E","I","A","RT 80","WEBSTER",5280,"W","N","2006-06-07",9280,"2006-01-17",415,"14120",,"3","5","0","1",,"2","010","-","Y","YOL",3,80,"-","-",4.53,"H","-","E","Y",1,"A","-",22107,,"N","A","H","-","D","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",0,0
"2435634",-121.731433149,38.5399742126,2006,"5701","0","5","4","03",0,1,"B",,,,,"Y",2400,1,"A","C","A","RICHARDS BL","RESEARCH PARK DR",0,,"Y","2006-05-31",5701,"2006-01-13",2240,"160","5701","5","5","0","0",,"0","008","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","C","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",0,0
"2435827",-121.526235719,38.5833778381,2006,"5704","0","7","2","03",0,1,"B","Y",,,,"Y",300,1,"G","B","D","JEFFERSON BL","MICHIGAN BL",175,"N","N","2006-05-23",5704,"2006-01-01",34,"00136",,"5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",1,"A","-",22350,,"F","B","H","-","C","A","0","Y","-","-",1,0,0,0,1,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"2437350",-121.726613149,38.5488548279,2006,"5701","0","6","4","21",0,1,"A",,,,,,1200,1,"C","C","A","POLE LINE RD","5TH ST",0,,"Y","2006-05-25",5701,"2006-01-07",1135,"54","5701","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",22106,,"N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",0,0
"2440019",0,0,2006,"5700","5","6","3","08",0,1,"B",,,,,,1500,1,"E","J","A","COUNTY ROAD 17","COUNTY ROAD 95A",9768,"S","N","2006-05-25",9280,"2006-01-14",1350,"11706",,"1","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",0,0
