"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"2422812",-121.556774144,39.1299743652,2006,"5800","5","5","4","21",0,1,"A",,,,,,1800,1,"H","C","A","GOSSETT WY","SHASTA WY",375,"N","N","2006-05-08",9285,"2006-01-06",1705,"01448",,"2","9","0","3",,"2","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",22106,,"N","A","H","-","C","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2422816",-121.5541427,39.1133346558,2006,"5800","5","2","4","08",0,1,"B",,,,,,900,1,"D","C","A","ERLE RD","EDGEWATER WY",20,"E","N","2006-05-08",9285,"2006-01-03",645,"12248",,"1","9","0","3",,"2","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"N","B","H","-","B","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2422836",-121.372998852,39.299369812,2006,"5800","4","6","4","04",0,1,"A",,,,,,1500,1,"C","C","A","MARYSVILLE RD","PEORIA RD",528,"N","N","2006-05-08",9285,"2006-01-07",1315,"00994",,"1","9","0","2",,"1","061","-","N",,0,0,,,0,,,,"N",3,"A","-",21703,,"N","A","H","-","A","D","0","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2424841",-121.33258742,39.345451355,2006,"5800","4","1","4","17",0,1,"B",,,,,,900,1,"F","I","A","MARYSVILLE RD","LOMA RICA RD",6864,"N","N","2006-05-06",9285,"2006-01-02",650,"01084",,"1","9","0","2",,"1","081","-","N",,0,0,,,0,,,,"Y",1,"A","-",21662,"A","N","B","H","-","B","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2433412",-121.575648341,39.1256217957,2006,"5800","4","5","4","03",0,1,"A",,,,,,1500,1,"C","C","A","NORTH BEALE RD","FEATHER RIVER BL",42,"S","N","2006-05-25",9285,"2006-01-06",1200,"01223",,"1","9","0","2",,"1","041","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2433416",-121.580014071,39.1029968262,2006,"5800","5","4","2","03",0,1,"B",,,"Y",,,1200,1,"E","I","A","FEATHER RIVER BL","VIRGINIA AV",158,"N","N","2006-05-24",9285,"2006-01-12",915,"15901",,"1","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","A","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2451065",-121.598383095,39.1497383118,2006,"5801","0","3","4","22",0,1,"E",,"Y",,,,2400,1,"A","J","A","14TH ST","H ST",528,"W","N","2006-05-18",5801,"2006-01-11",2252,"355","5801","5","3","0","0",,"0","WES","F","N",,0,0,,,0,,,,"N",1,"B","-",0,,"N","A","C","-","D","D","0","Y","L",,0,0,1,0,0,0,1,0,0,"-","-","MARYSVILLE","YUBA","CA",0,0
"2453223",-121.60023376,39.236940592,2006,"5800","3","6","3","01",0,1,"C",,,,,"Y",600,1,"E","I","A","RT 70","MAGNOLIA RD",354,"S","N","2006-06-12",9285,"2006-01-14",412,"17534",,"3","9","0","1",,"1","060","-","Y","YUB",3,70,"-","-",20.88,"H","-","W","Y",1,"A","-",23152,"A","N","B","H","-","D","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2453227",-121.403870756,39.314655304,2006,"5800","4","6","4","01",0,1,"A",,,,,"Y",2100,1,"E","I","A","LOMA RICA RD","LOOP RD",3168,"N","N","2006-05-04",9285,"2006-01-21",2015,"01349",,"2","9","0","2",,"1","061","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","D","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"2453239",-121.579711856,39.1187515259,2006,"5800","5","6","3","03",0,2,"A",,"Y",,,,1500,1,"H","G","A","ALICIA AV","TISH CIR",68,"S","N","2006-05-05",9285,"2006-01-21",1435,"01418",,"2","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,2,0,0,0,0,2,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
