"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"90092411",0,0,2015,"3404","1","1","1","01",1,0,"A",,,,,"Y",300,5,"E","I","A","I-5 NORTHBOUND TO DEL PASO ROAD","DEL PASO ROAD",622,"S","N","2016-01-11",9250,"2015-05-25",215,"018899",,"3","7","0","1",,"2","105","-","Y",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",0,0,0,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",-121.53159,38.65485
"90071140",-121.3829431,38.683075,2015,"3400","4","2","4","12",0,2,"A",,,,,,1800,6,"D","C","A","I ST","WATT AVE",0,,"Y","2015-12-11",9250,"2015-06-30",1500,"016495",,"2","9","0","2",,"1","011","-","N",,0,0,,,0,,,,"N",2,"A","-",21453,"A","F","A","H","-","A","A","0","Y","A","08",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90066714",0,0,2015,"3400","4","3","4","03",0,1,"A",,,,,,2400,5,"C","C","A","ARDEN WAY E/B","FULTON AVENUE",30,"W","N","2015-12-07",9250,"2015-05-13",2220,"017317",,"3","9","0","2",,"1","046","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"F","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.40174,38.59598
"90040768",0,0,2015,"3400","4","1","4","03",0,1,"A",,,,,,1800,6,"C","C","A","WATT AVE (N/B)","LONGVIEW DR",228,"N","N","2015-10-29",9250,"2015-06-29",1710,"016495",,"2","9","0","2",,"1","011","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"F","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90026350",-121.3976547,38.6179651,2015,"3400","4","3","1","10",1,0,"A","Y",,,,,900,6,"G","B","D","MARCONI AVENUE","CALDERWOOD LANE",69,"W","N","2015-10-19",9250,"2015-06-03",655,"013299",,"1","9","0","2",,"1","042","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"B","F","A","H","-","A","D","0","Y","A","01",0,0,0,1,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90023570",-121.4780638,38.6551008,2015,"3400","5","5","4","03",0,1,"A",,,,,,2100,6,"C","C","A","NORTHGATE BLVD","DEL PASO RD",20,"S","N","2015-10-19",9250,"2015-06-26",1810,"018735",,"2","9","0","3",,"2","080","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90015160",0,0,2015,"3404","1","5","1","03",1,1,"A","Y",,,,,600,6,"D","C","E","I-5 N/B","43RD AVE",1055,"N","N","2015-10-19",9252,"2015-06-05",415,"018140",,"3","7","0","1",,"2","107","-","Y",,0,0,,,0,,,,"Y",4,"A","-",22350,,"N","A","H","-","C","D","0","Y","A","01",0,0,1,1,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"90012599",0,0,2015,"3400","4","7","3","03",0,1,"A",,,,,,1500,6,"C","C","A","WALERGA ROAD N/B","HILLSDALE BOULEVARD",40,"N","N","2015-10-19",9250,"2015-06-14",1408,"018785",,"2","9","0","2",,"1","013","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90005831",0,0,2015,"3400","4","2","4","12",0,1,"A",,,,,,1800,6,"D","C","A","ELKHORN BLVD. W/B","SPRIG CIR",0,,"Y","2015-10-19",9250,"2015-06-23",1700,"015342",,"2","9","0","2",,"1","014","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"90005579",0,0,2015,"3404","1","2","2","03",0,1,"A",,,,,,2400,6,"E","I","A","I-80 E/B","EL CAMINO AVE",1892,"W","N","2015-10-19",9250,"2015-06-30",2152,"017819",,"2","7","0","1",,"2","182","-","Y",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","D","-","D","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",-121.53914,38.61087
"90005559",0,0,2015,"3400","4","1","3","12",0,1,"A",,"Y",,,,2100,6,"H","G","A","WATT AVE (N/B)","KARL DR",0,,"Y","2015-10-19",9250,"2015-06-29",1810,"016495",,"2","9","0","2",,"1","011","-","N",,0,0,,,0,,,,"N",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
