"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.272727273","0.282046607238781","1.03417089217469","2020 fatal","1.863636364","1.85691448824492","0.996393139839439","2020 serious","0.272727273","0.293653644361188","1.07673002824763","2036 fatal","1.863636364","2.05423597881455","1.10227296402688","2036 serious","NHW"
"walk","0","0","NaN","","0.681818182","0.764359462055749","1.12106054404948","","0","0","NaN","","0.681818182","0.738725751254781","1.08346443488476","",""
"motorcycle","3.363636364","3.75523132375788","1.11642012315868","","13.818181819","15.3632213927169","1.1118120744071","","3.363636364","3.27757425604861","0.974413967909109","","13.818181819","13.4774575029924","0.975342319237749","",""
"car","10.227272728","11.4598032092745","1.12051409149383","","32.818181817","37.0529341801991","1.12903677561459","","10.227272728","9.9918063987229","0.976976625583431","","32.818181817","32.0026397272733","0.975149687015743","",""
"truck","4.409090909","5.02408842994897","1.13948397382635","","12.909090909","14.6684360460803","1.13628729935225","","4.409090909","4.28349161651761","0.971513562529181","","12.909090909","12.5923687011981","0.975465181085592","",""
"bus","0.181818182","0.216806375730178","1.19243506532354","","0.090909091","0.108403187865089","1.19243506532354","","0.181818182","0.174381776198629","0.959099768133359","","0.090909091","0.0871908880993145","0.959099768133359","",""
"total","18.454545456","20.7379759459503","1.1237326866378","","62.181818182","69.8142687571621","1.12274408819669","","18.454545456","18.0209076918489","0.97650238716608","","62.181818182","60.9526185496324","0.980232169654964","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.090909091","0.0802511135559804","0.882762248233022","2020 serious","0","0","NaN","2036 fatal","0.090909091","0.0866695108213703","0.953364618081709","2036 serious","NHB"
"walk","0","0","NaN","","0.227272727","0.241993696188171","1.06477226450568","","0","0","NaN","","0.227272727","0.221664500027603","0.97532380129184","",""
"motorcycle","0.181818182","0.199734634874813","1.09854049071293","","1.818181819","2.04655122091971","1.12560317099932","","0.181818182","0.179234419501358","0.985789306271681","","1.818181819","1.78597658231406","0.982287119830706","",""
"car","1.863636364","2.11922008193232","1.13714248276619","","5.181818184","5.91570969806147","1.14162818686451","","1.863636364","1.82214854952891","0.977738245897905","","5.181818184","5.07793859048809","0.979953060909652","",""
"truck","0.454545454","0.548541462341692","1.20679121859987","","1.181818183","1.35732098116654","1.14850236753088","","0.454545454","0.441718441386394","0.971780572216203","","1.181818183","1.15738260421684","0.979323741050311","",""
"bus","0.090909091","0.0998673174374065","1.09854049071293","","0.181818182","0.199734634874813","1.09854049071293","","0.090909091","0.0896172097506791","0.985789306271681","","0.181818182","0.179234419501358","0.985789306271681","",""
"total","2.590909091","2.96736349658623","1.14529819162467","","8.681818186","9.84156134476668","1.1335829815737","","2.590909091","2.53271862016734","0.977540520030288","","8.681818186","8.50886620736933","0.980078829696115","",""
