"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.318181818","0.347221584863815","1.091267838767","2020 fatal","2.363636365","2.49990918144706","1.05765388384819","2020 serious","0.318181818","0.329364290820764","1.03514491459963","2036 fatal","2.363636365","2.49000375477993","1.05346312641451","2036 serious","NHW"
"walk","0.272727272","0.285429425239857","1.04657456200367","","1.181818183","1.2368608532366","1.0465745670767","","0.272727272","0.272788825263333","1.00022569529949","","1.181818183","1.18208491384273","1.00022569532824","",""
"motorcycle","2.227272728","2.40027095771488","1.0776726745405","","9.863636365","10.6427540809613","1.07898889285152","","2.227272728","2.15299209446288","0.96664951148402","","9.863636365","9.52949272323262","0.966123686092783","",""
"car","8.81818182","9.54941366231101","1.08292319859549","","30.590909091","33.3665755140489","1.09073500937131","","8.81818182","8.54019809902363","0.968476072885468","","30.590909091","29.4696548453869","0.963346815150942","",""
"truck","2.681818182","2.94063565908043","1.09650821178616","","11.181818184","12.2257170528881","1.09335680939454","","2.681818182","2.58661070968783","0.964498908631767","","11.181818184","10.7647672288371","0.962702760114665","",""
"bus","0.090909091","0.102668741338496","1.1293561535941","","0","0","NaN","","0.090909091","0.0860001911065599","0.946002101226156","","0","0","NaN","",""
"total","14.409090911","15.6256400305485","1.08442927642436","","55.181818188","59.971816682582","1.08680392658072","","14.409090911","13.967954210365","0.969384834660302","","55.181818188","53.4360034660793","0.968362500924256","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.272727273","0.292925056457138","1.07405853926878","2020 serious","0","0","NaN","2036 fatal","0.272727273","0.272754901717869","1.00010130529875","2036 serious","NHB"
"walk","0.181818182","0.192831551878895","1.06057353427335","","0.272727272","0.289247326531197","1.06057353344258","","0.181818182","0.187117233879926","1.02914478531045","","0.272727272","0.280675849701741","1.0291447849841","",""
"motorcycle","0.090909091","0.0967913535374209","1.06470488784692","","1.090909091","1.17402198727002","1.07618682157451","","0.090909091","0.0888703003036579","0.977573302362663","","1.090909091","1.06245746696686","0.973919344638464","",""
"car","2.181818182","2.34654165042354","1.0754982563545","","8.090909092","8.83310649778168","1.09173226362357","","2.181818182","2.14366819071913","0.982514587331058","","8.090909092","7.84440840860921","0.969533623405246","",""
"truck","0.90909091","0.999227895577728","1.09915068403635","","2.590909093","2.86725381049434","1.10665936456086","","0.90909091","0.878737659690846","0.96661142469332","","2.590909093","2.50732228330324","0.967738424353604","",""
"bus","0","0","NaN","","0.090909091","0.103054226722432","1.13359649281316","","0","0","NaN","","0.090909091","0.0868772325365752","0.955649556946678","",""
"total","3.363636365","3.63539245141758","1.08079234998328","","12.409090912","13.5596089052568","1.09271573569859","","3.363636365","3.29839338459356","0.980603438265408","","12.409090912","12.0544961428355","0.971424597363406","",""
