"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.636363637","0.667021172997876","1.04817612794849","2020 fatal","5.090909091","5.31930083229432","1.04486266346773","2020 serious","0.636363637","0.691679639915388","1.08692514735154","2036 fatal","5.090909091","5.60139431994797","1.10027388425585","2036 serious","NHW"
"walk","1.681818181","1.74809371200372","1.03940707250787","","5.318181818","5.52700414740019","1.03926573715352","","1.681818181","1.8078774699164","1.0749541718246","","5.318181818","5.67971521194769","1.06798063818052","",""
"motorcycle","5.045454545","5.1761583147178","1.02590525165811","","31.409090907","32.3021765445577","1.02843398556813","","5.045454545","4.81467002340511","0.95425892364374","","31.409090907","29.9205667798981","0.95260849377942","",""
"car","22.227272726","22.9056017498799","1.03051787019675","","76.500000001","78.9169494981414","1.03159411107333","","22.227272726","21.7149457489057","0.976950524546583","","76.500000001","73.8799258723017","0.965750664984784","",""
"truck","7.545454544","7.78594658766834","1.03187243952845","","22.409090909","23.1577924777492","1.03341061767251","","7.545454544","7.38261405869412","0.978418730858917","","22.409090909","21.53655611541","0.961063356066821","",""
"bus","0.090909091","0.0955289631466183","1.05081859356198","","0","0","NaN","","0.090909091","0.098311451603565","1.08142596655779","","0","0","NaN","",""
"total","37.227272724","38.3783505004143","1.03092028215304","","140.727272726","145.223223500143","1.03194797061758","","37.227272724","36.5100983924403","0.980735243839193","","140.727272726","136.618158299506","0.970800866478134","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.636363636","0.667796496729005","1.04939449545952","2020 fatal","2","2.08873584644471","1.04436792322235","2020 serious","0.636363636","0.695106478896688","1.09231018174754","2036 fatal","2","2.20179121690905","1.10089560845452","2036 serious","NHB"
"walk","1.499999999","1.55226119752226","1.03484079903807","","3.954545454","4.09696644574125","1.03601450366367","","1.499999999","1.61037381872091","1.07358254652966","","3.954545454","4.22711440361398","1.06892548152109","",""
"motorcycle","1.499999999","1.56942506969301","1.04628338049286","","8.045454545","8.41028563380137","1.04534623702872","","1.499999999","1.46686351397028","0.97790900996546","","8.045454545","7.87866832448527","0.979269509313382","",""
"car","22.272727274","23.2747060414856","1.04498680180291","","75.454545453","79.0292104432602","1.04737507818514","","22.272727274","22.2721327600537","0.999973307537106","","75.454545453","74.9341484738613","0.993103172565491","",""
"truck","6.772727272","7.12857081177819","1.05254065688564","","14.999999998","15.7702536982845","1.05135024669248","","6.772727272","6.72638203085044","0.99315707848725","","14.999999998","14.8079210107066","0.987194734178733","",""
"bus","0.090909091","0.096728363780696","1.06401200052364","","0.318181818","0.337220401759893","1.05983554899385","","0.090909091","0.0881556589166657","0.969712247113611","","0.318181818","0.319690065921258","1.00474020775523","",""
"total","32.772727271","34.2894879809888","1.046281186715","","104.772727268","109.732672469292","1.04734004096891","","32.772727271","32.8590142614087","1.00263289013744","","104.772727268","104.369333495497","0.996149820826266","",""
