"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.181818182","0.215657024928991","1.18611363592333","2020 fatal","0","0","NaN","2020 serious","0.181818182","0.181033336238349","0.995683348315239","2036 fatal","0","0","NaN","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.772727273","1.03366301101533","1.33768154319477","","2.681818182","3.49627909808637","1.30369729072348","","0.772727273","0.794242219948911","1.02784287251229","","2.681818182","2.74985853500809","1.02537097908604","",""
"car","3.590909092","4.93229169370028","1.37354958517014","","7.136363637","9.91744708439574","1.38970596074682","","3.590909092","3.70292358079594","1.03119390826281","","7.136363637","7.35955474558128","1.03127518718694","",""
"truck","1.409090909","1.9333304410085","1.37204095822358","","2.40909091","3.38025781445352","1.40312588471538","","1.409090909","1.45125670014279","1.0299241098452","","2.40909091","2.48379192852174","1.03100796994072","",""
"bus","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","5.954545456","8.11494217065311","1.3628147153493","","12.227272729","16.7939839969356","1.37348567985276","","5.954545456","6.12945583712599","1.029374262472","","12.227272729","12.5932052091111","1.02992756342493","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0.045454545","0.0545790331690401","1.20073874172627","","0.090909091","0.109158067538819","1.20073874172627","","0.045454545","0.0459767860654679","1.01148930355519","","0.090909091","0.091953573142425","1.01148930355519","",""
"motorcycle","0.181818182","0.248124218815886","1.36468320212269","","0.318181818","0.427917424539463","1.34488333503539","","0.181818182","0.188137093321906","1.03475401223573","","0.318181818","0.32870532693838","1.03307388525381","",""
"car","2.636363636","3.60836309010706","1.36868944816043","","6","8.41285972512967","1.40214328752161","","2.636363636","2.72973084524225","1.03541514833815","","6","6.22844305297583","1.03807384216264","",""
"truck","1.136363637","1.63037169771356","1.43472709318449","","2.500000001","3.506473501407","1.40258940000176","","1.136363637","1.18176066431586","1.03994938401558","","2.500000001","2.59662344057705","1.03864937581536","",""
"bus","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","4","5.54143803980555","1.38535950995139","","8.90909091","12.4564087186149","1.39816832541615","","4","4.14560538894548","1.03640134723637","","8.90909091","9.24572539363368","1.03778550326115","",""
