"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.272727273","0.311273048863589","1.14133451135849","2020 fatal","0.272727273","0.291150033094208","1.06755012027788","2020 serious","0.272727273","0.260314403390776","0.954486144811692","2036 fatal","0.272727273","0.278143643295346","1.01986002439641","2036 serious","NHW"
"walk","0.090909091","0.100425462326595","1.10468008448786","","0.090909091","0.100425461903248","1.10468007983105","","0.090909091","0.099850973655082","1.09836070910754","","0.090909091","0.099850978519505","1.09836076261619","",""
"motorcycle","0.545454546","0.603306465155746","1.10606185167947","","2.863636363","3.09178700072064","1.07967165128523","","0.545454546","0.494128920677625","0.905903020336409","","2.863636363","2.65553227046254","0.927328729573943","",""
"car","4.363636364","4.79261321755844","1.09830719559895","","9.181818181","10.0916909251744","1.09909505135456","","4.363636364","4.01529345899431","0.920171417609515","","9.181818181","8.37679317810247","0.912324009577604","",""
"truck","2.318181819","2.58575891361818","1.11542541332397","","4.454545454","4.93005754920639","1.10674761322267","","2.318181819","2.09981946887586","0.905804476450284","","4.454545454","4.04694693960321","0.908498292675231","",""
"bus","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","7.590909093","8.39337710752255","1.10571434918942","","16.863636362","18.5051109700989","1.09733811693175","","7.590909093","6.96940722559365","0.91812550251992","","16.863636362","15.4572670099831","0.916603434643194","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.272727273","0.318390463995781","1.16743170015043","2020 fatal","0","0","NaN","2020 serious","0.272727273","0.268925313249661","0.986059480929364","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0.045454545","0.0495201692376233","1.08944373412215","","0.090909091","0.0990403395646903","1.08944373412215","","0.045454545","0.049170675434763","1.08175487038234","","0.090909091","0.0983413519512809","1.08175487038234","",""
"motorcycle","0.181818182","0.194930041129286","1.07211522513896","","1.272727273","1.3926251249886","1.09420545511372","","0.181818182","0.172649140910276","0.949570274056946","","1.272727273","1.19113067754892","0.935888389302173","",""
"car","4.954545454","5.42393909191326","1.0947400003232","","15.90909091","17.4141148177602","1.09460150276809","","4.954545454","4.66124589404695","0.940801923672683","","15.90909091","14.9371999875927","0.938909713452177","",""
"truck","1.818181819","2.04224895849713","1.12323692666796","","3.772727274","4.20997303464402","1.11589646663763","","1.818181819","1.68191494570674","0.925053219722432","","3.772727274","3.4801664984053","0.922453770350457","",""
"bus","0.272727273","0.313481197397507","1.14943105597476","","0.545454545","0.626962393645582","1.14943105597476","","0.272727273","0.2459137380748","0.901683705372584","","0.545454545","0.491827475247917","0.901683705372584","",""
"total","7.545454546","8.34250992217058","1.10563384502702","","21.590909093","23.7427157106031","1.09966262227933","","7.545454546","7.07981970742319","0.938289358747293","","21.590909093","20.1986659907462","0.935517161586066","",""
