"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.181818182","0.203729991381699","1.12051495147883","2020 fatal","0.681818182","0.742752033919173","1.08936964945762","2020 serious","0.181818182","0.183406995261939","1.00873847293193","2036 fatal","0.681818182","0.689669689938789","1.01151554497382","2036 serious","NHW"
"walk","0.090909091","0.109668919208939","1.20635811009197","","0.636363637","0.767682434466492","1.20635811009813","","0.090909091","0.0953371567707041","1.04870872342904","","0.636363637","0.667360097495382","1.04870872358689","",""
"motorcycle","0.727272728","0.879146203678778","1.20882602884949","","5","6.05745852139125","1.21149170427825","","0.727272728","0.713893033464956","0.981602920032711","","5","4.91005771533859","0.982011543067718","",""
"car","3.954545456","4.90200061650906","1.23958636233945","","11.000000001","13.7401273214208","1.24910248365197","","3.954545456","3.90179930576544","0.986661893049041","","11.000000001","10.7879177376883","0.98071979424614","",""
"truck","2.318181818","2.99522157071839","1.29205636394064","","6.363636365","8.00896185670632","1.2585511486413","","2.318181818","2.26411796880416","0.976678339560749","","6.363636365","6.24808130893833","0.981841348337057","",""
"bus","0.181818182","0.234448973896544","1.28946935514152","","0.181818182","0.237358604858041","1.30547232541375","","0.181818182","0.177374549979456","0.97556002391145","","0.181818182","0.178900917352653","0.983955044455638","",""
"total","7.454545457","9.32421627539341","1.2508094999458","","23.863636367","29.5543407727621","1.23846761316023","","7.454545457","7.33592901004666","0.984088037609059","","23.863636367","23.481987466752","0.984007093706148","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.181818182","0.1908466347894","1.04965649029205","2020 fatal","0.090909091","0.103743690408002","1.14118059334684","2020 serious","0.181818182","0.180372311637898","0.992047713016389","2036 fatal","0.090909091","0.0900202079075517","0.990222285992847","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.454545455","0.562070924048478","1.23655603167009","","0","0","NaN","","0.454545455","0.45254302993846","0.995594664869017","",""
"car","2.136363637","2.71224272465544","1.26956042392864","","3.772727272","4.60880945992073","1.22161214623858","","2.136363637","2.1411890082241","1.0022586844021","","3.772727272","3.76798981348708","0.998744288104768","",""
"truck","0.590909091","0.817573329526954","1.38358563437122","","2.000000001","2.6716975140307","1.33584875634743","","0.590909091","0.586908533949283","0.993229826530597","","2.000000001","1.9879952631651","0.993997631085553","",""
"bus","0","0","NaN","","0.136363636","0.193444453465308","1.4185926625285","","0","0","NaN","","0.136363636","0.135363650160741","0.992666770492546","",""
"total","2.90909091","3.7206626889718","1.27897779893437","","6.454545455","8.13976604187322","1.26109051344084","","2.90909091","2.90846985381128","0.999786511935194","","6.454545455","6.43391196465894","0.996803262060061","",""
