"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.272727273","0.282046607238781","1.03417089217469","2020 fatal","1.863636364","1.85691448824492","0.996393139839439","2020 serious","0.272727273","0.293653644361188","1.07673002824763","2036 fatal","1.863636364","2.05423597881455","1.10227296402688","2036 serious","NHW"
"walk","0","0","NaN","","0.681818182","0.764359462055749","1.12106054404948","","0","0","NaN","","0.681818182","0.738725751254781","1.08346443488476","",""
"motorcycle","3.363636364","3.75523132245583","1.11642012277158","","13.818181819","15.3632213891363","1.11181207414798","","3.363636364","3.27757425488513","0.974413967563211","","13.818181819","13.4774574997928","0.975342319006201","",""
"car","10.227272728","11.4598032024388","1.12051409082544","","32.818181817","37.0529341707593","1.12903677532695","","10.227272728","9.99180639261465","0.976976624986181","","32.818181817","32.0026397188381","0.975149686758715","",""
"bus","4.409090909","5.02408839912534","1.13948396683543","","12.909090909","14.6684359534305","1.13628729217515","","4.409090909","4.2834915873564","0.971513555915297","","12.909090909","12.5923686131095","0.975465174261835","",""
"truck","0.181818182","0.216806377032228","1.19243507248482","","0.090909091","0.108403188516114","1.19243507248482","","0.181818182","0.174381777362105","0.959099774532477","","0.090909091","0.0871908886810524","0.959099774532477","",""
"total","18.454545456","20.7379759082909","1.12373268459715","","62.181818182","69.8142686521428","1.12274408650779","","18.454545456","18.0209076565795","0.976502385254927","","62.181818182","60.9526184504908","0.980232168060583","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.090909091","0.0802511135559804","0.882762248233022","2020 serious","0","0","NaN","2036 fatal","0.090909091","0.0866695108213703","0.953364618081709","2036 serious","NHB"
"walk","0","0","NaN","","0.227272727","0.241993696188171","1.06477226450568","","0","0","NaN","","0.227272727","0.221664500027603","0.97532380129184","",""
"motorcycle","0.181818182","0.199734634874813","1.09854049071293","","1.818181819","2.04655122091971","1.12560317099932","","0.181818182","0.179234419501358","0.985789306271681","","1.818181819","1.78597658231406","0.982287119830706","",""
"car","1.863636364","2.11922008106396","1.13714248230024","","5.181818184","5.91570969523931","1.14162818631988","","1.863636364","1.8221485481101","0.977738245136592","","5.181818184","5.07793858587696","0.979953060019784","",""
"bus","0.454545454","0.548541459953713","1.20679121334632","","1.181818183","1.35732097536067","1.14850236261822","","0.454545454","0.441718437484666","0.971780563632402","","1.181818183","1.15738259421359","0.979323732586018","",""
"truck","0.090909091","0.0998673178326381","1.09854049506048","","0.181818182","0.199734635665276","1.09854049506048","","0.090909091","0.0896172104703105","0.985789314187626","","0.181818182","0.179234420940621","0.985789314187626","",""
"total","2.590909091","2.96736349372513","1.14529819052039","","8.681818186","9.84156133692912","1.13358298067095","","2.590909091","2.53271861556643","0.977540518254499","","8.681818186","8.5088661941942","0.980078828178562","",""
