"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.318181818","0.347221581166911","1.09126782714816","2020 fatal","2.363636365","2.49990916665945","1.05765387759189","2020 serious","0.318181818","0.329364290820764","1.03514491459963","2036 fatal","2.363636365","2.49000375477993","1.05346312641451","2036 serious","NHW"
"walk","0.272727272","0.285429418148866","1.04657453600337","","1.181818183","1.23686083905461","1.04657455507656","","0.272727272","0.272788825263333","1.00022569529949","","1.181818183","1.18208491384273","1.00022569532824","",""
"motorcycle","2.227272728","2.40027095771488","1.0776726745405","","9.863636365","10.6427540637446","1.07898889110604","","2.227272728","2.15299209446288","0.96664951148402","","9.863636365","9.52949272323262","0.966123686092783","",""
"car","8.81818182","9.54941364126836","1.08292319620921","","30.590909091","33.3665754145745","1.09073500611955","","8.81818182","8.54019809902363","0.968476072885468","","30.590909091","29.4696548453869","0.963346815150942","",""
"bus","2.681818182","2.94063553228136","1.09650816450515","","11.181818184","12.2257165456484","1.09335676403164","","2.681818182","2.58661070968783","0.964498908631767","","11.181818184","10.7647672288372","0.962702760114665","",""
"truck","0.090909091","0.102668745164432","1.1293561956794","","0","0","NaN","","0.090909091","0.0860001911065598","0.946002101226156","","0","0","NaN","",""
"total","14.409090911","15.6256398757448","1.08442926568088","","55.181818188","59.9718160296816","1.08680391474892","","14.409090911","13.967954210365","0.969384834660302","","55.181818188","53.4360034660793","0.968362500924256","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.272727273","0.292925056457138","1.07405853926878","2020 serious","0","0","NaN","2036 fatal","0.272727273","0.272754901717869","1.00010130529875","2036 serious","NHB"
"walk","0.181818182","0.192831552337499","1.06057353679567","","0.272727272","0.289247326760499","1.06057353428336","","0.181818182","0.187117234324939","1.02914478775802","","0.272727272","0.280675849924248","1.02914478579996","",""
"motorcycle","0.090909091","0.0967913535374209","1.06470488784692","","1.090909091","1.17402198727002","1.07618682157451","","0.090909091","0.0888703003036579","0.977573302362663","","1.090909091","1.06245746696686","0.973919344638464","",""
"car","2.181818182","2.34654165042354","1.0754982563545","","8.090909092","8.8331064997424","1.09173226386591","","2.181818182","2.14366819071913","0.982514587331058","","8.090909092","7.84440841026214","0.969533623609541","",""
"bus","0.90909091","0.999227900820754","1.09915068980368","","2.590909093","2.86725382560303","1.10665937039228","","0.90909091","0.878737664283812","0.966611429745582","","2.590909093","2.50732229646907","0.967738429435151","",""
"truck","0","0","NaN","","0.090909091","0.103054226722432","1.13359649281316","","0","0","NaN","","0.090909091","0.0868772325365752","0.955649556946678","",""
"total","3.363636365","3.63539245711921","1.08079235167836","","12.409090912","13.5596089225555","1.09271573709263","","3.363636365","3.29839338963154","0.980603439763186","","12.409090912","12.0544961578768","0.971424598575523","",""
