"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.636363637","0.667021172498563","1.04817612716385","2020 fatal","5.090909091","5.31930082730119","1.04486266248693","2020 serious","0.636363637","0.691679633890639","1.08692513788408","2036 fatal","5.090909091","5.60139425970048","1.10027387242152","2036 serious","NHW"
"walk","1.681818181","1.74809370953485","1.03940707103989","","5.318181818","5.52700414345","1.03926573641074","","1.681818181","1.80787744030881","1.07495415422008","","5.318181818","5.67971516457553","1.06798062927294","",""
"motorcycle","5.045454545","5.17615831225607","1.0259052511702","","31.409090907","32.3021765347107","1.02843398525462","","5.045454545","4.81466999743152","0.954258918495821","","31.409090907","29.9205666760038","0.95260849047164","",""
"car","22.227272726","22.9056017449564","1.03051786997525","","76.500000001","78.9169494607231","1.0315941105842","","22.227272726","21.7149456969585","0.976950522209491","","76.500000001","73.8799254775031","0.965750659824018","",""
"bus","7.545454544","7.78594654574172","1.03187243397191","","22.409090909","23.1577923421834","1.03341061162292","","7.545454544","7.38261359328395","0.97841866917805","","22.409090909","21.5365546423567","0.96106329033219","",""
"truck","0.090909091","0.0955289636459312","1.05081859905442","","0","0","NaN","","0.090909091","0.0983114576283148","1.08142603283004","","0","0","NaN","",""
"total","37.227272724","38.3783504486336","1.03092028076211","","140.727272726","145.223223308368","1.03194796925484","","37.227272724","36.5100978195017","0.980735228448902","","140.727272726","136.61815622014","0.970800851702278","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.636363636","0.667796496729005","1.04939449545952","2020 fatal","2","2.08873581274851","1.04436790637426","2020 serious","0.636363636","0.695106478896688","1.09231018174754","2036 fatal","2","2.20179118183482","1.10089559091741","2036 serious","NHB"
"walk","1.499999999","1.55226115513392","1.03484077077917","","3.954545454","4.09696638821422","1.03601448911661","","1.499999999","1.61037377523141","1.07358251753666","","3.954545454","4.22711434459251","1.06892546659612","",""
"motorcycle","1.499999999","1.56942505105725","1.04628336806902","","8.045454545","8.41028560274176","1.0453462331682","","1.499999999","1.46686349698614","0.977908998642702","","8.045454545","7.87866829617837","0.979269505795011","",""
"car","22.272727274","23.274705935883","1.04498679706156","","75.454545453","79.0292100891807","1.04737507349252","","22.272727274","22.2721326638102","0.999973303215971","","75.454545453","74.9341481511627","0.993103168288761","",""
"bus","6.772727272","7.12857028564837","1.05254057920205","","14.999999998","15.7702525892299","1.0513501727555","","6.772727272","6.72638153660525","0.99315700551145","","14.999999998","14.8079199719867","0.987194664930736","",""
"truck","0.090909091","0.0967283699926172","1.06401206885478","","0.318181818","0.337220410992434","1.05983557801041","","0.090909091","0.0881556645780456","0.96971230938879","","0.318181818","0.319690075129079","1.0047402366941","",""
"total","32.772727271","34.2894872944442","1.04628116576634","","104.772727268","109.732670893108","1.04734002592507","","32.772727271","32.8590136161078","1.00263287044726","","104.772727268","104.369332020884","0.996149806751865","",""
