"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.181818182","0.215657024928991","1.18611363592333","2020 fatal","0","0","NaN","2020 serious","0.181818182","0.181033336238349","0.995683348315239","2036 fatal","0","0","NaN","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.772727273","1.03366301045289","1.33768154246691","","2.681818182","3.49627909696148","1.30369729030403","","0.772727273","0.794242219386469","1.02784287178443","","2.681818182","2.74985853388321","1.02537097866659","",""
"car","3.590909092","4.93229168751342","1.37354958344721","","7.136363637","9.9174470759591","1.38970595956461","","3.590909092","3.70292357460907","1.03119390653989","","7.136363637","7.35955473714464","1.03127518600474","",""
"bus","1.409090909","1.93333043218737","1.37204095196343","","2.40909091","3.38025779713097","1.40312587752488","","1.409090909","1.45125669066244","1.02992410311721","","2.40909091","2.48379191036559","1.03100796240421","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","5.954545456","8.11494215508266","1.36281471273442","","12.227272729","16.7939839700516","1.37348567765406","","5.954545456","6.12945582089633","1.02937425974641","","12.227272729","12.5932051813934","1.02992756115806","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0.045454545","0.0545790331690401","1.20073874172627","","0.090909091","0.109158067538819","1.20073874172627","","0.045454545","0.0459767860654679","1.01148930355519","","0.090909091","0.091953573142425","1.01148930355519","",""
"motorcycle","0.181818182","0.248124218815886","1.36468320212269","","0.318181818","0.427917424539463","1.34488333503539","","0.181818182","0.188137092627894","1.03475400841866","","0.318181818","0.32870532693838","1.03307388525381","",""
"car","2.636363636","3.60836309010706","1.36868944816043","","6","8.41285972512967","1.40214328752161","","2.636363636","2.72973084211919","1.03541514715354","","6","6.22844304464768","1.03807384077461","",""
"bus","1.136363637","1.63037169771356","1.43472709318449","","2.500000001","3.506473501407","1.40258940000176","","1.136363637","1.1817606536131","1.03994937459715","","2.500000001","2.59662341747109","1.03864936657298","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","4","5.54143803980555","1.38535950995139","","8.90909091","12.4564087186149","1.39816832541615","","4","4.14560537442565","1.03640134360641","","8.90909091","9.24572536219958","1.03778549973283","",""
