"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.272727273","0.311273048863589","1.14133451135849","2020 fatal","0.272727273","0.291150033094208","1.06755012027788","2020 serious","0.272727273","0.260314403390776","0.954486144811692","2036 fatal","0.272727273","0.278143643295346","1.01986002439641","2036 serious","NHW"
"walk","0.090909091","0.100425456677906","1.10468002235229","","0.090909091","0.100425461903248","1.10468007983105","","0.090909091","0.0998509616266407","1.09836057679469","","0.090909091","0.099850978519505","1.09836076261619","",""
"motorcycle","0.545454546","0.60330645931107","1.10606184096423","","2.863636363","3.09178698318661","1.07967164516223","","0.545454546","0.494128911085333","0.90590300275054","","2.863636363","2.65553224168566","0.927328719524875","",""
"car","4.363636364","4.79261317664571","1.09830718622312","","9.181818181","10.0916908930287","1.09909504785354","","4.363636364","4.01529339184825","0.920171402221877","","9.181818181","8.37679312534485","0.912324003831725","",""
"bus","2.318181819","2.58575875940851","1.11542534680215","","4.454545454","4.93005724852392","1.10674754572252","","2.318181819","2.0998192015349","0.905804361126734","","4.454545454","4.04694641372289","0.908498174620464","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","7.590909093","8.39337690090678","1.10571432197058","","16.863636362","18.5051106197367","1.09733809615556","","7.590909093","6.96940686948591","0.918125455607522","","16.863636362","15.4572664025682","0.916603398623987","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.272727273","0.318390463995781","1.16743170015043","2020 fatal","0","0","NaN","2020 serious","0.272727273","0.268925313249661","0.986059480929364","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0.045454545","0.0495201692376233","1.08944373412215","","0.090909091","0.0990403395646903","1.08944373412215","","0.045454545","0.049170675434763","1.08175487038234","","0.090909091","0.0983413519512809","1.08175487038234","",""
"motorcycle","0.181818182","0.194930041129286","1.07211522513896","","1.272727273","1.3926251249886","1.09420545511372","","0.181818182","0.172649140910276","0.949570274056946","","1.272727273","1.19113067754892","0.935888389302173","",""
"car","4.954545454","5.42393909191326","1.0947400003232","","15.90909091","17.4141148177602","1.09460150276809","","4.954545454","4.66124589404695","0.940801923672683","","15.90909091","14.9371999875927","0.938909713452177","",""
"bus","1.818181819","2.04224895849713","1.12323692666796","","3.772727274","4.20997303464402","1.11589646663763","","1.818181819","1.68191494570674","0.925053219722432","","3.772727274","3.4801664984053","0.922453770350457","",""
"truck","0.272727273","0.313481197397507","1.14943105597476","","0.545454545","0.626962393645582","1.14943105597476","","0.272727273","0.2459137380748","0.901683705372584","","0.545454545","0.491827475247917","0.901683705372584","",""
"total","7.545454546","8.34250992217058","1.10563384502702","","21.590909093","23.7427157106031","1.09966262227933","","7.545454546","7.07981970742319","0.938289358747293","","21.590909093","20.1986659907462","0.935517161586066","",""
