"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.181818182","0.203729991691237","1.12051495318129","2020 fatal","0.681818182","0.742752033919173","1.08936964945762","2020 serious","0.181818182","0.183406995630264","1.00873847495771","2036 fatal","0.681818182","0.689669689938789","1.01151554497382","2036 serious","NHW"
"walk","0.090909091","0.109668919208939","1.20635811009197","","0.636363637","0.767682434774093","1.2063581105815","","0.090909091","0.0953371567707041","1.04870872342904","","0.636363637","0.66736009788149","1.04870872419363","",""
"motorcycle","0.727272728","0.879146204034989","1.20882602933928","","5","6.05745852263798","1.2114917045276","","0.727272728","0.713893033821166","0.981602920522501","","5","4.91005771658533","0.982011543317066","",""
"car","3.954545456","4.90200061757769","1.23958636260968","","11.000000001","13.7401273253391","1.24910248400818","","3.954545456","3.90179930683408","0.98666189331927","","11.000000001","10.7879177416066","0.98071979460235","",""
"bus","2.318181818","2.99522158125671","1.29205636848659","","6.363636365","8.00896188166349","1.25855115256314","","2.318181818","2.26411798011094","0.976678344438182","","6.363636365","6.24808133673608","0.981841352705275","",""
"truck","0.181818182","0.234448973595168","1.28946935348395","","0.181818182","0.237358604548503","1.30547232371129","","0.181818182","0.177374549617313","0.97556002191966","","0.181818182","0.178900916984328","0.983955042429849","",""
"total","7.454545457","9.32421628736474","1.25080950155171","","23.863636367","29.5543408028824","1.23846761442241","","7.454545457","7.33592902278446","0.984088039317789","","23.863636367","23.4819874997326","0.984007095088191","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.181818182","0.1908466347894","1.04965649029205","2020 fatal","0.090909091","0.103743689504676","1.14118058341025","2020 serious","0.181818182","0.180372311637898","0.992047713016389","2036 fatal","0.090909091","0.090020207910948","0.990222286030206","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.454545455","0.562070924048478","1.23655603167009","","0","0","NaN","","0.454545455","0.45254302993846","0.995594664869017","",""
"car","2.136363637","2.71224272465544","1.26956042392864","","3.772727272","4.60880945823636","1.22161214579212","","2.136363637","2.1411890082241","1.0022586844021","","3.772727272","3.76798981349219","0.998744288106122","",""
"bus","0.590909091","0.817573321285192","1.38358562042362","","2.000000001","2.67169748515288","1.33584874190852","","0.590909091","0.58690853397483","0.993229826573831","","2.000000001","1.98799526325713","0.993997631131567","",""
"truck","0","0","NaN","","0.136363636","0.193444454588225","1.41859267076323","","0","0","NaN","","0.136363636","0.135363650157336","0.992666770467578","",""
"total","2.90909091","3.72066268073004","1.27897779610127","","6.454545455","8.13976601153062","1.26109050873988","","2.90909091","2.90846985383683","0.999786511943976","","6.454545455","6.43391196475607","0.996803262075109","",""
