"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.6","0.620502535304816","1.03417089217469","2020 fatal","1","1.01026867737033","1.01026867737033","2020 serious","0.6","0.646038016948576","1.07673002824763","2036 fatal","1","1.08274600271929","1.08274600271929","2036 serious","NHW"
"walk","0","0","NaN","","0.6","0.681308847948515","1.13551474658086","","0","0","NaN","","0.6","0.633151793232932","1.05525298872155","",""
"motorcycle","2.4","2.68103718728088","1.1170988280337","","13","14.4168140278568","1.10898569445052","","2.4","2.33826536165081","0.974277234021172","","13","12.686852490764","0.975911730058771","",""
"car","10.2","11.4168417045398","1.11929820632743","","33.4","37.7384458690241","1.12989358889294","","10.2","9.96698263678855","0.977155160469465","","33.4","32.5224261333503","0.973725333333842","",""
"bus","4.2","4.80733063830435","1.14460253292961","","12.6","14.287600233879","1.13393652649833","","4.2","4.068692265712","0.968736253740952","","12.6","12.3007241726106","0.976247950207193","",""
"truck","0","0","NaN","","0.2","0.238487014496963","1.19243507248482","","0","0","NaN","","0.2","0.191819954906495","0.959099774532477","",""
"total","17.4","19.5257120654298","1.12216736008218","","60.8","68.3729246705758","1.12455468208184","","17.4","17.0199782810999","0.978159671327582","","60.8","59.4177205475837","0.977265140585258","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0.2","0.212954452901136","1.06477226450568","","0","0","NaN","","0.2","0.195064760258368","0.97532380129184","",""
"motorcycle","0","0","NaN","","1.8","2.020673171924","1.12259620662444","","0","0","NaN","","1.8","1.76881725340214","0.982676251890076","",""
"car","1.8","2.08151567566227","1.15639759759015","","5","5.79580450294752","1.1591609005895","","1.8","1.74841574624156","0.971342081245313","","5","4.88972210674004","0.977944421348007","",""
"bus","0","0","NaN","","1.4","1.5812569766704","1.12946926905029","","0","0","NaN","","1.4","1.37450153297141","0.981786809265291","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","1.8","2.08151567566227","1.15639759759015","","8.4","9.61068910444306","1.14412965529084","","1.8","1.74841574624156","0.971342081245313","","8.4","8.22810565337195","0.979536387306184","",""
