"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.4","0.436507126110569","1.09126781527642","2020 fatal","3.6","3.79240976984428","1.05344715829008","2020 serious","0.4","0.414057965832746","1.03514491458187","2036 fatal","3.6","3.80429651702477","1.05674903250688","2036 serious","NHW"
"walk","0.2","0.209314903658511","1.04657451829256","","1.4","1.46520437874203","1.04657455624431","","0.2","0.200045139054558","1.00022569527279","","1.4","1.400315973462","1.00022569533","",""
"motorcycle","2.2","2.3646234582613","1.07482884466423","","7","7.51895504329294","1.07413643475613","","2.2","2.12912834860652","0.967785613002965","","7","6.77643560318206","0.968062229026008","",""
"car","8","8.59260696482343","1.07407587060293","","29.8","32.3330231828204","1.08500077794699","","8","7.78276616526326","0.972845770657907","","29.8","28.7886538787032","0.96606221069474","",""
"bus","2.6","2.86645404055907","1.10248232329195","","10.8","11.7463476799585","1.08762478518135","","2.6","2.49174961568079","0.958365236800304","","10.8","10.4158914445459","0.964434393013511","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","13.4","14.4695064934129","1.07981391741887","","52.6","56.8559400546582","1.08091140788324","","13.4","13.0177472344379","0.971473674211782","","52.6","51.185593416918","0.973110141006046","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"car","0","0","NaN","","0.6","0.648206000541116","1.08034333423519","","0","0","NaN","","0.6","0.579305147947519","0.965508579912532","",""
"bus","0.4","0.42375042720093","1.05937606800233","","0.2","0.211875213600465","1.05937606800233","","0.4","0.389584753019768","0.97396188254942","","0.2","0.194792376509884","0.97396188254942","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.4","0.42375042720093","1.05937606800233","","0.8","0.860081214141581","1.07510151767698","","0.4","0.389584753019768","0.97396188254942","","0.8","0.774097524457404","0.967621905571754","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.4","0.426207134901328","1.06551783725332","","0","0","NaN","","0.4","0.392103530383497","0.980258825958742","",""
"car","0.4","0.426207137052456","1.06551784263114","","4","4.38773014283402","1.09693253570851","","0.4","0.392103531536023","0.980258828840057","","4","3.88620269105234","0.971550672763084","",""
"bus","0.2","0.227065653447031","1.13532826723516","","1.8","2.01566670788451","1.11981483771362","","0.2","0.192181473738889","0.960907368694446","","1.8","1.73737384599083","0.96520769221713","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.6","0.653272790499488","1.08878798416581","","6.2","6.82960398561986","1.10154902993869","","0.6","0.584285005274912","0.973808342124853","","6.2","6.01568006742667","0.970270978617205","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.2","0.21575429116769","1.07877145583845","2020 serious","0","0","NaN","2036 fatal","0.2","0.186757624883474","0.933788124417369","2036 serious","HO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.6","0.639791241489535","1.06631873581589","","0","0","NaN","","0.6","0.586946373951058","0.978243956585096","",""
"car","1.4","1.49284622822065","1.06631873444332","","3.6","3.89532097147388","1.08203360318719","","1.4","1.3695415310678","0.978243950762711","","3.6","3.5046520450378","0.973514456954945","",""
"bus","0","0","NaN","","1","1.08427971796737","1.08427971796737","","0","0","NaN","","1","0.972956802057861","0.972956802057861","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","1.4","1.49284622822065","1.06631873444332","","5.4","5.83514622209848","1.08058263372194","","1.4","1.3695415310678","0.978243950762711","","5.4","5.2513128459302","0.972465341838925","",""
