"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.4","0.436507126110569","1.09126781527642","2020 fatal","3.6","3.79240976984428","1.05344715829008","2020 serious","0.4","0.414057965832746","1.03514491458187","2036 fatal","3.6","3.80429651702477","1.05674903250688","2036 serious","NHW"
"walk","0.2","0.209314903658511","1.04657451829256","","1.4","1.46520437874203","1.04657455624431","","0.2","0.200045139054558","1.00022569527279","","1.4","1.400315973462","1.00022569533","",""
"motorcycle","2.2","2.3646234582613","1.07482884466423","","7","7.51895504329294","1.07413643475613","","2.2","2.12912834860652","0.967785613002965","","7","6.77643560318206","0.968062229026008","",""
"car","8","8.59260696482343","1.07407587060293","","29.8","32.3330231828204","1.08500077794699","","8","7.78276616526326","0.972845770657907","","29.8","28.7886538787032","0.96606221069474","",""
"bus","2.6","2.86645404055907","1.10248232329195","","10.8","11.7463476799585","1.08762478518135","","2.6","2.49174961568079","0.958365236800304","","10.8","10.4158914445459","0.964434393013511","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","13.4","14.4695064934129","1.07981391741887","","52.6","56.8559400546582","1.08091140788324","","13.4","13.0177472344379","0.971473674211782","","52.6","51.185593416918","0.973110141006046","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0.2","0.219253237376263","1.09626618688131","2020 serious","0","0","NaN","2036 fatal","0.2","0.198502300819818","0.99251150409909","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","1","1.06470488784692","1.06470488784692","","0","0","NaN","","1","0.977573302362663","0.977573302362663","",""
"car","1.8","1.91646878450513","1.06470488028063","","8.2","8.92347650821039","1.08822884246468","","1.8","1.75963193420913","0.977573296782848","","8.2","7.95471454753227","0.970087139942959","",""
"bus","0.6","0.652601253168621","1.08766875528104","","3","3.30982722074412","1.10327574024804","","0.6","0.582159232152578","0.970265386920964","","3","2.91094385320556","0.970314617735186","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","2.4","2.56907003767375","1.07044584903073","","12.4","13.5172618541777","1.09010176243369","","2.4","2.34179116636171","0.975746319317377","","12.4","12.0417340039203","0.971107580961315","",""
