"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.4","0.420327440647025","1.05081860161756","2020 fatal","5.4","5.63361018010229","1.04326114446339","2020 serious","0.4","0.43257041742019","1.08142604355048","2036 fatal","5.4","5.99690519402097","1.11053799889277","2036 serious","NHW"
"walk","1.2","1.24699523367535","1.03916269472946","","4.6","4.78014839097576","1.03916269369038","","1.2","1.27547578321002","1.06289648600835","","4.6","4.88932379023435","1.0628964761379","",""
"motorcycle","5","5.12535369305135","1.02507073861027","","30.4","31.2550366580791","1.02812620585787","","5","4.79819515208707","0.959639030417413","","30.4","29.0045296975823","0.954096371630997","",""
"car","18.2","18.7560580133162","1.0305526380943","","67.6","69.8049278713532","1.03261727620345","","18.2","17.8594724858041","0.981289697022204","","67.6","65.6561214342786","0.971244399915365","",""
"bus","7.6","7.83379826336276","1.03076292938984","","19.8","20.4912651158129","1.03491237958651","","7.6","7.42169670851502","0.976539040594081","","19.8","19.1621061896841","0.967783140893138","",""
"truck","0.2","0.210163719810885","1.05081859905442","","0","0","NaN","","0.2","0.216285206566007","1.08142603283004","","0","0","NaN","",""
"total","32.6","33.5926963638636","1.03045080870747","","127.8","131.964988216323","1.0325898921465","","32.6","32.0036957536024","0.981708458699461","","127.8","124.7089863058","0.975813664364635","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","1.2","1.25256213011474","1.04380177509562","2020 serious","0","0","NaN","2036 fatal","1.2","1.29792483428789","1.08160402857324","2036 serious","NHB"
"walk","0.4","0.417340569775069","1.04335142443767","","1.8","1.87803260739948","1.04335144855527","","0.4","0.426078104343328","1.06519526085832","","1.8","1.91735150555576","1.06519528086431","",""
"motorcycle","0.4","0.427522892364735","1.06880723091184","","2.2","2.3233952077219","1.05608873078268","","0.4","0.389501331748627","0.973753329371566","","2.2","2.15268619561765","0.978493725280751","",""
"car","7","7.34864672617327","1.04980667516761","","25.2","26.4325281557175","1.04890984744911","","7","6.97071290709919","0.995816129585599","","25.2","25.1220243003917","0.996905726206021","",""
"bus","0.6","0.636193162781712","1.06032193796952","","0.8","0.841055441999207","1.05131930249901","","0.6","0.602540371916697","1.00423395319449","","0.8","0.784217104483928","0.98027138060491","",""
"truck","0.2","0.213761488742598","1.06880744371299","","0","0","NaN","","0.2","0.194750703309681","0.973753516548407","","0","0","NaN","",""
"total","8.6","9.04346483983739","1.05156567905086","","31.2","32.7275735429528","1.04896069047926","","8.6","8.58358341841753","0.998091095164829","","31.2","31.274203940337","1.00237833142106","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","1","1.03914044011028","1.03914044011028","2020 serious","0","0","NaN","2036 fatal","1","1.09317133174339","1.09317133174339","2036 serious","NHO"
"walk","0.4","0.414226006630511","1.03556501657628","","0.4","0.414225988774717","1.03556497193679","","0.4","0.427034382098613","1.06758595524653","","0.4","0.427034396151442","1.0675859903786","",""
"motorcycle","1.4","1.45337591013456","1.03812565009612","","2","2.09531476277574","1.04765738138787","","1.4","1.36798806903924","0.977134335028031","","2","1.94324580424371","0.971622902121855","",""
"car","6.6","6.87646306307888","1.04188834289074","","26.4","27.591368560667","1.04512759699496","","6.6","6.54692276250591","0.991957994319077","","26.4","26.2775904464262","0.995363274485839","",""
"bus","1.8","1.89862073808404","1.05478929893558","","5.2","5.45512836079501","1.04906314630673","","1.8","1.76472278512173","0.98040154728985","","5.2","5.11938911906172","0.984497907511869","",""
"truck","0","0","NaN","","0.2","0.20902442843623","1.04512214218115","","0","0","NaN","","0.2","0.217842205588794","1.08921102794397","",""
"total","10.2","10.642685717928","1.04340056058118","","35.2","36.804202541559","1.04557393583975","","10.2","10.1066679987655","0.990849803800539","","35.2","35.0782733032152","0.996541855204978","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.8","0.842753898077523","1.0534423725969","2020 fatal","0.4","0.421376936297979","1.05344234074495","2020 serious","0.8","0.880574715953537","1.10071839494192","2036 fatal","0.4","0.440287324142292","1.10071831035573","2036 serious","HO"
"walk","0.4","0.414472301823188","1.03618075455797","","0.8","0.828944641242418","1.03618080155302","","0.4","0.423988493110428","1.05997123277607","","0.8","0.847977083966774","1.05997135495847","",""
"motorcycle","0.4","0.412894246805486","1.03223561701372","","4.6","4.77569270604654","1.03819406653186","","0.4","0.394144305372274","0.985360763430685","","4.6","4.53604175172811","0.986096032984371","",""
"car","6.2","6.47696433119047","1.04467166632104","","27.2","28.4769139540973","1.04694536595946","","6.2","6.22283619383177","1.00368325706964","","27.2","27.0164383078175","0.993251408375642","",""
"bus","6.4","6.7387747221932","1.05293355034269","","9.2","9.67374489835441","1.0514940106907","","6.4","6.39431679557212","0.999111999308144","","9.2","9.15482694064734","0.995089884852972","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","14.2","14.8858595000899","1.04829996479506","","42.2","44.1766731360387","1.04684059564073","","14.2","14.3158605038401","1.00815919041128","","42.2","41.995571408302","0.995155720575876","",""
