"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.4","0.420327440647025","1.05081860161756","2020 fatal","5.4","5.63361018010229","1.04326114446339","2020 serious","0.4","0.43257041742019","1.08142604355048","2036 fatal","5.4","5.99690519402097","1.11053799889277","2036 serious","NHW"
"walk","1.2","1.24699523367535","1.03916269472946","","4.6","4.78014839097576","1.03916269369038","","1.2","1.27547578321002","1.06289648600835","","4.6","4.88932379023435","1.0628964761379","",""
"motorcycle","5","5.12535369305135","1.02507073861027","","30.4","31.2550366580791","1.02812620585787","","5","4.79819515208707","0.959639030417413","","30.4","29.0045296975823","0.954096371630997","",""
"car","18.2","18.7560580133162","1.0305526380943","","67.6","69.8049278713532","1.03261727620345","","18.2","17.8594724858041","0.981289697022204","","67.6","65.6561214342786","0.971244399915365","",""
"bus","7.6","7.83379826336276","1.03076292938984","","19.8","20.4912651158129","1.03491237958651","","7.6","7.42169670851502","0.976539040594081","","19.8","19.1621061896841","0.967783140893138","",""
"truck","0.2","0.210163719810885","1.05081859905442","","0","0","NaN","","0.2","0.216285206566007","1.08142603283004","","0","0","NaN","",""
"total","32.6","33.5926963638636","1.03045080870747","","127.8","131.964988216323","1.0325898921465","","32.6","32.0036957536024","0.981708458699461","","127.8","124.7089863058","0.975813664364635","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.8","0.839515596367615","1.04939449545952","2020 fatal","2.6","2.71560325653647","1.04446279097556","2020 serious","0.8","0.873848145398036","1.09231018174754","2036 fatal","2.6","2.84677732675704","1.09491435644502","2036 serious","NHB"
"walk","1.2","1.24465854853968","1.0372154571164","","3","3.1116464543662","1.03721548478873","","1.2","1.27699207918253","1.06416006598544","","3","3.19248028098966","1.06416009366322","",""
"motorcycle","2.2","2.29532292697607","1.04332860317094","","8.8","9.18893343589635","1.04419698135186","","2.2","2.15440528657708","0.979275130262311","","8.8","8.63049979358418","0.980738612907293","",""
"car","19.8","20.6916157593793","1.04503109895855","","78.8","82.4635057908927","1.04649119023975","","19.8","19.7457346309624","0.997259324796079","","78.8","78.421524166832","0.995197007193299","",""
"bus","8.8","9.268746232528","1.05326661733273","","15.2","15.9741082648813","1.05092817532114","","8.8","8.75867310444588","0.99530376186885","","15.2","15.0651954568559","0.991131280056306","",""
"truck","0.2","0.212802413770956","1.06401206885478","","0.2","0.209878898571749","1.04939449285874","","0.2","0.193942461877758","0.96971230938879","","0.2","0.218462036174229","1.09231018087115","",""
"total","33","34.5526614775616","1.0470503478049","","108.6","113.663676101145","1.04662685176008","","33","33.0035957084437","1.00010896086193","","108.6","108.374939061193","0.99792761566476","",""
