"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.237222727184667","1.18611363592333","2020 fatal","0","0","NaN","2020 serious","0.2","0.199136669663048","0.995683348315239","2036 fatal","0","0","NaN","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.6","0.844650733338732","1.40775122223122","","2.4","3.10371418763808","1.2932142448492","","0.6","0.619763693406749","1.03293948901125","","2.4","2.45906035069759","1.02460847945733","",""
"car","2.2","2.91155992917698","1.32343633144408","","6.8","9.19851435825993","1.35272269974411","","2.2","2.26190617006539","1.02813916821154","","6.8","6.99254403075529","1.02831529864048","",""
"bus","1.2","1.6870678521956","1.40588987682967","","2.6","3.61582566095321","1.3907021772897","","1.2","1.24229628322296","1.0352469026858","","2.6","2.67819144334259","1.03007363205484","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","4.2","5.68050124189598","1.35250029568952","","11.8","15.9180542068512","1.34898764464841","","4.2","4.32310281635815","1.02931019437099","","11.8","12.1297958247955","1.02794879871148","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"car","0.2","0.277774985606988","1.38887492803494","","0.2","0.234797089176144","1.17398544588072","","0.2","0.224740160869462","1.12370080434731","","0.2","0.202212397934984","1.01106198967492","",""
"bus","0.2","0.27564834303848","1.3782417151924","","0.2","0.234797079640476","1.17398539820238","","0.2","0.204449265028811","1.02224632514406","","0.2","0.202212395776724","1.01106197888362","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.4","0.553423328645468","1.38355832161367","","0.4","0.46959416881662","1.17398542204155","","0.4","0.429189425898273","1.07297356474568","","0.4","0.404424793711708","1.01106198427927","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHO"
"walk","0","0","NaN","","0.2","0.238767062592679","1.1938353129634","","0","0","NaN","","0.2","0.200047308692322","1.00023654346161","",""
"motorcycle","0.2","0.299325826629077","1.49662913314538","","0","0","NaN","","0.2","0.205980394515281","1.0299019725764","","0","0","NaN","",""
"car","0","0","NaN","","0.8","1.197303281954","1.4966291024425","","0","0","NaN","","0.8","0.823921566424227","1.02990195803028","",""
"bus","0","0","NaN","","1","1.4576631704051","1.4576631704051","","0","0","NaN","","1","1.03608746011596","1.03608746011596","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.2","0.299325826629077","1.49662913314538","","2","2.89373351495178","1.44686675747589","","0.2","0.205980394515281","1.0299019725764","","2","2.06005633523251","1.03002816761625","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","HO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.2","0.303866751031856","1.51933375515928","","0","0","NaN","","0.2","0.211999933989002","1.05999966994501","",""
"car","2","2.92397905496194","1.46198952748097","","5.4","7.44838628937719","1.37933079432911","","2","2.10782461190518","1.05391230595259","","5.4","5.64483483282475","1.04533978385644","",""
"bus","0.6","0.849778088539618","1.4162968142327","","1.2","1.65116779022955","1.37597315852462","","0.6","0.629094832352238","1.04849138725373","","1.2","1.25373751488274","1.04478126240228","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","2.6","3.77375714350155","1.45144505519291","","6.8","9.40342083063859","1.38285600450568","","2.6","2.73691944425742","1.05266132471439","","6.8","7.11057228169649","1.04567239436713","",""
