"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.237222727184667","1.18611363592333","2020 fatal","0","0","NaN","2020 serious","0.2","0.199136669663048","0.995683348315239","2036 fatal","0","0","NaN","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.6","0.844650733338732","1.40775122223122","","2.4","3.10371418763808","1.2932142448492","","0.6","0.619763693406749","1.03293948901125","","2.4","2.45906035069759","1.02460847945733","",""
"car","2.2","2.91155992917698","1.32343633144408","","6.8","9.19851435825993","1.35272269974411","","2.2","2.26190617006539","1.02813916821154","","6.8","6.99254403075529","1.02831529864048","",""
"bus","1.2","1.6870678521956","1.40588987682967","","2.6","3.61582566095321","1.3907021772897","","1.2","1.24229628322296","1.0352469026858","","2.6","2.67819144334259","1.03007363205484","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","4.2","5.68050124189598","1.35250029568952","","11.8","15.9180542068512","1.34898764464841","","4.2","4.32310281635815","1.02931019437099","","11.8","12.1297958247955","1.02794879871148","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0.2","0.240147748345254","1.20073874172627","","0","0","NaN","","0.2","0.202297860711037","1.01148930355519","",""
"motorcycle","0.2","0.300656455984158","1.50328227992079","","0.2","0.300656456646117","1.50328228323059","","0.2","0.209302981122562","1.04651490561281","","0.2","0.209302983468431","1.04651491734215","",""
"car","2.2","3.14148759644214","1.4279489074737","","6.4","8.84543724765194","1.38209956994562","","2.2","2.29200285018755","1.04181947735798","","6.4","6.63561757355729","1.03681524586833","",""
"bus","0.8","1.14211711643095","1.42764639553869","","2.4","3.33126478260921","1.38802699275384","","0.8","0.830206804157236","1.03775850519655","","2.4","2.49189708552015","1.03829045230006","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","3.2","4.58426116885725","1.43258161526789","","9.2","12.7175062352525","1.38233763426658","","3.2","3.33151263546734","1.04109769858355","","9.2","9.53911550325691","1.03686038078879","",""
