"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.228266902271698","1.14133451135849","2020 fatal","0.2","0.213510024055576","1.06755012027788","2020 serious","0.2","0.190897228962338","0.954486144811692","2036 fatal","0.2","0.203972004879281","1.01986002439641","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.8","0.884849464841648","1.10606183105206","","2.8","3.00830209284027","1.07439360458581","","0.8","0.724722382442215","0.905902978052769","","2.8","2.60851880618417","0.931613859351489","",""
"car","3.8","4.19509323563887","1.10397190411549","","8.4","9.17235717911858","1.0919472832284","","3.8","3.52541424707789","0.927740591336287","","8.4","7.72128965590941","0.919201149513025","",""
"bus","2.2","2.47739526688959","1.12608875767709","","5","5.52258526891701","1.1045170537834","","2.2","1.99548304510755","0.907037747776157","","5","4.55123013969083","0.910246027938166","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","7","7.78560486964181","1.11222926709169","","16.4","17.9167545649314","1.09248503444704","","7","6.43651690358999","0.91950241479857","","16.4","15.0850106066637","0.919817719918518","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.4","0.442647040767648","1.10661760191912","","0","0","NaN","","0.4","0.357578867109176","0.893947167772939","",""
"car","0.6","0.658004833639161","1.09667472273193","","1.6","1.7159295304068","1.07245595650425","","0.6","0.600566847388511","1.00094474564752","","1.6","1.48185613437044","0.926160083981527","",""
"bus","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.6","0.658004833639161","1.09667472273193","","2","2.15857657117445","1.07928828558722","","0.6","0.600566847388511","1.00094474564752","","2","1.83943500147962","0.91971750073981","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"car","0.8","0.847039511367496","1.05879938920937","","3","3.2579180591216","1.08597268637387","","0.8","0.756280103447589","0.945350129309486","","3","2.82496837032241","0.941656123440802","",""
"bus","0.2","0.215165765826902","1.07582882913451","","0.6","0.672633651695956","1.12105608615993","","0.2","0.214526953473856","1.07263476736928","","0.6","0.53621197038868","0.893686617314466","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","1","1.0622052771944","1.0622052771944","","3.6","3.93055171081755","1.09181991967154","","1","0.970807056921445","0.970807056921445","","3.6","3.36118034071109","0.933661205753079","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.2","0.23698385929192","1.1849192964596","2020 fatal","0","0","NaN","2020 serious","0.2","0.199775149598174","0.998875747990869","2036 fatal","0","0","NaN","2036 serious","HO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.2","0.216577592828953","1.08288796414477","","1.6","1.73262074263163","1.08288796414477","","0.2","0.190438843195572","0.952194215977858","","1.6","1.52351074556457","0.952194215977858","",""
"car","4.2","4.69174237031649","1.11708151674202","","8","8.84261963172035","1.10532745396504","","4.2","3.92638266503984","0.934853015485677","","8","7.52651221174436","0.940814026468045","",""
"bus","0.8","0.884262029102016","1.10532753637752","","2.4","2.74254439419983","1.14272683091659","","0.8","0.752651280042054","0.940814100052567","","2.4","2.212433390958","0.9218472462325","",""
"truck","0.6","0.703587747869852","1.17264624644975","","1.2","1.4071754957397","1.17264624644975","","0.6","0.544004250225446","0.906673750375743","","1.2","1.08800850045089","0.906673750375743","",""
"total","6","6.73315359940924","1.12219226656821","","13.2","14.7249602642915","1.11552729274936","","6","5.61325218810109","0.935542031350181","","13.2","12.3504648487178","0.935641276418017","",""
