"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.228266902271698","1.14133451135849","2020 fatal","0.2","0.213510024055576","1.06755012027788","2020 serious","0.2","0.190897228962338","0.954486144811692","2036 fatal","0.2","0.203972004879281","1.01986002439641","2036 serious","NHW"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.8","0.884849464841648","1.10606183105206","","2.8","3.00830209284027","1.07439360458581","","0.8","0.724722382442215","0.905902978052769","","2.8","2.60851880618417","0.931613859351489","",""
"car","3.8","4.19509323563887","1.10397190411549","","8.4","9.17235717911858","1.0919472832284","","3.8","3.52541424707789","0.927740591336287","","8.4","7.72128965590941","0.919201149513025","",""
"bus","2.2","2.47739526688959","1.12608875767709","","5","5.52258526891701","1.1045170537834","","2.2","1.99548304510755","0.907037747776157","","5","4.55123013969083","0.910246027938166","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","7","7.78560486964181","1.11222926709169","","16.4","17.9167545649314","1.09248503444704","","7","6.43651690358999","0.91950241479857","","16.4","15.0850106066637","0.919817719918518","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.2","0.233486340030086","1.16743170015043","2020 fatal","0","0","NaN","2020 serious","0.2","0.197211896185873","0.986059480929364","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0.2","0.214423045027792","1.07211522513896","","2","2.17515676875363","1.08757838437681","","0.2","0.189914054811389","0.949570274056946","","2","1.87998590574963","0.939992952874816","",""
"car","5.6","6.14647922394327","1.09758557570416","","12.6","13.8093828766104","1.09598276798495","","5.6","5.25783436265085","0.938898993330509","","12.6","11.8354897333101","0.939324582008736","",""
"bus","1","1.09104409274113","1.09104409274113","","3","3.38644044782119","1.12881348260706","","1","0.966429881072011","0.966429881072011","","3","2.74336031150318","0.914453437167726","",""
"truck","0.6","0.689658633584856","1.14943105597476","","1.2","1.37931726716971","1.14943105597476","","0.6","0.54101022322355","0.901683705372584","","1.2","1.0820204464471","0.901683705372584","",""
"total","7.6","8.37509133532713","1.10198570201673","","18.8","20.7502973603549","1.10373922129547","","7.6","7.15240041794368","0.941105318150483","","18.8","17.54085639701","0.933024276436701","",""
