"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.205415809146527","1.02707904573264","2020 fatal","0.6","0.690996152019196","1.15166025336533","2020 serious","0.2","0.203413938017451","1.01706969008726","2036 fatal","0.6","0.603576839906455","1.00596139984409","2036 serious","NHW"
"walk","0.2","0.241271622018395","1.20635811009197","","0.4","0.48254324403679","1.20635811009197","","0.2","0.209741744685807","1.04870872342904","","0.4","0.419483489371615","1.04870872342904","",""
"motorcycle","0.8","0.988565710874467","1.23570713859308","","5.4","6.59755144090473","1.22176878535273","","0.8","0.783670897844162","0.979588622305203","","5.4","5.29541859348144","0.980633072866933","",""
"car","4.4","5.43177297007865","1.23449385683606","","9.4","11.8576148427835","1.26144838753015","","4.4","4.34119596383267","0.986635446325606","","9.4","9.22060749796913","0.980915691273311","",""
"bus","2.4","3.18074600268559","1.32531083445233","","6.4","7.90088593961757","1.23451342806525","","2.4","2.33489830285637","0.972874292856821","","6.4","6.3120586938256","0.98625917091025","",""
"truck","0.4","0.515787741393581","1.28946935348395","","0.2","0.279398758039513","1.39699379019757","","0.4","0.390224008767864","0.97556002191966","","0.2","0.19350056581662","0.9675028290831","",""
"total","8.4","10.5635598561972","1.25756664954729","","22.4","27.8089903774012","1.24147278470541","","8.4","8.26314485600432","0.983707720952895","","22.4","22.0446456803709","0.984135967873699","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"car","0.4","0.459504012880757","1.14876003220189","","0.2","0.139807865009919","0.699039325049597","","0.4","0.393487067974676","0.983717669936691","","0.2","0.185554912896038","0.927774564480192","",""
"bus","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","0.4","0.459504012880757","1.14876003220189","","0.2","0.139807865009919","0.699039325049597","","0.4","0.393487067974676","0.983717669936691","","0.2","0.185554912896038","0.927774564480192","",""
"","","","","","","","","","","","","","","","","",""
"bike","0","0","NaN","2020 fatal","0","0","NaN","2020 serious","0","0","NaN","2036 fatal","0","0","NaN","2036 serious","NHO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.2","0.239742625952518","1.19871312976259","","0","0","NaN","","0.2","0.198523528563271","0.992617642816353","",""
"car","1","1.23626726833398","1.23626726833398","","1.6","1.95359217913214","1.22099511195759","","1","0.996233374188933","0.996233374188933","","1.6","1.59183981273811","0.994899882961317","",""
"bus","0","0","NaN","","0.2","0.287382635735413","1.43691317867707","","0","0","NaN","","0.2","0.197057958884114","0.985289794420571","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","1","1.23626726833398","1.23626726833398","","2","2.48071744082007","1.24035872041004","","1","0.996233374188933","0.996233374188933","","2","1.98742130018549","0.993710650092746","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.2","0.234100011069766","1.17050005534883","2020 fatal","0.2","0.234099994307978","1.17049997153989","2020 serious","0.2","0.195552176150615","0.977760880753076","2036 fatal","0.2","0.195552161872193","0.977760809360963","2036 serious","HO"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.6","0.757804772003361","1.26300795333893","","0","0","NaN","","0.6","0.599249705506334","0.998749509177223","",""
"car","0.8","0.99190483733269","1.23988104666586","","1.6","1.94261198267639","1.21413248917274","","0.8","0.794801925411723","0.993502406764654","","1.6","1.59405151327414","0.996282195796337","",""
"bus","0.4","0.520128022909111","1.30032005727278","","1.8","2.36296328455617","1.31275738030898","","0.4","0.399437337706017","0.998593344265042","","1.8","1.79737426242657","0.998541256903648","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","1.4","1.74613287131157","1.24723776522255","","4.2","5.29748003354389","1.2613047698914","","1.4","1.38979143926836","0.992708170905968","","4.2","4.18622764307923","0.996720867399817","",""
