"","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","","baseline","scenario","RR","",""
"bike","0.2","0.205415809146527","1.02707904573264","2020 fatal","0.6","0.690996152019196","1.15166025336533","2020 serious","0.2","0.203413938017451","1.01706969008726","2036 fatal","0.6","0.603576839906455","1.00596139984409","2036 serious","NHW"
"walk","0.2","0.241271622018395","1.20635811009197","","0.4","0.48254324403679","1.20635811009197","","0.2","0.209741744685807","1.04870872342904","","0.4","0.419483489371615","1.04870872342904","",""
"motorcycle","0.8","0.988565710874467","1.23570713859308","","5.4","6.59755144090473","1.22176878535273","","0.8","0.783670897844162","0.979588622305203","","5.4","5.29541859348144","0.980633072866933","",""
"car","4.4","5.43177297007865","1.23449385683606","","9.4","11.8576148427835","1.26144838753015","","4.4","4.34119596383267","0.986635446325606","","9.4","9.22060749796913","0.980915691273311","",""
"bus","2.4","3.18074600268559","1.32531083445233","","6.4","7.90088593961757","1.23451342806525","","2.4","2.33489830285637","0.972874292856821","","6.4","6.3120586938256","0.98625917091025","",""
"truck","0.4","0.515787741393581","1.28946935348395","","0.2","0.279398758039513","1.39699379019757","","0.4","0.390224008767864","0.97556002191966","","0.2","0.19350056581662","0.9675028290831","",""
"total","8.4","10.5635598561972","1.25756664954729","","22.4","27.8089903774012","1.24147278470541","","8.4","8.26314485600432","0.983707720952895","","22.4","22.0446456803709","0.984135967873699","",""
"","","","","","","","","","","","","","","","","",""
"bike","0.2","0.228236119043901","1.14118059521951","2020 fatal","0.2","0.228236116682051","1.14118058341025","2020 serious","0.2","0.198044456925863","0.990222284629315","2036 fatal","0.2","0.198044457206041","0.990222286030206","2036 serious","NHB"
"walk","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"motorcycle","0","0","NaN","","0.8","0.998346656673128","1.24793332084141","","0","0","NaN","","0.8","0.796329337177014","0.995411671471268","",""
"car","2.2","2.69742772224687","1.22610351011221","","3.4","4.11065795591243","1.2090170458566","","2.2","2.20689541888324","1.00313428131056","","3.4","3.38238400733903","0.99481882568795","",""
"bus","0.4","0.521927909615192","1.30481977403798","","2","2.65514869888923","1.32757434944461","","0.4","0.397798681512139","0.994496703780347","","2","1.98826143453144","0.994130717265719","",""
"truck","0","0","NaN","","0","0","NaN","","0","0","NaN","","0","0","NaN","",""
"total","2.8","3.44759175090596","1.2312827681807","","6.4","7.99238942815684","1.24881084814951","","2.8","2.80273855732124","1.00097805618616","","6.4","6.36501923625352","0.994534255664613","",""
