"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","catQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000107370872076185","0.00500991406634377","0.00545417532154602","0.0104640893878898",""
"maleAgeClass 5","-0.00000897768241392427","-0.000299888904010004","-0.000110566994763417","-0.000410455898773421",""
"maleAgeClass 6","-0.00346558922263851","-0.0802470850769481","-0.0201875710914017","-0.10043465616835",""
"maleAgeClass 7","-0.0224224607851475","-0.327120336895433","-0.0749598309140396","-0.402080167809473",""
"maleAgeClass 8","-0.545960828045814","-3.4751430539408","-0.952199810156898","-4.4273428640977",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000453853785602087","-0.0212113933600708","-0.0415442244433386","-0.0627556178034094",""
"femaleAgeClass 5","-0.0013152186176284","-0.0439643301748802","-0.0333025541435887","-0.077266884318469",""
"femaleAgeClass 6","-0.00611353052243002","-0.140912819514163","-0.0650152377558513","-0.205928057270015",""
"femaleAgeClass 7","-0.00189925579182848","-0.0273624772723906","-0.0098447676981408","-0.0372072449705314",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.581532343581427","-4.11125147107235","-1.19171038787648","-5.30296185894883",""
"proportion","-0.00494220122023875","-0.00367529998366162","-0.00286579424583352","-0.00345592626401269",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","-0.00569090926100113","-0.190098119132813","-0.0700878807501084","-0.260185999882921",""
"maleAgeClass 6","-0.0106073276138252","-0.245616853810958","-0.0617892561804823","-0.30740610999144",""
"maleAgeClass 7","-0.0359890752657535","-0.525043104692884","-0.120313957621491","-0.645357062314375",""
"maleAgeClass 8","-0.11374255867868","-0.723992716005853","-0.198376215319819","-0.922368931325671",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000239414697187801","-0.0111893289850915","-0.0219152031569045","-0.033104532141996",""
"femaleAgeClass 5","-0.00429413646000087","-0.143541788880626","-0.108731514321917","-0.252273303202543",""
"femaleAgeClass 6","-0.000322842602835216","-0.00744130764667261","-0.00343331705045813","-0.0108746246971307",""
"femaleAgeClass 7","-0.0214562223398431","-0.309118655133773","-0.111218049471901","-0.420336704605674",""
"femaleAgeClass 8","-0.670902780894338","-3.67360068885807","-1.27091587563818","-4.94451656449625",""
"total","-0.863245267813465","-5.82964256314674","-1.96678126951126","-7.79642383265801",""
"proportion","-0.00694299143013511","-0.00392683384490068","-0.00353815207151478","-0.00382094744953301",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.0000467735320224816","-0.00218244828863412","-0.0023759799946248","-0.00455842828325892",""
"maleAgeClass 5","-0.00549851775181942","-0.183671507434156","-0.0677184328228293","-0.251389940256985",""
"maleAgeClass 6","-0.00994263751395863","-0.230225692433493","-0.0579173377900588","-0.288143030223551",""
"maleAgeClass 7","-0.0143537326469101","-0.209406001605061","-0.0479855169558618","-0.257391518560922",""
"maleAgeClass 8","-0.0329431289404969","-0.209689193494725","-0.0574554794258688","-0.267144672920594",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000270257545027519","-0.0166094795962017","-0.192783325061441","-0.209392804657643",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","-0.00288334270902224","-0.0963826311213438","-0.0730089092373731","-0.169391540358717",""
"femaleAgeClass 6","-0.00883397455084278","-0.203617248152838","-0.0939461991144057","-0.297563447267244",""
"femaleAgeClass 7","-0.0274949961867881","-0.396118949065212","-0.142519955176503","-0.538638904241715",""
"femaleAgeClass 8","-0.00388238505174243","-0.0212584189641802","-0.00735454515633904","-0.0286129641205193",""
"total","-0.106149746428631","-1.56916157015584","-0.743065680735306","-2.31222725089115",""
"proportion","-0.0013967071898504","-0.00142478826090509","-0.00115514325828379","-0.00132536545319093",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000677223581722286","-0.031599184047991","-0.0344012866355072","-0.0660004706834982",""
"maleAgeClass 5","-0.00468482077109478","-0.156490918448185","-0.0576971349359354","-0.21418805338412",""
"maleAgeClass 6","-0.00488238076260838","-0.113053451885094","-0.0284405918902948","-0.141494043775388",""
"maleAgeClass 7","-0.0121948971050889","-0.177910840725573","-0.0407683810341197","-0.218679221759693",""
"maleAgeClass 8","0.00301136788303324","0.0191679212939704","0.0052520689749791","0.0244199902689495",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000111879993415998","-0.0052288437923238","-0.010241112236244","-0.0154699560285678",""
"femaleAgeClass 5","-0.00386701490361041","-0.129264228573675","-0.0979164007226103","-0.227180629296285",""
"femaleAgeClass 6","-0.000774803475105168","-0.0178587056768436","-0.00823976129067105","-0.0260984669675146",""
"femaleAgeClass 7","-0.00547018175196712","-0.07880861783228","-0.0283546159745391","-0.107163233806819",""
"femaleAgeClass 8","0.132429383761362","0.725131403930504","0.250865864647245","0.97599726857775",""
"total","0.102777549299783","0.0340845342425098","-0.0499413510976972","-0.0158568168551874",""
"proportion","0.00146825070428261","0.0000315195986377037","-0.0000983433632628648","-0.00000997785175107165",""
""," "," "," "," ",""
