"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","CatQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000113216634351709","0.00528267674476979","0.00575112561842417","0.011033802363194",""
"maleAgeClass 5","-0.00569085362905319","-0.190096260813192","-0.0700871956003368","-0.260183456413529",""
"maleAgeClass 6","-0.0369493095382634","-0.855575833016417","-0.215235206818335","-1.07081103983475",""
"maleAgeClass 7","-0.00352143730761156","-0.0513741007046633","-0.0117724074838321","-0.0631465081884954",""
"maleAgeClass 8","-0.0111608379498946","-0.0710408265306341","-0.0194654034340118","-0.090506229964646",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.000374715302784878","0.0125257558495946","0.00948813869587184","0.0220138945454664",""
"femaleAgeClass 6","0.013203390398127","0.304329382395338","0.140413393336004","0.444742775731342",""
"femaleAgeClass 7","-0.30387216783955","-4.37787017525062","-1.57511743030133","-5.95298760555195",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.34750328392911","-5.22381938132582","-1.73602498598755","-6.95984436731337",""
"proportion","-0.00158677298597767","-0.00242093754008614","-0.00225444269299624","-0.00237714999124955",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000354283479631512","-0.0165308314420827","-0.0179967264312211","-0.0345275578733037",""
"maleAgeClass 5","-0.000913775801938854","-0.0305236041010346","-0.0112538447726607","-0.0417774488736953",""
"maleAgeClass 6","0.00256481788997931","0.0593893696574241","0.0149404445143659","0.0743298141717901",""
"maleAgeClass 7","0.000937506550805267","0.0136772436210322","0.00313414897686926","0.0168113925979014",""
"maleAgeClass 8","0.0936301737472434","0.595973614263926","0.163298590461494","0.75927220472542",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000577683844813714","-0.0269987376085226","-0.0528792048619806","-0.0798779424705032",""
"femaleAgeClass 5","-0.00181792082016941","-0.0607683544762097","-0.0460314397401334","-0.106799794216343",""
"femaleAgeClass 6","-0.00250759462848471","-0.0577983912899072","-0.0266673831704907","-0.0844657744603978",""
"femaleAgeClass 7","0.00423124533822872","0.0609593267528226","0.0219326051856541","0.0828919319384767",""
"femaleAgeClass 8","-0.060993560788134","-0.333976834361124","-0.115542351179414","-0.449519185540538",""
"total","0.0341989241630845","0.203402801016324","-0.067065161017517","0.136337639998807",""
"proportion","0.000165212194024563","0.000084712493853807","-0.0000670752049555756","0.0000400881775225869",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.0000754464152807888","-0.00465686483030936","-0.0221470450249228","-0.0268039098552322",""
"maleAgeClass 4","-0.000441792994805734","-0.0206140165976763","-0.022441993837873","-0.0430560104355493",""
"maleAgeClass 5","-0.00252766933159165","-0.084433816054343","-0.0311301724492807","-0.115563988503624",""
"maleAgeClass 6","-0.0199316704025083","-0.461525688061329","-0.116104935516489","-0.577630623577818",""
"maleAgeClass 7","0.010002501446067","0.145926072708335","0.0334390513288838","0.179365124037218",""
"maleAgeClass 8","0.0511910848263497","0.325840854727062","0.0892813893404139","0.415122244067476",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000588004329932001","-0.0274810776846479","-0.0538239067983994","-0.0813049844830473",""
"femaleAgeClass 5","0.000550858897748085","0.0184137770982034","0.0139482577435217","0.0323620348417251",""
"femaleAgeClass 6","0.00372144408724928","0.0857768153891811","0.0395762434226867","0.125353058811868",""
"femaleAgeClass 7","-0.0270697718867847","-0.389992765170149","-0.14031581054725","-0.530308575717399",""
"femaleAgeClass 8","0.0724214546945348","0.396551502587727","0.137190631980104","0.533742134567831",""
"total","0.0872529885910456","-0.0161952058879464","-0.0725282903586049","-0.0887234962465513",""
"proportion","0.000386075170756839","-0.00000580380538310007","-0.0000548995743645493","-0.0000215790774600569",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.00116845117165321","-0.0545198138703995","-0.0593544359063856","-0.113874249776785",""
"maleAgeClass 5","-0.00348117466658948","-0.116284538399952","-0.0428733166726545","-0.159157855072607",""
"maleAgeClass 6","-0.00708944490464702","-0.164158892431658","-0.0412970677760285","-0.205455960207686",""
"maleAgeClass 7","0.0154489288672863","0.225383773180084","0.0516468333601381","0.277030606540222",""
"maleAgeClass 8","-0.0468389954993889","-0.298138990018543","-0.0816909938064612","-0.379829983825005",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.00212320914463437","0.0992306901060402","0.194351308820359","0.293581998926399",""
"femaleAgeClass 5","0.00194812935110988","0.0651208862675503","0.049328440401041","0.114449326668591",""
"femaleAgeClass 6","-0.0159452845224877","-0.36752822150396","-0.169572468888589","-0.537100690392549",""
"femaleAgeClass 7","-0.00961176797165919","-0.138476230428495","-0.0498224742851932","-0.188298704713688",""
"femaleAgeClass 8","0.0489296065893825","0.267919349257568","0.0926891579138669","0.360608507171435",""
"total","-0.0156852447840123","-0.481451987841766","-0.056595016839907","-0.538047004681673",""
"proportion","-0.000101195127638789","-0.000195126678582506","-0.0000484134308565812","-0.000147962495874239",""
""," "," "," "," ",""
