"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","NHW"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.0000793079922730699","-0.00489521733544152","-0.023280598146016","-0.0281758154814575",""
"maleAgeClass 4","-0.00441162578754462","-0.205846014483143","-0.224099702582635","-0.429945717065777",""
"maleAgeClass 5","-0.0175381362553821","-0.585840779098476","-0.215995501961459","-0.801836281059934",""
"maleAgeClass 6","-0.0586799517873402","-1.35875742359508","-0.341819420088484","-1.70057684368356",""
"maleAgeClass 7","-0.057392727662446","-0.837300088878919","-0.191867841915098","-1.02916793079402",""
"maleAgeClass 8","-0.233236441387987","-1.48459368800604","-0.406783204586759","-1.8913768925928",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.0000521260529127154","-0.00243617272289498","-0.00477144073761337","-0.00720761346050836",""
"femaleAgeClass 5","-0.00985864984438223","-0.329548967014034","-0.249630149561995","-0.579179116576029",""
"femaleAgeClass 6","0.00131755578069459","0.0303687859648107","0.0140117403559543","0.0443805263207651",""
"femaleAgeClass 7","-0.0599463015375079","-0.863643180892609","-0.310730874450087","-1.1743740553427",""
"femaleAgeClass 8","-0.0330457053846658","-0.180945331457906","-0.0625996981843855","-0.243545029642291",""
"total","-0.472923417911747","-5.82343807751974","-2.01756669185858","-7.84100476937831",""
"proportion","-0.000640239284176554","-0.000660570206059733","-0.000532499513575388","-0.000622073515464796",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHB"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","0.000238357927249355","0.0079620657389512","0.0029355593657705","0.0108976251047217",""
"maleAgeClass 6","0.000708927548023153","0.0164154969342567","0.00412960808536833","0.020545105019625",""
"maleAgeClass 7","0","0","0","0",""
"maleAgeClass 8","0","0","0","0",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.000230586275147826","0.00770789813839201","0.00583865815914919","0.0135465562975412",""
"femaleAgeClass 6","-0.00231863916327291","-0.0534430932722181","-0.0246579085386358","-0.0781010018108539",""
"femaleAgeClass 7","0","0","0","0",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.00114076741285257","-0.0213576324606182","-0.0117540829283478","-0.033111715388966",""
"proportion","-0.000380255804284191","-0.000237549732144796","-0.000277656943310305","-0.000250388935555225",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000694358368736492","-0.032398691482614","-0.0352716915289975","-0.0676703830116114",""
"maleAgeClass 5","-0.00157394596122273","-0.0525758104940337","-0.0193843429543463","-0.07196015344838",""
"maleAgeClass 6","-0.000631261114055537","-0.0146171000286159","-0.0036771895913148","-0.0182942896199307",""
"maleAgeClass 7","-0.00428217923506891","-0.0624725326735884","-0.0143156201489276","-0.0767881528225161",""
"maleAgeClass 8","0","0","0","0",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000907309526406941","-0.0424041836258411","-0.0830520132262933","-0.125456196852134",""
"femaleAgeClass 5","-0.000820680105516614","-0.0274331967653758","-0.0207803807535889","-0.0482135775189647",""
"femaleAgeClass 6","-0.00221461518086663","-0.0510454095436188","-0.023551650227887","-0.0745970597715058",""
"femaleAgeClass 7","-0.00517085552682062","-0.074496240811861","-0.0268030623790629","-0.101299303190924",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.0162952050186945","-0.357443165425549","-0.226835950810418","-0.584279116235967",""
"proportion","-0.000514585421642983","-0.000779882158246369","-0.000908355411131618","-0.00082519363293714",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","HO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000139623001906231","-0.00651479519266829","-0.00709250392207394","-0.0136072991147422",""
"maleAgeClass 5","-0.000103806585936672","-0.00346753670373801","-0.00127845714674635","-0.00474599385048435",""
"maleAgeClass 6","-0.00386800328762327","-0.0895651414403602","-0.0225316926889612","-0.112096834129321",""
"maleAgeClass 7","-0.00662121935198012","-0.096596690516364","-0.0221351923780801","-0.118731882894444",""
"maleAgeClass 8","-0.017714597051647","-0.112756732232498","-0.0308956890001806","-0.143652421232678",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.000649566966067994","0.0217133305323784","0.016447637501031","0.0381609680334094",""
"femaleAgeClass 6","-0.00156961762373786","-0.0361786440925655","-0.016692329026359","-0.0528709731189245",""
"femaleAgeClass 7","-0.00266958427995068","-0.0384605588679179","-0.01383775539861","-0.0522983142665279",""
"femaleAgeClass 8","0.154838192354038","0.847833257353741","0.293315697030714","1.14114895438446",""
"total","0.122801308137324","0.486006488840008","0.195299714970734","0.681306203810742",""
"proportion","0.00404839477375795","0.00113189746506452","0.00113531185744358","0.00113287463129587",""
""," "," "," "," ",""
