"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","CatQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.000845745574979961","-0.0522029152592651","-0.248265809038344","-0.300468724297609",""
"maleAgeClass 4","-0.00742881923302896","-0.346627956467159","-0.377365683499818","-0.723993639966977",""
"maleAgeClass 5","-0.111098455369749","-3.7111130112512","-1.36826207102581","-5.07937508227701",""
"maleAgeClass 6","-0.130398362267321","-3.01942549982732","-0.75958979537387","-3.77901529520119",""
"maleAgeClass 7","-0.305576299666839","-4.45803977770743","-1.02156261856589","-5.47960239627332",""
"maleAgeClass 8","-4.38099966164464","-27.8858844103804","-7.64081749426418","-35.5267019046446",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000757199898069161","-0.0465359672232069","-0.540134833501497","-0.586670800724704",""
"femaleAgeClass 4","-0.0168845561539817","-0.789119698136062","-1.54555456567698","-2.33467426381304",""
"femaleAgeClass 5","-0.0954520657202949","-3.19071375431758","-2.41693475454258","-5.60764850886017",""
"femaleAgeClass 6","-0.159811166709055","-3.68354128734597","-1.69953531130807","-5.38307659865404",""
"femaleAgeClass 7","-1.4955101584288","-21.5457353857657","-7.7519574579062","-29.2976928436719",""
"femaleAgeClass 8","-0.573702874632033","-3.14137209662249","-1.0867865092124","-4.22815860583489",""
"total","-7.27846536529879","-71.8703117603038","-26.4567669039156","-98.3270786642195",""
"proportion","-0.00713575035813607","-0.0061617842980329","-0.00496573518670444","-0.00578676020770834",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.00102749693041937","-0.0634213607196301","-0.301618316739081","-0.365039677458711",""
"maleAgeClass 4","-0.0129302731769281","-0.603325242853259","-0.656825966845076","-1.26015120969834",""
"maleAgeClass 5","-0.0790182150197012","-2.63951037761535","-0.973169484416246","-3.6126798620316",""
"maleAgeClass 6","-0.157384099977364","-3.64429089810847","-0.916785718917595","-4.56107661702606",""
"maleAgeClass 7","-0.336300577762685","-4.90627497802188","-1.12427599659719","-6.03055097461908",""
"maleAgeClass 8","-0.914015302556919","-5.81787880505203","-1.59411656087195","-7.41199536592399",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000920682255704852","-0.0565832607528414","-0.65675201246205","-0.713335273214891",""
"femaleAgeClass 4","-0.0153186687610454","-0.715936099138219","-1.40221858530413","-2.11815468444235",""
"femaleAgeClass 5","-0.0872248532932787","-2.91569948770621","-2.20861411215685","-5.12431359986306",""
"femaleAgeClass 6","-0.120007783397163","-2.76609972913275","-1.27624038867441","-4.04234011780716",""
"femaleAgeClass 7","-0.228440370825084","-3.29112828387269","-1.18411769142705","-4.47524597529974",""
"femaleAgeClass 8","-0.0386835245562338","-0.211815819674712","-0.0732796269207938","-0.285095446595506",""
"total","-1.99127184851253","-27.631964342648","-12.3680144613324","-39.9999788039805",""
"proportion","-0.0020613580212345","-0.00241299998261299","-0.00236684796505786","-0.00239854026069909",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.0004247747916859","-0.0262188571961239","-0.124691231543864","-0.150910088739987",""
"maleAgeClass 4","-0.0122544633526322","-0.57179202458434","-0.622496495597716","-1.19428852018206",""
"maleAgeClass 5","-0.103282306562846","-3.45002376893353","-1.27200024705724","-4.72202401599077",""
"maleAgeClass 6","-0.173645628227035","-4.02083299733044","-1.01151153219359","-5.03234452952404",""
"maleAgeClass 7","-0.194484864973347","-2.83733151150341","-0.650176300158819","-3.48750781166223",""
"maleAgeClass 8","-0.910879451867089","-5.79791852734832","-1.58864738382084","-7.38656591116916",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.00149234548066179","-0.0917165210281539","-1.06453762048756","-1.15625414151571",""
"femaleAgeClass 4","-0.0119234896531806","-0.557258388674143","-1.09143549313433","-1.64869388180847",""
"femaleAgeClass 5","-0.0889210409778904","-2.97239862076708","-2.25156315610093","-5.22396177686801",""
"femaleAgeClass 6","-0.134628440139153","-3.10309615977235","-1.43172590898729","-4.53482206875964",""
"femaleAgeClass 7","-0.162364662678911","-2.33917906766624","-0.841615117530637","-3.18079418519687",""
"femaleAgeClass 8","-0.12551191868522","-0.687254076257091","-0.237761855490021","-0.925015931747112",""
"total","-1.91981338738965","-26.4550205210612","-12.1881623421028","-38.643182863164",""
"proportion","-0.00297184734890039","-0.0028247710899299","-0.00259695460802901","-0.0027487192651593",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.000999712682143716","-0.0617064019883315","-0.293462342790605","-0.355168744778936",""
"maleAgeClass 4","-0.0153334030722379","-0.715455041493726","-0.77889903485692","-1.49435407635065",""
"maleAgeClass 5","-0.0939107341490768","-3.13697743354669","-1.1565821970317","-4.29355963057839",""
"maleAgeClass 6","-0.112445330384766","-2.60371596695541","-0.65501072262407","-3.25872668957948",""
"maleAgeClass 7","-0.113541096133865","-1.65644627388031","-0.379575705340386","-2.03602197922069",""
"maleAgeClass 8","-0.236893647265568","-1.50787248924854","-0.41316166722261","-1.92103415647115",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000899670674335384","-0.0552919316541391","-0.641763781436794","-0.697055713090933",""
"femaleAgeClass 4","-0.0103892647300037","-0.485554572641973","-0.950997787033657","-1.43655235967563",""
"femaleAgeClass 5","-0.0766374410324886","-2.56178989268392","-1.94053102290513","-4.50232091558905",""
"femaleAgeClass 6","-0.0808097282386129","-1.86261058295179","-0.859382917144785","-2.72199350009657",""
"femaleAgeClass 7","-0.0717827906635122","-1.03417085077689","-0.372085161907506","-1.40625601268439",""
"femaleAgeClass 8","0.103513475081911","0.566799220686107","0.196089392637049","0.762888613323156",""
"total","-0.710129343944699","-15.1147922171356","-8.24536294765711","-23.3601551647927",""
"proportion","-0.00174765220002797","-0.00219694654418036","-0.00212405611340461","-0.00217065503911345",""
""," "," "," "," ",""
