"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","CatQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","0.000114635949871378","0.00382927884740525","0.00141182900935277","0.00524110785675802",""
"maleAgeClass 6","0.0000588572023114686","0.00136286172938327","0.000342851930675181","0.00170571366005845",""
"maleAgeClass 7","0.0233958678993256","0.341321332324867","0.0782139979471985","0.419535330272065",""
"maleAgeClass 8","0.0138643359970843","0.0882490985850239","0.0241805225324043","0.112429621117428",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.0000180645456995254","0.000844267904907881","0.00165356677594986","0.00249783468085774",""
"femaleAgeClass 5","-0.000526278891645138","-0.0175921315637027","-0.013325869211954","-0.0309180007756567",""
"femaleAgeClass 6","0.00411016378137496","0.0947365462515677","0.0437101400706474","0.138446686322215",""
"femaleAgeClass 7","-0.00507502436918905","-0.0731156064160317","-0.026306322819714","-0.0994219292357457",""
"femaleAgeClass 8","0.033710881577413","0.184587575594321","0.0638597659729072","0.248447341567228",""
"total","0.069671503692246","0.624223223257742","0.173740482207467","0.797963705465209",""
"proportion","0.00106640056671805","0.000919493402080292","0.00063182909316432","0.000836565553009731",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000131830084976858","0.00615117847440239","0.00669664297415551","0.0128478214485579",""
"maleAgeClass 5","0.0000519588063641052","0.00173562271143624","0.000639912263110887","0.00237553497454712",""
"maleAgeClass 6","-0.00585715908133544","-0.13562482825111","-0.0341188201347435","-0.169743648385854",""
"maleAgeClass 7","0.0145679304568098","0.212530924440586","0.0487015949887777","0.261232519429363",""
"maleAgeClass 8","-0.00105703365741761","-0.00672821745379792","-0.00184355213088239","-0.00857176958468031",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.0000382941833324546","-0.00178972394157562","-0.00350531866805071","-0.00529504260962632",""
"femaleAgeClass 5","0.00157384752744383","0.0526096204950548","0.0398512777981779","0.0924608982932327",""
"femaleAgeClass 6","0.00470768921278086","0.108509110723404","0.0500646119826555","0.158573722706059",""
"femaleAgeClass 7","0.00556619702121086","0.08019190471434","0.0288523098740328","0.109044214588373",""
"femaleAgeClass 8","-0.536547378772429","-2.93792316322774","-1.01640148339366","-3.95432464662139",""
"total","-0.516900412584928","-2.620337571315","-0.881062824446424","-3.50140039576142",""
"proportion","-0.00692277338283386","-0.00298354843825705","-0.00266335243605436","-0.00289594277869646",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000256970916424404","0.0119902370535048","0.0130534883773876","0.0250437254308924",""
"maleAgeClass 5","0.00271655624386824","0.0907433608222448","0.0334564585972217","0.124199819419466",""
"maleAgeClass 6","0.00553103584707548","0.128073316157767","0.0322191039383846","0.160292420096152",""
"maleAgeClass 7","-0.0016618366261909","-0.0242444646122379","-0.00555563431238149","-0.0298000989246194",""
"maleAgeClass 8","0.0405664235693983","0.258212893395687","0.0707511213941565","0.328964014789843",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.000335890144385065","0.0156982230937466","0.0307462358788584","0.046444458972605",""
"femaleAgeClass 5","-0.0011404761479028","-0.0381231448908466","-0.0288779128853207","-0.0670010577761673",""
"femaleAgeClass 6","0.0003331194047973","0.00767818110870877","0.00354260720945021","0.011220788318159",""
"femaleAgeClass 7","0.00134620369236194","0.0193946850627995","0.00697802933269642","0.0263727143954959",""
"femaleAgeClass 8","-0.330984449318814","-1.81234112548772","-0.626996046532842","-2.43933717202056",""
"total","-0.282700562274597","-1.34291783829635","-0.470682549002388","-1.81360038729873",""
"proportion","-0.00647405867804421","-0.00203536883047711","-0.00139471170035208","-0.00181857048176835",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000235173145672951","0.0109731552678163","0.0119462154178045","0.0229193706856208",""
"maleAgeClass 5","-0.000695109827336227","-0.0232193248402055","-0.00856080679767857","-0.0317801316378841",""
"maleAgeClass 6","-0.00410162757414012","-0.0949748039224829","-0.023892588799189","-0.118867392721672",""
"maleAgeClass 7","0.00669660697276742","0.0976965173438451","0.02238721838724","0.120083735731085",""
"maleAgeClass 8","-0.00732023283081329","-0.0465946547232789","-0.0127670776981441","-0.0593617324214231",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.000573016392045322","0.0191544443774134","0.0145093060313144","0.0336637504087278",""
"femaleAgeClass 6","-0.00615332273474722","-0.141830003588353","-0.0654384138789013","-0.207268417467255",""
"femaleAgeClass 7","0","0","0","0",""
"femaleAgeClass 8","-0.0244281569194218","-0.133759013440212","-0.0462751583770302","-0.180034171817242",""
"total","-0.035193653375973","-0.312553683525458","-0.108091305714584","-0.420644989240042",""
"proportion","-0.00185229754610384","-0.000982814374998997","-0.000834481011577071","-0.000939883891074797",""
""," "," "," "," ",""
