"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","NHW"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000277434111618291","0.0129450476782349","0.0140929681922444","0.0270380158704793",""
"maleAgeClass 5","-0.00178914587561696","-0.0597643100971368","-0.0220346937587124","-0.0817990038558492",""
"maleAgeClass 6","-0.00081108728510948","-0.0187810459322861","-0.00472470370189626","-0.0235057496341824",""
"maleAgeClass 7","0.0294204139134528","0.42921318062227","0.0983544702566377","0.527567650878908",""
"maleAgeClass 8","0.128667411964514","0.818992206011245","0.224406365717684","1.04339857172893",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.000377975151095278","0.0176651156485939","0.0345985535633986","0.0522636692119924",""
"femaleAgeClass 5","0.00413641452119862","0.138269555580052","0.104737848678639","0.243007404258691",""
"femaleAgeClass 6","0.00832906188192872","0.191979346366907","0.0885766312198655","0.280555977586772",""
"femaleAgeClass 7","-0.0168930451810976","-0.243377204280677","-0.0875648800112003","-0.330942084291877",""
"femaleAgeClass 8","-0.0524122140802632","-0.286988742978792","-0.0992863896959335","-0.386275132674726",""
"total","0.0993032191217207","1.00015314861841","0.351156170460726","1.35130931907914",""
"proportion","0.000594630054621082","0.000502582159312993","0.000438135222885614","0.000484078937635363",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHB"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","-0.000319610004002657","-0.0106761956359591","-0.00393624055835673","-0.0146124361943158",""
"maleAgeClass 6","0","0","0","0",""
"maleAgeClass 7","0","0","0","0",""
"maleAgeClass 8","0","0","0","0",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0","0","0","0",""
"femaleAgeClass 6","0","0","0","0",""
"femaleAgeClass 7","0","0","0","0",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.000319610004002657","-0.0106761956359591","-0.00393624055835673","-0.0146124361943158",""
"proportion","-0.000958830012007973","-0.000958830012007979","-0.00095883001200783","-0.00095883020036132",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","0.000220649633836389","0.00737054106047452","0.0027174682488571","0.0100880093093316",""
"maleAgeClass 6","-0.000448929031156897","-0.0103951287479376","-0.0026150781726475","-0.0130102069205851",""
"maleAgeClass 7","0.0173174201451385","0.252643113809782","0.0578933284078644","0.310536442217646",""
"maleAgeClass 8","-0.00549719369186974","-0.034990668731389","-0.00958755009682566","-0.0445782188282147",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.00000267862437164368","0.0000895394307107722","0.0000678252512322786","0.000157364681943051",""
"femaleAgeClass 6","0.000328923266512959","0.00758146290725037","0.00349798276091162","0.011079445668162",""
"femaleAgeClass 7","0.00289919508265635","0.0417685495017004","0.0150279400084679","0.0567964895101682",""
"femaleAgeClass 8","0.0127063850939155","0.0695751849048492","0.0240701737982114","0.0936453587030606",""
"total","0.0275291291234047","0.333642594135441","0.0910720902060715","0.424714684341512",""
"proportion","0.00137645645617024","0.00133610823927067","0.00107479899751416","0.00126990449911999",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","HO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0.000365387783076487","0.0170489571213075","0.0185607976419888","0.0356097547632963",""
"maleAgeClass 5","0.00173662000937513","0.0580097454185307","0.0213877977214416","0.0793975431399723",""
"maleAgeClass 6","0.000259907116609837","0.00601825177735194","0.00151399749267789","0.00753224927002982",""
"maleAgeClass 7","-0.000594001836496494","-0.008665867798058","-0.00198578905558389","-0.0106516568536419",""
"maleAgeClass 8","-0.00207099291745605","-0.013182258290616","-0.00361197903134691","-0.0167942373219629",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.0000972629673127168","-0.00454569979249442","-0.00890311962189116","-0.0134488194143856",""
"femaleAgeClass 5","0.000425718411341203","0.014230656825319","0.010779584666448","0.025010241491767",""
"femaleAgeClass 6","-0.000866607889916216","-0.0199747364854517","-0.0092160688160936","-0.0291908053015453",""
"femaleAgeClass 7","0.0061104786998416","0.0880333419369457","0.0316735868771225","0.119706928814068",""
"femaleAgeClass 8","-0.0468729608523044","-0.256657963239178","-0.088793178060687","-0.345451141299865",""
"total","-0.0416037144432416","-0.119685572526343","-0.0285943701859237","-0.148279942712267",""
"proportion","-0.00304417422755427","-0.000441030318543988","-0.000160348933443676","-0.000329728617646354",""
""," "," "," "," ",""
