"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","CatQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000852102240273989","-0.0397590046254024","-0.0432846909079601","-0.0830436955333624",""
"maleAgeClass 5","-0.00645274151660091","-0.215546228080314","-0.0794704250560017","-0.295016653136315",""
"maleAgeClass 6","-0.0132993434213642","-0.307951541408954","-0.0774706474252511","-0.385422188834205",""
"maleAgeClass 7","-0.0236273297210623","-0.344698119102674","-0.078987790760884","-0.423685909863558",""
"maleAgeClass 8","-0.0382819975306141","-0.243672093262944","-0.0667668977489697","-0.310438991011914",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.00134406064777381","-0.062816263748676","-0.123030718235576","-0.185846981984252",""
"femaleAgeClass 5","-0.00894496255396637","-0.299006782487339","-0.22649474070171","-0.52550152318905",""
"femaleAgeClass 6","0.00232108758145877","0.0534995276857728","0.024683946601229","0.0781834742870018",""
"femaleAgeClass 7","-0.0821015716201821","-1.182832979712","-0.425572428806191","-1.60840540851819",""
"femaleAgeClass 8","-0.0859879554117811","-0.470836343550559","-0.162890154518124","-0.633726498068683",""
"total","-0.25857097708216","-3.11361982829309","-1.25928454755944","-4.37290437585253",""
"proportion","-0.00196881454631086","-0.00228151632634934","-0.00232207519668423","-0.00229305228172515",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","-0.000682511025857979","-0.042127403678375","-0.200348848430281","-0.242476252108656",""
"maleAgeClass 4","-0.000510659749197173","-0.0238273324147205","-0.0259402550051071","-0.0497675874198276",""
"maleAgeClass 5","-0.00968064036398975","-0.323370386136133","-0.119224457164648","-0.442594843300782",""
"maleAgeClass 6","-0.0138377293530167","-0.320418079964526","-0.0806068253077505","-0.401024905272276",""
"maleAgeClass 7","-0.0448769650450966","-0.654708154696408","-0.150026785371576","-0.804734940067984",""
"maleAgeClass 8","-0.294433234483904","-1.8741227522283","-0.51351535783796","-2.38763811006626",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.00118561870169459","-0.0554112920383201","-0.108527483982677","-0.163938776020997",""
"femaleAgeClass 5","-0.00773567261980812","-0.258583372090087","-0.195874398982241","-0.454457771072327",""
"femaleAgeClass 6","-0.00469096944042002","-0.108123731071458","-0.049886803109171","-0.158010534180629",""
"femaleAgeClass 7","-0.000431517520190106","-0.00621684998390037","-0.00223676545425633","-0.0084536154381567",""
"femaleAgeClass 8","-0.0906207474904974","-0.496203697295982","-0.171666223374928","-0.66786992067091",""
"total","-0.468686265793673","-4.16311305159821","-1.6178542040206","-5.78096725561881",""
"proportion","-0.00636225700172406","-0.00467689205415874","-0.0035174557886026","-0.00428189808223612",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.00102251725773261","-0.0477105521594083","-0.0519413532286634","-0.0996519053880718",""
"maleAgeClass 5","-0.00031254276673387","-0.0104401229012581","-0.00384920215022078","-0.0142893250514788",""
"maleAgeClass 6","-0.0189649513764505","-0.439140927795179","-0.110473653846846","-0.549614581642025",""
"maleAgeClass 7","-0.0815420123179482","-1.18961298655709","-0.272600563975249","-1.46221355053234",""
"maleAgeClass 8","-0.0218623586271516","-0.139158012485709","-0.0381297204212743","-0.177287732906983",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.0011893422900412","-0.05558531834291","-0.108868328534207","-0.164453646877117",""
"femaleAgeClass 5","-0.00459945366615244","-0.15374774725089","-0.116462428903404","-0.270210176154293",""
"femaleAgeClass 6","-0.0180321364338685","-0.415628772513344","-0.191765401872555","-0.607394174385899",""
"femaleAgeClass 7","-0.00575830718430836","-0.0829596256259606","-0.0298481104061636","-0.112807736032124",""
"femaleAgeClass 8","0.18387286350997","1.00681573737419","0.348317145179159","1.35513288255335",""
"total","0.030589241589583","-1.52716832825756","-0.575621618159424","-2.10278994641699",""
"proportion","0.000689982892998112","-0.00201843137429263","-0.00152005707284138","-0.00185219639515988",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","CatQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.00124388899314809","-0.0580397350160098","-0.0631864910657995","-0.121226226081809",""
"maleAgeClass 5","-0.00965380109675884","-0.322473852034932","-0.118893911152611","-0.441367763187543",""
"maleAgeClass 6","-0.0183088924498218","-0.423949624637601","-0.106652013320332","-0.530601637957933",""
"maleAgeClass 7","-0.00446417160131407","-0.0651276116468154","-0.0149240331653271","-0.0800516448121424",""
"maleAgeClass 8","-0.0163784419332504","-0.104251854336198","-0.0285653264819885","-0.132817180818186",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000940431499763139","-0.0439521782179426","-0.0860838854696446","-0.130036063687587",""
"femaleAgeClass 5","-0.0119468725740028","-0.399352809761609","-0.302505884124173","-0.701858693885782",""
"femaleAgeClass 6","-0.0435700300783095","-1.00426026534521","-0.463351880583247","-1.46761214592846",""
"femaleAgeClass 7","-0.0016842691515695","-0.0242651761698838","-0.00873038724413888","-0.0329955634140227",""
"femaleAgeClass 8","0.131248851696116","0.718667273013764","0.248629539227004","0.967296812240768",""
"total","0.0230580523181774","-1.72700583415244","-0.944264273380258","-2.67127010753269",""
"proportion","0.000437811119965394","-0.00196482665411184","-0.00225457785986539","-0.00205833629532545",""
""," "," "," "," ",""
