"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","NHW"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.00810134641019333","-0.378008006751941","-0.411528404374025","-0.789536411125965",""
"maleAgeClass 5","-0.0430558160459995","-1.4382288089115","-0.530265158383543","-1.96849396729505",""
"maleAgeClass 6","-0.0771355045085933","-1.78610302465171","-0.449325751236287","-2.235428775888",""
"maleAgeClass 7","-0.165543197300345","-2.41510273963803","-0.553422311561079","-2.96852505119911",""
"maleAgeClass 8","-0.62933484503565","-4.00583430711805","-1.09761083430287","-5.10344514142092",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.00459837116503126","-0.214910314051181","-0.420919181053776","-0.635829495104957",""
"femaleAgeClass 5","-0.0557542791979468","-1.86372022602671","-1.41175001390593","-3.27547023993264",""
"femaleAgeClass 6","-0.0863158759819207","-1.98952363267392","-0.91793885357734","-2.90746248625126",""
"femaleAgeClass 7","-0.169250884020983","-2.43838849262929","-0.877309756305579","-3.31569824893486",""
"femaleAgeClass 8","-0.287339947062151","-1.57336093622507","-0.54431865663085","-2.11767959285592",""
"total","-1.52643006672881","-18.1031804886774","-7.21438892133128","-25.3175694100087",""
"proportion","-0.00644970450730485","-0.0062576145788118","-0.00581956734175492","-0.00612621747017778",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHB"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","-0.00356476086843882","-0.119076636995842","-0.0439027443930655","-0.162979381388908",""
"maleAgeClass 6","-0.00425493092643325","-0.0985246034987668","-0.024785603557766","-0.123310207056533",""
"maleAgeClass 7","0.00503391223540173","0.0734395337837963","0.0168287153500923","0.0902682491338886",""
"maleAgeClass 8","-0.0290235454299839","-0.184740309415165","-0.0506194089920888","-0.235359718407254",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","-0.011000110026366","-0.367705005599156","-0.278532979102003","-0.646237984701159",""
"femaleAgeClass 6","-0.0053201080198052","-0.122624957614953","-0.0565774696839156","-0.179202427298868",""
"femaleAgeClass 7","0","0","0","0",""
"femaleAgeClass 8","-0.00743960992974446","-0.0407363882533209","-0.0140931274061256","-0.0548295156594465",""
"total","-0.0555691529653699","-0.859968367593408","-0.451682617784873","-1.31165098537828",""
"proportion","-0.00694614412067124","-0.00577351772331427","-0.00694515167942543","-0.00612960802763736",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHO"
"maleAgeClass 2","0","0","0","0",""
