"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","catQ1"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000335450037527274","-0.0156520649321923","-0.0170400340512629","-0.0326920989834552",""
"maleAgeClass 5","0.00130242591285912","0.0435060031691279","0.0160403668165827","0.0595463699857106",""
"maleAgeClass 6","-0.00940971340756835","-0.217885624595752","-0.0548129758495719","-0.272698600445324",""
"maleAgeClass 7","-0.00817668711281705","-0.119289344227781","-0.0273352282466597","-0.14662457247444",""
"maleAgeClass 8","0.0162036868876392","0.103139505699275","0.0282605395582642","0.131400045257539",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0.00150843285176872","0.0504229783953321","0.0381949175936924","0.0886178959890245",""
"femaleAgeClass 6","0.00111960531174748","0.0258061590831247","0.0119066070364582","0.0377127661195829",""
"femaleAgeClass 7","0.110514862015922","1.59218174465032","0.572852350072875","2.16503409472319",""
"femaleAgeClass 8","0.273970426795341","1.50015468300856","0.518992281423266","2.01914696443183",""
"total","0.386697589217364","2.96238404025001","1.08705882435364","4.04944286460366",""
"proportion","0.00811253683672792","0.0046682946393258","0.00454643637740427","0.00463494785682055",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ2"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000320190303483403","-0.0149400472801364","-0.0162648772212428","-0.0312049245013792",""
"maleAgeClass 5","-0.00159655861425545","-0.053331159527545","-0.0196628349942642","-0.0729939945218092",""
"maleAgeClass 6","-0.00202416421826701","-0.0468703206865797","-0.0117910567097788","-0.0586613773963585",""
"maleAgeClass 7","-0.0115093615042228","-0.167909590690712","-0.0384765882992024","-0.206386178989915",""
"maleAgeClass 8","0.231777591058579","1.47530783208271","0.404238851703994","1.8795466837867",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.000104832541047817","0.00489947277215919","0.00959601253182285","0.014495485303982",""
"femaleAgeClass 5","-0.00060254661032122","-0.0201415626017223","-0.0152570385221864","-0.0353986011239087",""
"femaleAgeClass 6","-0.000314924981536624","-0.007258811732612","-0.00334911594450915","-0.0106079276771212",""
"femaleAgeClass 7","-0.0176780514753814","-0.254686748249625","-0.0916339499290366","-0.346320698178662",""
"femaleAgeClass 8","-0.0225664242063246","-0.123564894751084","-0.0427484094520736","-0.166313304203157",""
"total","0.175270201685834","0.791504169334848","0.174650993163523","0.966155162498371",""
"proportion","0.00297068138450567","0.000958776854907834","0.000508700940026486","0.000826577487904437",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ3"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","0.000000330692249583819","0.000011046384997826","0.00000407272684554982","0.0000151191118433758",""
"maleAgeClass 6","-0.00345453224792758","-0.079991056467307","-0.0201231625742118","-0.100114219041519",""
"maleAgeClass 7","0.000626024264656522","0.00913304165503348","0.00209284223869943","0.0112258838937329",""
"maleAgeClass 8","0.00470751023854232","0.0299641854625001","0.00821027832984988","0.03817446379235",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","-0.000280307633490517","-0.0093699535454661","-0.00709764902659771","-0.0164676025720638",""
"femaleAgeClass 6","-0.000702738025672778","-0.0161976449146763","-0.00747337069007514","-0.0236710156047515",""
"femaleAgeClass 7","-0.000253837203293639","-0.00365701909973737","-0.00131576184225679","-0.00497278094199416",""
"femaleAgeClass 8","0.11574406014982","0.633769111123378","0.219258240902111","0.853027352025489",""
"total","0.116386510234884","0.563661710598723","0.193555490064364","0.757217200663087",""
"proportion","0.00465546040939534","0.00126369384548186","0.0011783523792222","0.00124072503722852",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","catQ4"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","0.0000758950118562307","0.00253518345553516","0.000934704859371749","0.00346988831490691",""
"maleAgeClass 6","-0.00177873340193013","-0.0411872733506584","-0.0103613858127058","-0.0515486591633643",""
"maleAgeClass 7","-0.00580069672645345","-0.0846261204587613","-0.0193921287215106","-0.104018249180272",""
"maleAgeClass 8","0.00837630031826997","0.0533167223241069","0.014608944750528","0.0679256670746349",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0.000272705883303526","0.0127452319356145","0.0249625645579812","0.0377077964935957",""
"femaleAgeClass 5","-0.000844879751544791","-0.0282421278539715","-0.0213931382155899","-0.0496352660695614",""
"femaleAgeClass 6","0.000803147328754195","0.0185120126847735","0.00854118816294047","0.027053200847714",""
"femaleAgeClass 7","-0.0024743204357357","-0.0356474030400173","-0.0128256078014219","-0.0484730108414393",""
"femaleAgeClass 8","0.0148804353971932","0.081479432314719","0.0281885574501439","0.109667989764863",""
"total","0.013509853623713","-0.0211143419886595","0.013263699229737","-0.00785064275892244",""
"proportion","0.00112582113530942","-0.0000974153651583814","0.000125298822171423","-0.0000243353888383058",""
""," "," "," "," ",""
