"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","NHW"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000453054732175218","-0.021139488128","-0.0230140623034707","-0.0441535504314707",""
"maleAgeClass 5","0.00360908439783536","0.120557212275628","0.0444486224066338","0.165005834682262",""
"maleAgeClass 6","-0.011357395222328","-0.262984965068938","-0.0661585112182763","-0.329143476287214",""
"maleAgeClass 7","-0.0245871100532771","-0.358700313983377","-0.0821964025232944","-0.440896716506671",""
"maleAgeClass 8","0.213182359406218","1.35694569547223","0.37180726478487","1.7287529602571",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.0000537251691505314","-0.00251090931118902","-0.00491781837290262","-0.00742872768409164",""
"femaleAgeClass 5","-0.0000554913341579422","-0.00185493065873743","-0.00140509200184624","-0.00326002266058367",""
"femaleAgeClass 6","0.0010014820723514","0.0230834968420197","0.0106504081076082","0.0337339049496279",""
"femaleAgeClass 7","-0.0155869394440113","-0.224560208328825","-0.0807946979082246","-0.305354906237049",""
"femaleAgeClass 8","0.0802400077093424","0.439362834660017","0.152001605244791","0.591364439904808",""
"total","0.245939217630647","1.06819842377083","0.320421316215889","1.38861973998672",""
"proportion","0.00197277447297311","0.000597100247648178","0.000470226222405837","0.000562104333357231",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHB"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","-0.0000454576213736457","-0.0015184582862009","-0.000559845219788357","-0.00207830350598925",""
"maleAgeClass 6","0","0","0","0",""
"maleAgeClass 7","0","0","0","0",""
"maleAgeClass 8","0","0","0","0",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","0","0","0","0",""
"femaleAgeClass 6","0.00172740245987157","0.0398154798055099","0.0183703150277141","0.0581857948332241",""
"femaleAgeClass 7","0","0","0","0",""
"femaleAgeClass 8","0","0","0","0",""
"total","0.00168194483849793","0.038297021519309","0.0178104698079258","0.0561074913272348",""
"proportion","0.00168194483849793","0.0014451252888077","0.001590928149755","0.00148842723154178",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","0","0","0","0",""
"maleAgeClass 5","-0.00120944627649178","-0.0404001279600124","-0.014895251797693","-0.0552953797577054",""
"maleAgeClass 6","0.00042053369166406","0.00973762346450258","0.00244967110970373","0.0121872945742063",""
"maleAgeClass 7","-0.00368082619283139","-0.0536994184442978","-0.0123052555061829","-0.0660046739504807",""
"maleAgeClass 8","0.00695320916471021","0.0442584802609907","0.0121269587606063","0.056385439021597",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","0","0","0","0",""
"femaleAgeClass 5","-0.0000298130632443439","-0.000996572994353073","-0.000754894387569038","-0.00175146738192211",""
"femaleAgeClass 6","0.0000820066919240414","0.00189019980118843","0.000872112203162523","0.00276231200435095",""
"femaleAgeClass 7","0.000243844883065281","0.00351306027317033","0.00126396678029717","0.0047770270534675",""
"femaleAgeClass 8","0","0","0","0",""
"total","0.00277950889879608","-0.0356967555988112","-0.0112426928376752","-0.0469394484364865",""
"proportion","0.000438869826125697","-0.000329807182586384","-0.000246643774287401","-0.000305162516484219",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","HO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000131237972211984","-0.00612355055248948","-0.0066665651069755","-0.012790115659465",""
"maleAgeClass 5","0.000434129729497523","0.0145015921449811","0.0053466381760181","0.0198482303209992",""
"maleAgeClass 6","-0.000664604474809205","-0.0153891786955445","-0.00387141961177484","-0.0192605983073193",""
"maleAgeClass 7","0.00276240419566909","0.0403005985733387","0.00923490750670641","0.0495355060800451",""
"maleAgeClass 8","-0.0019298002422683","-0.0122835404353392","-0.00336572759424136","-0.0156492680295806",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","0","0","0","0",""
"femaleAgeClass 4","-0.000750425165441992","-0.0350720074976714","-0.068691354991536","-0.103763362489207",""
"femaleAgeClass 5","0.000156683462043228","0.0052375197293415","0.00396737044941986","0.00920489017876136",""
"femaleAgeClass 6","0.000165320196049756","0.00381052075597488","0.00175812189251134","0.00556864264848622",""
"femaleAgeClass 7","-0.00243242547177647","-0.0350438245204252","-0.0126084458005611","-0.0476522703209863",""
"femaleAgeClass 8","0","0","0","0",""
"total","-0.00238995574324835","-0.0400618704978335","-0.0748964750804331","-0.114958345578267",""
"proportion","-0.000247236801025692","-0.000227280527230794","-0.000691675309512451","-0.000404002208953803",""
""," "," "," "," ",""
