"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4",""
"ageCat1","0.383267292380821","0.410089705025556","0","0","0.163825034759943","0.21591825196646","0.215323177021487","0.407697178318562","relative.walk.time"
"ageCat2","2.24834781822097","2.13233065273198","0","337.961538461538","2.03990776874836","1.8857341692808","2.19452823025592","2.30793824546643",""
"ageCat3","1.07030253060719","1","0","1","1.20732291143496","1","0.854561444226006","1",""
"ageCat4","0.856589868560653","0.751267977543263","0","0","0.598335083996151","0.648812541037517","0.757821629623858","0.872090465041297",""
"ageCat5","0.735596872854689","0.732812914871817","33.9375","0","0.508157170820677","0.497881514036509","0.689336168672527","0.614586865589409",""
"ageCat6","0.511980543217026","0.536089192193414","0","0","0.736184506408815","0.759258298837324","0.888477993184617","0.465478292406841",""
"ageCat7","0.402792709376721","0.575586786603013","151.660714285714","85.6358024691358","0.163506474997612","0.632377228751865","0.713976843900623","0.131635199074633",""
"ageCat8","0.398672971884356","0.599764416978512","0","0","0.263141406891972","0.700122219387314","0.373807323600277","0.762456986900731",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","0.619829463520308","0.273970576343616","0","0","0.809070309997663","1.11179816752102","0.700611060797277","0.386924370714629","relative.cycle.time"
"ageCat2","3.7284840787855","2.31050229488525","0","34.7179487179487","2.10309545911707","0.695675593123651","3.5837449969708","1.3102394060027",""
"ageCat3","1.83597873963638","1","0","1","1.7760607750813","1","1.18728068211066","1",""
"ageCat4","0.763294783446651","0.317120377136843","0","0","0.36211781980416","0.344185799476714","0.939346597764201","0.505230647272779",""
"ageCat5","0.627025438576124","0.248227510267034","0","0","0.646565646682775","0.11160115732305","0.544323518259874","0.255119539334512",""
"ageCat6","0.578670424874703","0.353464672001918","0","0","0.168614851651115","0.173974393379329","0.057872431940087","0.355026101689922",""
"ageCat7","0.225129929140707","0.201769773207428","3.07142857142857","0","0.107196596727876","0.163458245166255","0","0",""
"ageCat8","0.259771995713085","0.151506565399945","0","0","0","0","0","0.15355143793561",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","1.00039678769039","0.999955669174181","0","0","0.999212075468852","1.000839191657","0.999792757231438","0.999598564268776","relative.walk.speed"
"ageCat2","1.0001174578554","1.0000894883467","0","300.899055422784","0.999179571666044","0.999519925090384","0.999724360507051","0.999550316999264",""
"ageCat3","1.00025716115216","1","0","1","0.999495692287263","1","0.999807905967915","1",""
"ageCat4","1.00017981783426","1.00020398630073","0","0","0.999933155541074","0.999492227818987","1.00021855523419","0.999887247151024",""
"ageCat5","0.999987596030019","1.00032062919348","298.342541436464","0","1.00015287718593","0.999744284232392","0.999750262282489","1.0002759929451",""
"ageCat6","1.00003091300682","1.00009672499845","0","0","0.998963000647816","0.999706966629365","0.999302141262321","1.00024697533552",""
"ageCat7","0.999977103810882","1.00035456677366","300.600494524903","300.151373170908","1.00115553556154","1.00008444458311","0.999637134090277","1.00145588993409",""
"ageCat8","1.00026678534003","0.99974856084625","0","0","0.999973369475708","0.998377567782473","1.00107297530862","0.998762289989612",""
""," "," "," "," "," "," "," "," "," "
"ageCat1","1.00021994209254","0.999829034974054","0","0","0.999627265377568","1.00000685284197","0.999960148997337","0.999950680352226","relative.cycle.speed"
"ageCat2","0.999883327977069","0.999951628587555","0","997.045790251108","0.999726055735882","0.999139284374771","0.999989321657733","0.999726126131633",""
"ageCat3","0.999846136256949","1","0","1","0.999636772002442","1","0.999901620561972","1",""
"ageCat4","0.999833670572126","0.999887794023685","0","0","1.00000508673605","0.999490667042818","0.99972141449933","0.999792980894816",""
"ageCat5","1.00002847717748","0.999981682877462","0","0","0.999521344255177","0.999804690421938","0.999930721401151","0.999440874517377",""
"ageCat6","1.00014230313277","0.999959878753217","0","0","0.999692780337942","0.999692780337941","0.995298838153366","0.999376673871146",""
"ageCat7","0.99997090513252","0.999828191440963","1011.62790697674","0","1.00180629572978","0.999692780337941","0","0",""
"ageCat8","0.999495700156654","0.999463486918564","0","0","0","0","0","0.999822923781336",""
