,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.438412677,0.397566409,0,0,0.365713067,0.00762749,0.326520962,0.266217579,relative.walk.time,ELD
ageCat2,1.92576183,1.84367161,0,254.8988764,2.317014632,2.933402975,2.42894927,2.132290415,,
ageCat3,0.783796551,1,0,1,1.253730636,1,0.888340777,1,,
ageCat4,0.774370493,0.736918374,0,0,0.703612555,0.854496386,0.65643519,1.136193424,,
ageCat5,0.731650787,0.750007171,56.76923077,0,0.849728126,1.065344978,0.905726678,0.840511925,,
ageCat6,0.61776946,0.579844532,0,0,0.651418237,0.888240136,0.761739583,0.624637217,,
ageCat7,0.521176073,0.541572175,59.49068323,16.36607143,0.506684477,0.378109633,0.200840915,0.961287846,,
ageCat8,0.455823919,0.402609999,91.96428571,77.33333333,0.813134026,0.840739911,1.132041926,0.457584853,,
, , , , , , , , , ,
ageCat1,1.355194615,0.178452293,0,0,0.621180346,0,0.285324515,0.401848506,relative.cycle.time,
ageCat2,4.590344851,2.30972485,0,11.56179775,5.933566887,2.428134921,3.165348023,1.262877716,,
ageCat3,1.888034593,1,0,1,3.341422359,1,1.9008737,1,,
ageCat4,0.843705608,0.309502349,0,0,0.506656898,0.083995243,0.586576484,0.239716831,,
ageCat5,0.620147328,0.154629819,0,0,0.318211798,0.363881466,0.570639835,0.084895081,,
ageCat6,0.630097799,0.236807997,0,0,0,0.021492078,0.755549103,0.251715145,,
ageCat7,0.53385159,0.10030669,20.27329193,0,0,0.154555536,0.10895124,1.18728334,,
ageCat8,0.369264201,0.486909347,0,0,0,1.634124255,1.345451746,0,,
, , , , , , , , , ,
ageCat1,1.000070162,0.999701009,0,0,1.000036215,1.023905337,0.999530389,1.000303348,relative.walk.speed,
ageCat2,1.000048563,1.000001609,0,300.1851362,0.999995143,1.00016087,0.999893662,1.000157173,,
ageCat3,1.000187285,1,0,1,1.000371973,1,1.00029206,1,,
ageCat4,1.000119025,1.000150691,0,0,1.001015644,0.999940486,1.00039444,0.999746801,,
ageCat5,1.000161207,1.000174287,298.102981,0,1.000288764,1.000441621,0.999325127,0.999713291,,
ageCat6,0.999801562,0.999799592,0,0,0.999405609,0.999975952,0.999199157,1.000241997,,
ageCat7,1.000042658,1.000017189,299.436208,301.1456628,1.000447696,1.002497896,1.001117253,1.000905533,,
ageCat8,1.000360173,1.000206756,300.5825243,301.7241379,0.999823412,0.999790095,0.999646468,0.998481041,,
, , , , , , , , , ,
ageCat1,1.000177569,1.000740589,0,0,0.99875607,0,1.000421792,1.000177991,relative.cycle.speed,
ageCat2,0.99996271,1.000061232,0,1002.915452,0.998629071,0.998471722,0.999932814,1.000149853,,
ageCat3,1.000011665,1,0,1,0.998624402,1,1.000043525,1,,
ageCat4,1.000048269,0.99995559,0,0,0.998212957,0.99996056,0.999984215,0.999661439,,
ageCat5,1.000075953,0.999978426,0,0,0.998795003,0.998489049,1.000499813,1.001160842,,
ageCat6,0.999958948,1.000164384,0,0,0,0.986240816,1.000331632,1.000245373,,
ageCat7,1.00007828,0.99992768,1000,0,0,0.998568826,1.00524977,1.000094643,,
ageCat8,0.999953827,1.000043816,0,0,0,0.998568826,1.000994356,0,,
,,,,,,,,,,
ageCat1,0.32042905,0.472629173,0,0,0.468590443,0.492442666,0.360714511,0.274848723,relative.walk.time,PLA
ageCat2,1.676761399,1.874501001,0.998148124,1.21711667,2.30730592,2.093281799,1.909706984,2.149131484,,
ageCat3,0.879056652,1,0.390496764,1,1.064284054,1,0.988000715,1,,
ageCat4,0.732139955,0.800005914,0.573476233,0.586394866,0.870612738,0.942391039,0.745120654,0.877863566,,
ageCat5,0.746902764,0.72469961,0.444000746,0.408351511,0.894556147,1.060932714,0.753088391,0.891178545,,
ageCat6,0.564356705,0.670124861,0.392049952,0.410169083,0.970484506,0.745699192,0.763912133,0.762940973,,
ageCat7,0.457646597,0.566303742,0.217146319,0,0.553389814,0.695896028,0.519500948,0.338875905,,
ageCat8,0.432676855,0.583485913,0,0,0.552142989,0.368117839,0.298641702,0.704157489,,
, , , , , , , , , ,
ageCat1,0.553533957,0.216317389,0,0,1.164828606,0.323641217,0.222110704,0.16343838,relative.cycle.time,
ageCat2,3.062821182,1.616022878,1.990845944,0.464510995,3.698075321,2.014272075,3.278584659,1.87871052,,
ageCat3,2.1185298,1,1.124729676,1,2.286330439,1,2.290003574,1,,
ageCat4,1.303746548,0.459872614,0.461874739,0,1.426605697,0.882630484,1.446901158,0.748840567,,
ageCat5,0.969695436,0.280496392,0.38626354,0.586278577,0.890862136,0.631793324,0.962902654,0.463418806,,
ageCat6,0.673475916,0.231867606,0.251267909,0.127158949,1.032574521,0.284718038,0.526939477,0.422615336,,
ageCat7,0.643871375,0.383802691,0,0,0.83545464,0.690568567,0.560031623,0.280290819,,
ageCat8,0.707913906,0.36205611,0,0,0.273831495,0.063815856,0.106769259,0.660214621,,
, , , , , , , , , ,
ageCat1,0.999867347,1.000018598,0,0,0.999506101,1.000140752,0.999716916,1.000856238,relative.walk.speed,
ageCat2,0.999938024,0.999953611,1.001908111,1.00054035,0.99984007,0.999881889,1.000196387,1.00003075,,
ageCat3,1.000032531,1,1.000158551,1,0.999773171,1,1.000228087,1,,
ageCat4,0.999888203,0.999985857,1.001140869,1.001126371,0.99973969,1.000028817,1.000428039,1.000309048,,
ageCat5,0.999935405,0.999913939,1.000754892,0.998987254,1.000075108,0.999782325,1.000306224,0.999948521,,
ageCat6,0.999922756,0.999927699,1.000897346,1.00060988,1.000183988,0.999739517,0.999887862,1.000389284,,
ageCat7,1.000086443,0.99985419,0.989310689,0,0.999602775,0.999916954,0.999325497,1.00018009,,
ageCat8,1.000025195,1.000021087,0,0,0.99783781,0.99853658,0.999962166,0.999513987,,
, , , , , , , , , ,
ageCat1,0.999887888,1.000022002,0,0,0.999804434,1.000637618,0.999919228,1.000735979,relative.cycle.speed,
ageCat2,1.000016389,1.000096395,1.000289394,1.00248489,1.000439965,1.000124665,0.999988421,1.000008085,,
ageCat3,0.999978912,1,1.000172338,1,1.000390773,1,1.000081693,1,,
ageCat4,0.999995527,0.999969354,0.999637598,0,1.000504571,1.000431498,1.0002028,1.00014395,,
ageCat5,0.999943352,1.000071944,0.999838814,1.000024519,1.000434236,1.000489705,0.999943249,1.000065822,,
ageCat6,1.000170319,1.000080696,0.999258524,0.999360193,1.000601918,1.000953328,1.000015904,1.000270975,,
ageCat7,0.999933718,1.000110326,0,0,0.999834754,1.000427377,0.99968765,1.00004762,,
ageCat8,1.000063738,0.99998434,0,0,0.999315015,0.996525813,1.000830743,0.999645833,,
,,,,,,,,,,
ageCat1,0.284905333,0.255084278,0.202244869,0.249295333,0.279461374,0.287644829,0.213378845,0.23618961,relative.walk.time,SAC
ageCat2,1.525015697,1.589279467,1.520178869,1.661667298,1.503715315,1.52429225,1.506053083,1.605562859,,
ageCat3,0.867101599,1,0.835440069,1,0.825430461,1,0.867784716,1,,
ageCat4,0.73738194,0.839074177,0.674684786,0.871081065,0.697260496,0.797919956,0.702439708,0.833589637,,
ageCat5,0.73243605,0.845753906,0.693763146,0.819267918,0.704552142,0.761199927,0.682754333,0.790794681,,
ageCat6,0.643010974,0.731053156,0.58793404,0.694403124,0.546472929,0.659222539,0.569317719,0.7284742,,
ageCat7,0.569994676,0.616700254,0.424824613,0.498157194,0.51066147,0.528692709,0.510358292,0.611084109,,
ageCat8,0.516434758,0.628389743,0.433344121,0.489361456,0.484450896,0.536158415,0.341502439,0.617909735,,
, , , , , , , , , ,
ageCat1,0.568083721,0.241318788,0.314542331,0.124764495,0.571212003,0.21886971,0.438366623,0.22824657,relative.cycle.time,
ageCat2,2.12686778,0.993653515,1.796067183,0.962499509,1.949264597,0.976896276,2.189883784,1.143114059,,
ageCat3,2.207120719,1,1.870092487,1,2.111646315,1,2.385267384,1,,
ageCat4,1.650932297,0.611530028,1.630054197,0.568432786,1.635762123,0.534713024,1.819623417,0.729649163,,
ageCat5,1.305066656,0.503115119,1.247833864,0.393230384,1.118339131,0.406192284,1.533666994,0.522478881,,
ageCat6,0.840138626,0.429608579,0.931547119,0.450310599,0.887519919,0.396308595,1.148100825,0.425972664,,
ageCat7,0.889454038,0.379370418,0.748077008,0.385422127,0.871048742,0.464983147,0.887880196,0.5104216,,
ageCat8,0.781511691,0.427429372,0.652128816,0.353486538,0.800537681,0.335687054,0.989494334,0.423038758,,
, , , , , , , , , ,
ageCat1,1.000197458,0.999792724,1.000092664,1.000138121,1.000120897,1.000125512,1.000026353,1.000134309,relative.walk.speed,
ageCat2,1.00000756,0.999993263,1.000086117,1.000053381,1.00002189,1.000054181,1.000091748,1.00013259,,
ageCat3,0.999979788,1,1.000014306,1,0.999982198,1,1.00001205,1,,
ageCat4,0.999995539,1.000038062,1.000083422,1.000024275,1.000011357,0.999993172,1.000027744,1.000041474,,
ageCat5,0.999941221,1.000060058,1.000130956,1.000015032,1.000022128,0.99997758,1.000132783,1.000031271,,
ageCat6,1.000008172,0.999988393,0.999802438,1.000135824,0.999963854,1.000065572,1.000070166,1.000099184,,
ageCat7,0.999971805,0.999986438,1.000192014,1.000238671,1.000150501,0.999879086,1.000105277,0.999907748,,
ageCat8,0.999927032,1.000041009,0.999922247,0.999808405,1.000073008,1.000038527,0.999767686,1.000061406,,
, , , , , , , , , ,
ageCat1,0.999975498,0.999919892,0.999849724,0.999861056,0.999961555,1.000257739,1.000087053,1.000109138,relative.cycle.speed,
ageCat2,0.999998145,0.999949143,1.000041945,0.9999179,1.000026454,1.000105299,1.000041727,1.000006909,,
ageCat3,1.000037698,1,0.999940044,1,1.000033345,1,1.000014687,1,,
ageCat4,0.99998757,1.000030073,1.000042576,1.000079814,1.00008404,1.00004328,1.000039402,1.000043755,,
ageCat5,1.000032863,1.000021307,1.000075214,0.999987126,1.00002676,1.000001553,1.000006643,1.000033227,,
ageCat6,0.999997164,1.000081452,1.000094643,1.000173392,0.999988393,1.000089819,1.000123089,1.000114097,,
ageCat7,1.000039998,1.000021596,0.999998077,1.000027507,0.999994337,1.00006297,1.000160174,1.000196629,,
ageCat8,1.000038971,1.000052243,0.999939077,0.999855793,1.000061201,0.999918039,1.000061444,1.00005821,,
,,,,,,,,,,
ageCat1,0.289208378,0.379360102,0.14115467,0,0.368525093,0.322119282,0.362498806,0.306710681,relative.walk.time,SUT
ageCat2,1.651780648,1.812812651,2.433156629,1.823546312,1.851962993,2.031032842,1.742700442,1.68791225,,
ageCat3,0.86225107,1,1.08738115,1,0.978898911,1,0.764361243,1,,
ageCat4,0.668414035,0.866659226,0.406809033,0.836035671,0.703577199,0.93030964,0.629481564,0.837102947,,
ageCat5,0.6685834,0.808561987,0.84898505,0.937900359,0.768587392,1.159790557,0.594373367,0.760095018,,
ageCat6,0.560092544,0.652481753,0,0.316049245,0.564761867,0.655319689,0.492363267,0.624688261,,
ageCat7,0.513039439,0.61969624,0,0,0.507436923,0.614235826,0.657671234,0.553705207,,
ageCat8,0.356962247,0.617072561,0,0,0.608824289,0.477514019,0.502517328,0.676529501,,
, , , , , , , , , ,
ageCat1,1.101983872,0.46304519,0.52519391,0,0.297309843,0,0.446100631,0.275981829,relative.cycle.time,
ageCat2,2.720442554,1.367142483,3.739782194,0.84474492,3.087586794,1.661618378,2.62727996,1.321677371,,
ageCat3,2.084557899,1,1.855032865,1,2.72276223,1,1.918234067,1,,
ageCat4,1.657784027,0.63709095,1.716580485,2.011169285,2.389645681,0.622182104,1.343291175,0.546674736,,
ageCat5,1.422165771,0.283310599,0.421751534,0,2.004361662,0.508566143,0.708632162,0.181994106,,
ageCat6,0.90567075,0.249382149,0,0,0.765847849,0.339989027,1.0983252,0.277574586,,
ageCat7,1.02425716,0.351584805,0,0,0.561205644,0.370049095,0.611122983,0.497521395,,
ageCat8,1.115111763,0.170089566,0,0,1.04079517,0.309781152,0.813261207,0.419609113,,
, , , , , , , , , ,
ageCat1,0.999891611,1.000239092,0.998674544,0,1.000758704,0.999547774,1.000340444,0.999994857,relative.walk.speed,
ageCat2,1.000337842,1.000343988,0.999805656,0.999709039,1.000044256,0.999720855,0.999832918,1.000073518,,
ageCat3,1.000351433,1,0.999513512,1,0.999668947,1,0.999994514,1,,
ageCat4,1.000457497,1.000174647,1.000510333,1.001144472,1.000102403,0.999709211,0.999940173,1.000208767,,
