,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.297002655,0.200327329,0.2649289,0.288881142,0.365106769,0.46781903,0.541386278,0.502125468,relative.walk.time,ELD
ageCat2,2.309348389,2.332794437,1.812337698,1.931746603,1.861992136,1.834571592,2.035114232,2.301055687,,
ageCat3,0.727887702,1,0.834992766,1,0.967485754,1,1.014633554,1,,
ageCat4,0.714433772,0.962817522,0.587766896,0.761365943,0.800989739,0.849599019,0.968542108,0.884154992,,
ageCat5,0.545844226,0.87566331,0.593347347,0.70223335,0.942171612,0.915660763,0.919651827,0.945663624,,
ageCat6,0.517040661,0.660401669,0.615132323,0.564694628,0.583250342,0.818460941,0.825793316,0.762206537,,
ageCat7,0.476892726,0.709619825,0.518168581,0.493620481,0.583982345,0.660496187,0.593138408,0.544612126,,
ageCat8,0.612071534,0.474441304,0.430355461,0.540665453,0.376258479,0.473727921,0.851782962,0.339313777,,
, , , , , , , , , ,
ageCat1,0.977160819,0.325027165,0.53785205,0.141184628,0.607539488,0.511584313,0.782635123,0.448142764,relative.cycle.time,
ageCat2,2.31922358,1.197344515,5.000405953,2.748093472,3.245757223,1.673196783,3.159941615,1.471565969,,
ageCat3,1.906787185,1,2.42206412,1,2.251813665,1,1.764221011,1,,
ageCat4,0.940993389,0.399863258,0.786165274,0.718587687,0.71161238,0.470278348,1.021516578,0.231559739,,
ageCat5,0.689533772,0.033769763,1.032646001,0.408722889,0.597597843,0.16363441,0.64138213,0.204794945,,
ageCat6,1.018930817,0.111446827,0.741915877,0.132577814,0.705851483,0.194522434,0.249347983,0.196445765,,
ageCat7,0.435031441,0.325725634,0.545310489,0.420155556,0.44473715,0.348276899,0.366709305,0.317607356,,
ageCat8,0.60605721,0.299794361,0.549276472,0.294445902,0.456584252,0.107652641,0.218800162,0.338255535,,
, , , , , , , , , ,
ageCat1,0.99968539,0.999319818,1.000199352,0.999777894,1.000724659,0.999474862,0.999900717,1.000051354,relative.walk.speed,
ageCat2,0.999326821,0.999650614,0.999629012,0.999653045,1.000044035,0.99984557,1.000025774,0.999974776,,
ageCat3,0.998912924,1,0.999464311,1,1.000280645,1,0.99995919,1,,
ageCat4,0.999082025,0.999962706,0.99946678,0.999934798,1.000254291,1.000208287,0.999623888,1.000076466,,
ageCat5,0.9993816,0.999669329,0.999848314,0.999811582,1.000259364,1.000192771,1.000022301,1.000219471,,
ageCat6,0.999797796,0.999549888,1.00002266,0.999865846,1.000014107,1.000243443,0.99986438,1.000180754,,
ageCat7,1.000589163,0.999488313,0.999725844,0.999725938,1.000403475,1.000394991,0.999671491,0.999573431,,
ageCat8,0.999920025,0.999795268,0.999309479,0.999697157,1.000064223,0.999983759,0.999759986,0.998738229,,
, , , , , , , , , ,
ageCat1,0.999925671,0.999867644,0.999651487,0.997729049,0.999849123,0.999869793,0.999969436,0.999888315,relative.cycle.speed,
ageCat2,0.999841652,0.999929959,0.999893309,0.999657257,1.000028734,0.999892504,0.999925899,0.999859748,,
ageCat3,0.999830973,1,0.99975067,1,0.999989984,1,1.000133028,1,,
ageCat4,0.999820731,1.000513275,1.000086434,1.000127853,1.000042988,0.999885614,0.999842851,0.999761609,,
ageCat5,1.000160989,0.998783189,0.999744773,0.999705935,0.999854792,0.999793986,0.999930689,1.000106245,,
ageCat6,0.999883739,0.999480023,0.999680411,0.999609872,0.999985181,0.99997247,1.000086788,1.00014776,,
ageCat7,0.999614008,1.000239619,0.999731701,0.999799323,0.999831561,1.000383874,1.000349148,0.999925899,,
ageCat8,1.000002488,1.000540389,0.999379654,1.000016375,0.999693288,1.002229744,1.000262348,1.00007674,,
,,,,,,,,,,
ageCat1,0.21920041,0.187946608,0.389680071,0.371107792,0.50810463,0.50780929,0.344157216,0.366196925,relative.walk.time,PLA
ageCat2,1.760133761,1.903491479,1.882305975,2.050084561,2.083232608,2.021967656,1.59005914,1.655176247,,
ageCat3,0.810174393,1,0.841271432,1,0.939406928,1,0.866302743,1,,
ageCat4,0.623075229,0.813720483,0.702442855,0.844327861,0.881875006,0.921089585,0.716199669,0.744581766,,
ageCat5,0.642057868,0.579513415,0.620106832,0.715039113,0.775510065,0.917886775,0.688220054,0.739848604,,
ageCat6,0.475838181,0.570929325,0.567837246,0.571782187,0.621552948,0.681809641,0.64652862,0.558655915,,
ageCat7,0.473207913,0.535148646,0.522654855,0.518884799,0.434147844,0.580557574,0.488106906,0.437986104,,
ageCat8,0.448579472,0.612775119,0.488005042,0.54667893,0.447192534,0.39292854,0.395202406,0.288424555,,
, , , , , , , , , ,
ageCat1,0.370300481,0.172402069,0.677389141,0.370974018,0.838300941,0.468293296,1.074330259,0.451940012,relative.cycle.time,
ageCat2,2.127842866,1.256217896,4.270236459,2.479230242,3.933570754,1.952896312,3.811099551,1.623419887,,
ageCat3,1.532942036,1,2.543862264,1,2.741614191,1,2.400833197,1,,
ageCat4,1.412658949,0.448575614,2.083881079,0.40259303,1.556539974,0.630838854,1.312209371,0.556196679,,
ageCat5,0.95418026,0.252163973,1.342497647,0.644763307,1.383973636,0.420291977,1.257525324,0.397922455,,
ageCat6,0.514978996,0.270519508,0.925654204,0.417578266,0.906703037,0.404170198,0.571544367,0.2505355,,
ageCat7,0.564349118,0.274951861,0.861554802,0.279053738,1.110870843,0.387782881,0.662347174,0.366865571,,
ageCat8,0.585214709,0.319663329,0.750606245,0.343435844,1.119349014,0.245468268,0.529298474,0.129676561,,
, , , , , , , , , ,
ageCat1,0.999596771,1.000165405,0.999833832,0.999965358,0.999993858,0.999994337,1.000331411,1.000170313,relative.walk.speed,
ageCat2,0.999792234,0.999819568,0.999929109,0.999857662,0.999838702,1.00000005,0.999966273,0.999999841,,
ageCat3,1.000108381,1,1.000010046,1,0.999828999,1,0.999930251,1,,
ageCat4,0.99971529,1.000062323,0.999915502,0.999918309,0.999922264,0.999769456,1.000130593,0.999959249,,
ageCat5,0.999539193,0.99991806,0.999862579,0.999989398,0.999830341,1.000063287,1.000042564,1.000041129,,
ageCat6,0.99990158,0.999750534,0.999714031,0.999923452,0.999957932,1.000208274,0.999882385,1.000141432,,
ageCat7,0.999773472,0.999640664,0.999761301,0.999858494,1.000015292,0.999935802,1.000177552,0.999904833,,
ageCat8,0.999700288,0.999657481,1.000139721,0.999933563,0.999906126,1.000143746,0.999516295,1.000081773,,
, , , , , , , , , ,
ageCat1,0.999745417,1.000385944,1.000510108,0.999752715,1.000151965,1.000008833,0.999967904,1.000015636,relative.cycle.speed,
ageCat2,0.999941346,0.999883045,0.999930243,0.99988929,1.000044042,0.999995979,1.000046008,1.000063491,,
ageCat3,0.999900349,1,0.999952123,1,1.000096025,1,1.000061855,1,,
ageCat4,1.000096688,0.999860242,0.999928391,0.999916838,1.000051643,1.000122004,1.000215712,1.000129739,,
ageCat5,0.999951104,0.999953961,0.999793654,0.999836941,1.000138915,0.999962843,1.000072384,0.999943318,,
ageCat6,1.000030234,1.000151125,0.999933386,0.999962051,1.000202071,0.999914455,0.999888052,0.999875434,,
ageCat7,0.999801859,0.999800759,1.000049931,0.999502019,0.999876263,1.000631788,1.000033619,1.000076009,,
ageCat8,0.99983329,0.999786955,0.999746427,0.999585406,1.000241387,0.999588154,1.00001757,1.000093628,,
,,,,,,,,,,
ageCat1,0.210372138,0.202182769,0.24892637,0.265352267,0.310265037,0.326315932,0.348524834,0.340370755,relative.walk.time,SAC
ageCat2,1.449588885,1.523655769,1.322976309,1.36820186,1.377005889,1.448379573,1.352116212,1.395824497,,
ageCat3,0.822099301,1,0.82711579,1,0.879173708,1,0.908838851,1,,
ageCat4,0.681130181,0.897522036,0.711786642,0.852354357,0.832807971,0.887503555,0.800878091,0.89493616,,
ageCat5,0.705482877,0.85302978,0.686326528,0.817286276,0.831849738,0.939802699,0.860183678,0.90131026,,
ageCat6,0.538903377,0.738409336,0.609728098,0.709731407,0.69329919,0.769871959,0.69267968,0.742340665,,
ageCat7,0.453092962,0.604070727,0.518154749,0.577188562,0.554465191,0.599443826,0.612935148,0.561839859,,
ageCat8,0.403819311,0.548214803,0.467205438,0.527050642,0.568119773,0.450295681,0.488538647,0.396736746,,
, , , , , , , , , ,
ageCat1,0.268309445,0.12896752,0.4506676,0.230292445,0.781176142,0.255445946,0.955010495,0.354532197,relative.cycle.time,
ageCat2,1.494196748,0.753567499,1.824167576,0.862973115,2.35386972,1.011157394,2.390780905,1.190153337,,
ageCat3,2.063387372,1,2.234589195,1,2.415608737,1,2.268622387,1,,
ageCat4,1.791061851,0.608222739,1.871376122,0.721111119,1.883029194,0.697292876,2.000474105,0.682224277,,
ageCat5,1.553148103,0.528799047,1.379157573,0.634615283,1.560804691,0.569753,1.416102789,0.575411522,,
ageCat6,0.91139698,0.450152032,1.023475021,0.488653179,1.135361117,0.547457024,1.161647458,0.427661563,,
ageCat7,0.814664534,0.37986501,0.878157776,0.416334884,0.900366011,0.522244762,1.19468445,0.444127899,,
ageCat8,0.638664878,0.381946455,0.907814334,0.448388588,0.837926638,0.421201873,0.858697357,0.308100472,,
, , , , , , , , , ,
ageCat1,0.999944132,1.000024163,0.999933802,0.999905922,1.00014281,0.999849216,0.999942662,1.000066212,relative.walk.speed,
ageCat2,1.000010409,0.999975646,0.999980904,0.999978143,1.000006805,1.000003483,1.000090464,1.000072347,,
ageCat3,0.999990405,1,1.000019653,1,1.000005757,1,1.000099263,1,,
ageCat4,0.99995613,0.999990615,1.000043729,1.000017324,0.999991932,0.999977896,1.000077039,1.00005599,,
ageCat5,0.99997538,1.000003312,0.999987096,1.00001723,1.000024554,1.000001151,1.000121269,1.000097985,,
ageCat6,1.000038325,0.999981803,1.000056101,1.000085083,0.999919605,0.999971986,1.000124307,1.000149422,,
ageCat7,1.000023715,1.000081754,1.000023616,0.999977544,1.000110023,0.999916965,1.000232455,1.000057791,,
ageCat8,1.000015485,1.000062534,1.000019017,1.000076021,0.999976461,0.999873393,1.000149271,1.000229023,,
, , , , , , , , , ,
ageCat1,1.000040841,1.000101295,0.999945104,0.999904243,0.999972312,1.000147473,0.999996619,1.00000715,relative.cycle.speed,
