"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4","",""
"ageCat1","0.309006778219898","0.467276270912358","0","0","0.256056169949034","0.399921116843892","0.278538596953968","0.25246764537741","relative.walk.time","ELD"
"ageCat2","2.39598873527964","2.47060701416016","0","439.291666666667","2.81255154695183","2.48135672159912","2.25756933241647","1.84487504344506","",""
"ageCat3","1.02849853966904","1","0","1","1.22747037156012","1","0.743372577173384","1","",""
"ageCat4","0.93122117955819","0.895130257480071","0","0","0.992240187473357","0.952057515091756","0.579322242474321","0.708124153998334","",""
"ageCat5","0.953950348562631","0.970628187194811","91.0652173913044","0","1.08230648783473","0.945038197713998","0.688239395856358","0.881882119607038","",""
"ageCat6","0.782836844735428","0.829145872844819","0","0","0.474536906302778","1.02686270085876","0.670064552209036","0.696179351912919","",""
"ageCat7","0.707037721098444","0.78088181850393","101.391891891892","214.565853658537","0.529774566662363","0.416234037454441","0.506446193374849","0.391790240690432","",""
"ageCat8","0.599138407158083","0.747223154161897","0","0","0.433232910590305","0.743625990032615","0.496412681524878","0.877167675935422","",""
"","","","","","","","","","",""
"ageCat1","1.1727150343544","0.202035331776028","0","0","1.01847980519277","0.280933942212589","0.38339957366078","0.18598351203138","relative.cycle.time",""
"ageCat2","3.33465963248873","2.01580562232484","0","17.5416666666667","3.72259249753352","1.79589382097612","4.4068258558941","2.766499529048","",""
"ageCat3","1.82057671622834","1","0","1","2.95626282350319","1","1.33560909819746","1","",""
"ageCat4","0.816876356569562","0.28703179095772","0","0","0.611333662023912","0.303221573409075","1.48137216194614","0.935019425377374","",""
"ageCat5","0.651078259192237","0.215044098764146","0","0","0.560116602748534","0.393141243800716","0.470084485311872","0.222008673773187","",""
"ageCat6","0.653796335971316","0.215560201941245","0","0","1.04020296643247","0.115320319240725","0.0645519690347231","0.450707038025457","",""
"ageCat7","0.570381872977831","0.156102251417646","0","0.760975609756098","0.536640529999142","0","0.569020086067373","0.482221556794275","",""
"ageCat8","0.638065408829028","0.258783386014541","0","0","0","0.865929795089589","0","0","",""
"","","","","","","","","","",""
"ageCat1","1.00021665182536","0.9998578105702","0","0","0.997725850958422","0.998652904805742","0.999669032423133","0.999948206747042","relative.walk.speed",""
"ageCat2","1.00009806608979","1.00005174966182","0","300.104334629612","0.999915775458629","0.999825931648506","1.00016683257911","0.999991981107461","",""
