"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4","",""
"ageCat1","0.358063305054791","0.330752613436015","0","0","0.847070645453914","0.482544135086508","0.521219411444678","0.205143390056842","relative.walk.time","ELD"
"ageCat2","2.07240097619382","2.16810648278443","0","458.00826446281","1.7646855340883","1.89500013335906","1.81021468777769","1.85923702508513","",""
"ageCat3","0.962297088613044","1","0","1","1.08295483791353","1","0.789465662673327","1","",""
"ageCat4","0.902841734440183","0.917672193740527","0","0","0.714844115607874","0.890040900727407","0.728249279253873","0.659501210704112","",""
"ageCat5","0.885320817470534","0.954475193835735","1403.9375","0","0.824082470202932","0.849354229023343","0.718864971935165","0.724426931251821","",""
"ageCat6","0.647915946261155","0.797342726443973","0","0","0.523610666464578","0.707025211393101","0.580689728586555","0.644499779851565","",""
"ageCat7","0.639466884742742","0.708451492345861","228.989637305699","293.129824561403","0.798427794184125","0.394703575988227","0.184666578866984","0.584741826586766","",""
"ageCat8","0.577828583474708","0.664601860259515","261.911111111111","0","0.391174242162943","0.217420997082014","0.263580894082479","0.409752467920937","",""
"","","","","","","","","","",""
"ageCat1","0.312585954277644","0.103574575213086","0","0","0.26412030313541","0.0927198456516287","0.67121233033776","0.298771145231664","relative.cycle.time",""
"ageCat2","3.21635464452781","1.66787992448033","0","41.8347107438017","1.61364310480128","0.835195241120969","5.20704306201817","1.78504004040008","",""
"ageCat3","1.58869807727309","1","0","1","0.996639706693811","1","2.17675181596093","1","",""
"ageCat4","0.697332157709318","0.215097755075036","0","0","0.315442294932289","0.174273919828192","1.05337182855986","0.397686308691301","",""
"ageCat5","0.67368470913566","0.226096031579747","0","0","0.45326060548712","0.0941331373793805","0.464038647736148","0.325791697368829","",""
"ageCat6","0.406243809989516","0.233050248006323","0","0","0.220543427860157","0.351067473221738","1.17654755119353","0.799352736818046","",""
"ageCat7","0.460034326729045","0.216493416306387","12.6735751295337","0","0.310674455895341","0.153219353102571","3.44454108886626","1.14590270435679","",""
"ageCat8","0.455175209498856","0.161786507711998","97.0333333333333","0","0.329142101473555","0.20250460581458","0.206364425495987","0","",""
"","","","","","","","","","",""
"ageCat1","1.00059094121083","1.00008022399123","0","0","0.99990160087325","0.999965261079899","1.00020509992561","0.999713984910995","relative.walk.speed",""
"ageCat2","1.00035189754631","1.00026881402546","0","300.330211660261","0.999802253343156","0.999975340037496","1.00006964132781","0.999611531876873","",""
"ageCat3","1.00020653568169","1","0","1","1.0000136736251","1","1.0001069526624","1","",""
"ageCat4","1.00027838201722","1.00024235940392","0","0","0.999595532263307","0.999963702494399","0.999831665923607","0.999824047812803","",""
"ageCat5","1.00006660328001","1.00022383247993","300.138004718871","0","1.00031413356927","0.999774426638115","1.00030036535898","1.00005685833176","",""
"ageCat6","1.00026455562645","1.00000138963658","0","0","0.999689920424342","0.999941847852859","0.99931154112063","1.00035359907628","",""
"ageCat7","1.00014340661551","1.00022757961327","300.033940491006","300.064638146082","1.00057399482985","0.999519890634591","1.00275203440138","1.00003881210526","",""
"ageCat8","1.00000270800954","0.999828388142271","300.356354997455","0","1.00131884624937","0.997931285190132","1.00293928795014","1.00153876396366","",""
"","","","","","","","","","",""
"ageCat1","0.999747621315346","1.00019124054035","0","0","1.00062333733994","1.00642925811444","0.999493059771501","0.999619166943127","relative.cycle.speed",""
"ageCat2","0.999971970088951","0.999946296316534","0","1000.39510075069","0.999791678703484","1.00023335762281","1.00008849641393","0.999973813972425","",""
"ageCat3","0.999956608283025","1","0","1","0.999968583849713","1","1.0000073978277","1","",""
"ageCat4","1.00003752083691","0.999940132502691","0","0","1.00055356998736","0.999789452342804","0.99994325224936","0.999957275912159","",""
"ageCat5","0.999968975820231","0.999992797083174","0","0","1.00018552065968","0.999801053727989","1.00000879620047","0.999639929902666","",""
"ageCat6","0.999912828069815","0.999855542284","0","0","1.00019890549828","1.00025092714691","1.00035566526511","1.00017197880989","",""
"ageCat7","1.00003162502242","1.00009404698491","1000.81766148814","0","1.00009959151811","0.999950099800399","0.99963810665716","1.00002704199574","",""
