,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.383267292,0.410089705,0,0,0.163825035,0.215918252,0.215323177,0.407697178,relative.walk.time,ELD
ageCat2,2.248347818,2.132330653,0,337.9615385,2.039907769,1.885734169,2.19452823,2.307938245,,
ageCat3,1.070302531,1,0,1,1.207322911,1,0.854561444,1,,
ageCat4,0.856589869,0.751267978,0,0,0.598335084,0.648812541,0.75782163,0.872090465,,
ageCat5,0.735596873,0.732812915,33.9375,0,0.508157171,0.497881514,0.689336169,0.614586866,,
ageCat6,0.511980543,0.536089192,0,0,0.736184506,0.759258299,0.888477993,0.465478292,,
ageCat7,0.402792709,0.575586787,151.6607143,85.63580247,0.163506475,0.632377229,0.713976844,0.131635199,,
ageCat8,0.398672972,0.599764417,0,0,0.263141407,0.700122219,0.373807324,0.762456987,,
, , , , , , , , , ,
ageCat1,0.619829464,0.273970576,0,0,0.80907031,1.111798168,0.700611061,0.386924371,relative.cycle.time,
ageCat2,3.728484079,2.310502295,0,34.71794872,2.103095459,0.695675593,3.583744997,1.310239406,,
ageCat3,1.83597874,1,0,1,1.776060775,1,1.187280682,1,,
ageCat4,0.763294783,0.317120377,0,0,0.36211782,0.344185799,0.939346598,0.505230647,,
ageCat5,0.627025439,0.24822751,0,0,0.646565647,0.111601157,0.544323518,0.255119539,,
ageCat6,0.578670425,0.353464672,0,0,0.168614852,0.173974393,0.057872432,0.355026102,,
ageCat7,0.225129929,0.201769773,3.071428571,0,0.107196597,0.163458245,0,0,,
ageCat8,0.259771996,0.151506565,0,0,0,0,0,0.153551438,,
, , , , , , , , , ,
ageCat1,1.000396788,0.999955669,0,0,0.999212075,1.000839192,0.999792757,0.999598564,relative.walk.speed,
ageCat2,1.000117458,1.000089488,0,300.8990554,0.999179572,0.999519925,0.999724361,0.999550317,,
ageCat3,1.000257161,1,0,1,0.999495692,1,0.999807906,1,,
ageCat4,1.000179818,1.000203986,0,0,0.999933156,0.999492228,1.000218555,0.999887247,,
ageCat5,0.999987596,1.000320629,298.3425414,0,1.000152877,0.999744284,0.999750262,1.000275993,,
ageCat6,1.000030913,1.000096725,0,0,0.998963001,0.999706967,0.999302141,1.000246975,,
ageCat7,0.999977104,1.000354567,300.6004945,300.1513732,1.001155536,1.000084445,0.999637134,1.00145589,,
