"","p1","p2","p3","p4","p5","Demo.Cat"
"maleAgeClass 1","0","0","0","0","0","cat1"
"maleAgeClass 2","0","0","0","0","0"," "
"maleAgeClass 3","75","75","75","75","75"," "
"maleAgeClass 4","67.7","67.7","67.7","67.7","67.7"," "
"maleAgeClass 5","39.7375","39.7375","39.7375","39.7375","39.7375"," "
"maleAgeClass 6","6","6","6","6","6"," "
"maleAgeClass 7","2.91666666666667","2.91666666666667","2.91666666666667","2.91666666666667","2.91666666666667"," "
"maleAgeClass 8","1.25","1.25","1.25","1.25","1.25"," "
"femaleAgeClass 1","0","0","0","0","0"," "
"femaleAgeClass 2","0","0","0","0","0"," "
"femaleAgeClass 3","32.75625","32.75625","32.75625","32.75625","32.75625"," "
"femaleAgeClass 4","35.9375","35.9375","35.9375","35.9375","35.9375"," "
"femaleAgeClass 5","25.6","25.6","25.6","25.6","25.6"," "
"femaleAgeClass 6","6","6","6","6","6"," "
"femaleAgeClass 7","1.66666666666667","1.66666666666667","1.66666666666667","1.66666666666667","1.66666666666667"," "
"femaleAgeClass 8","0","0","0","0","0"," "
""," "," "," "," "," "," "
"maleAgeClass 1","0","0","0","0","0","cat2"
"maleAgeClass 2","0","0","0","0","0"," "
"maleAgeClass 3","74.4","74.4","74.4","74.4","74.4"," "
"maleAgeClass 4","79.01875","79.01875","79.01875","79.01875","79.01875"," "
"maleAgeClass 5","75","75","75","75","75"," "
"maleAgeClass 6","28.75","28.75","28.75","28.75","28.75"," "
"maleAgeClass 7","5.83333333333333","5.83333333333333","5.83333333333333","5.83333333333333","5.83333333333333"," "
"maleAgeClass 8","2.5","2.5","2.5","2.5","2.5"," "
"femaleAgeClass 1","0","0","0","0","0"," "
"femaleAgeClass 2","0","0","0","0","0"," "
"femaleAgeClass 3","39.4","39.4","39.4","39.4","39.4"," "
"femaleAgeClass 4","39.4","39.4","39.4","39.4","39.4"," "
"femaleAgeClass 5","41.35","41.35","41.35","41.35","41.35"," "
"femaleAgeClass 6","18","18","18","18","18"," "
"femaleAgeClass 7","5","5","5","5","5"," "
"femaleAgeClass 8","1.25","1.25","1.25","1.25","1.25"," "
""," "," "," "," "," "," "
"maleAgeClass 1","0","0","0","0","0","cat3"
"maleAgeClass 2","0","0","0","0","0"," "
"maleAgeClass 3","68.6375","68.6375","68.6375","68.6375","68.6375"," "
"maleAgeClass 4","76.7875","76.7875","76.7875","76.7875","76.7875"," "
"maleAgeClass 5","71.6","71.6","71.6","71.6","71.6"," "
"maleAgeClass 6","28.125","28.125","28.125","28.125","28.125"," "
"maleAgeClass 7","10","10","10","10","10"," "
"maleAgeClass 8","3.5","3.5","3.5","3.5","3.5"," "
"femaleAgeClass 1","0","0","0","0","0"," "
"femaleAgeClass 2","0","0","0","0","0"," "
"femaleAgeClass 3","40.1916666666667","40.1916666666667","40.1916666666667","40.1916666666667","40.1916666666667"," "
"femaleAgeClass 4","41.3","41.3","41.3","41.3","41.3"," "
"femaleAgeClass 5","43.2","43.2","43.2","43.2","43.2"," "
"femaleAgeClass 6","30","30","30","30","30"," "
"femaleAgeClass 7","5","5","5","5","5"," "
"femaleAgeClass 8","1.77083333333333","1.77083333333333","1.77083333333333","1.77083333333333","1.77083333333333"," "
""," "," "," "," "," "," "
"maleAgeClass 1","0","0","0","0","0","cat4"
"maleAgeClass 2","0","0","0","0","0"," "
"maleAgeClass 3","66.5","66.5","66.5","66.5","66.5"," "
"maleAgeClass 4","70.01875","70.01875","70.01875","70.01875","70.01875"," "
"maleAgeClass 5","63.15","63.15","63.15","63.15","63.15"," "
"maleAgeClass 6","43.9583333333333","43.9583333333333","43.9583333333333","43.9583333333333","43.9583333333333"," "
"maleAgeClass 7","15","15","15","15","15"," "
"maleAgeClass 8","7.16666666666667","7.16666666666667","7.16666666666667","7.16666666666667","7.16666666666667"," "
"femaleAgeClass 1","0","0","0","0","0"," "
"femaleAgeClass 2","0","0","0","0","0"," "
"femaleAgeClass 3","41.3","41.3","41.3","41.3","41.3"," "
"femaleAgeClass 4","42.1875","42.1875","42.1875","42.1875","42.1875"," "
"femaleAgeClass 5","45","45","45","45","45"," "
"femaleAgeClass 6","28.0625","28.0625","28.0625","28.0625","28.0625"," "
"femaleAgeClass 7","8.33333333333333","8.33333333333333","8.33333333333333","8.33333333333333","8.33333333333333"," "
"femaleAgeClass 8","2.5","2.5","2.5","2.5","2.5"," "
