Age,deaths,yll,yld,daly
maleAgeClass 1,92.2825,7839.33,2906.0929,10745.4281
maleAgeClass 2,77.96701,5888.057,94562.357,100450.405
maleAgeClass 3,961.09053,59322.483,282124.9381,341447.479
maleAgeClass 4,7658.83963,357360.685,389050.152,746410.465
maleAgeClass 5,50104.708,1673688.74,617077.63,2290765.92
maleAgeClass 6,64657.573,1497171.6,376639.95,1873811.5
maleAgeClass 7,88928.73,1297377.5,297294.87,1594673.4
maleAgeClass 8,189693.17,1207432.6,330840.22,1538272.9
femaleAgeClass 1,73.6685,6255.7,2455.0674,8710.7506
femaleAgeClass 2,59.96997,4552.859,146826.836,151379.689
femaleAgeClass 3,599.02392,36814.793,427302.8643,464117.625
femaleAgeClass 4,6179.25163,288794.632,565627.576,854422.066
femaleAgeClass 5,33707.0326,1126738.24,853493.3,1980231.67
femaleAgeClass 6,47583.696,1096772.6,506035.8,1602806.8
femaleAgeClass 7,81804.98,1178560,424035.05,1602594.9
femaleAgeClass 8,341512.7,1869989.7,646940.1,2516920.8
