,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0.333333333,0,0,0
maleAgeClass 2,0.333333333,0,0,0
maleAgeClass 3,3,0,0,0
maleAgeClass 4,5.333333333,0,0,1
maleAgeClass 5,59.66666667,0.181532091,3.333333333,1.666666667
maleAgeClass 6,71.33333333,0.094791894,3,2
maleAgeClass 7,94.66666667,4.370013152,1,4
maleAgeClass 8,196,2.708737864,2.666666667,6
femaleAgeClass 1,0,0,0,0
femaleAgeClass 2,0,0,0,0
femaleAgeClass 3,2,0,0,0
femaleAgeClass 4,3,0,0,0
femaleAgeClass 5,27.33333333,0,0.666666667,0
femaleAgeClass 6,39,0,0.666666667,1.333333333
femaleAgeClass 7,90.33333333,4.152552926,3.333333333,3.333333333
femaleAgeClass 8,278,0.871862616,4.333333333,8.666666667
