,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,1.333333333,0.318265409,1,2
maleAgeClass 2,1,0.32095702,0,0.666666667
maleAgeClass 3,19,7.876128652,6.666666667,10.33333333
maleAgeClass 4,41,17.77084262,15.33333333,18.33333333
maleAgeClass 5,339.3333333,79.63585921,45.33333333,52
maleAgeClass 6,431.6666667,81.80540423,77.33333333,48.33333333
maleAgeClass 7,588.3333333,79.75274003,85.33333333,64
maleAgeClass 8,1230.333333,75.14563107,189,98.33333333
femaleAgeClass 1,0.333333333,1.654983571,0.333333333,2
femaleAgeClass 2,0,0,0,0
femaleAgeClass 3,7.666666667,3.818728695,1,4
femaleAgeClass 4,23,16.1033924,7.666666667,8.333333333
femaleAgeClass 5,191.3333333,77.89355415,31.33333333,28.66666667
femaleAgeClass 6,309.6666667,65.96273587,50.66666667,32.66666667
femaleAgeClass 7,522.6666667,75.10481527,77.66666667,45
femaleAgeClass 8,1956,144.7291942,212,112.6666667
