,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0,0.008779735,0,0.333333333
maleAgeClass 2,0,0.004778973,0,0
maleAgeClass 3,2.666666667,0.185895544,0,0.666666667
maleAgeClass 4,4,0.306732055,1,3
maleAgeClass 5,28.66666667,1.162939959,4.666666667,5.666666667
maleAgeClass 6,37.33333333,0,5.333333333,3
maleAgeClass 7,48,0,10,6
maleAgeClass 8,99.33333333,0,10.33333333,9.666666667
femaleAgeClass 1,0,0,0,0.333333333
femaleAgeClass 2,0,0,0,0
femaleAgeClass 3,1.333333333,0.076732839,0,1
femaleAgeClass 4,2.333333333,0.168522294,0.666666667,1.666666667
femaleAgeClass 5,16.33333333,0.957643292,1.333333333,1.666666667
femaleAgeClass 6,29,0.620466752,3,1
femaleAgeClass 7,40.33333333,0,5.333333333,3.666666667
femaleAgeClass 8,157.6666667,0,16.66666667,8
