,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0.333333333,0.333333333,0,0
maleAgeClass 2,0.333333333,0.333333333,0,0
maleAgeClass 3,3,9,0,0
maleAgeClass 4,5.333333333,20,0,1
maleAgeClass 5,59.66666667,91.33333333,3.333333333,1.666666667
maleAgeClass 6,71.33333333,87,3,2
maleAgeClass 7,94.66666667,89,1,4
maleAgeClass 8,196,90,2.666666667,6
femaleAgeClass 1,0,1.666666667,0,0
femaleAgeClass 2,0,0,0,0
femaleAgeClass 3,2,4,0,0
femaleAgeClass 4,3,17.33333333,0,0
femaleAgeClass 5,27.33333333,85,0.666666667,0
femaleAgeClass 6,39,71.33333333,0.666666667,1.333333333
femaleAgeClass 7,90.33333333,82.33333333,3.333333333,3.333333333
femaleAgeClass 8,278,146.6666667,4.333333333,8.666666667
