,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0,0,0,0
maleAgeClass 2,0,0.003063444,0,0.333333333
maleAgeClass 3,0.333333333,0.671879611,0.666666667,2
maleAgeClass 4,4.666666667,0.995095854,1.333333333,4.333333333
maleAgeClass 5,33,6.722360248,5,7.333333333
maleAgeClass 6,48.66666667,0.682501634,2,9.333333333
maleAgeClass 7,69.66666667,4.174923279,4.333333333,12.33333333
maleAgeClass 8,133.6666667,12.14563107,9.666666667,18.33333333
femaleAgeClass 1,0,0,0.333333333,0.666666667
femaleAgeClass 2,0,0,0,0.333333333
femaleAgeClass 3,1,0.017378517,0,1.333333333
femaleAgeClass 4,3,0.63059955,2.333333333,0
femaleAgeClass 5,24.33333333,3.453795481,2.666666667,3.666666667
femaleAgeClass 6,38,1.078188127,3.333333333,4
femaleAgeClass 7,53.66666667,3.075965131,6.333333333,15
femaleAgeClass 8,230.6666667,1.065609864,13.66666667,26
