,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0.333333333,0.006288189,0,0
maleAgeClass 2,0,0.004043746,0,0
maleAgeClass 3,1,0.122691059,0.333333333,1.666666667
maleAgeClass 4,3.333333333,0.251448952,0,1.333333333
maleAgeClass 5,36,0.873623188,2.666666667,4.666666667
maleAgeClass 6,36.66666667,0,1.666666667,2.333333333
maleAgeClass 7,38.33333333,0,1.333333333,4.333333333
maleAgeClass 8,60,0,1.333333333,3.666666667
femaleAgeClass 1,0,0,0,0
femaleAgeClass 2,0,0,0,0
femaleAgeClass 3,0.666666667,0.051600829,0,0.666666667
femaleAgeClass 4,2.333333333,0.125032669,0,0.666666667
femaleAgeClass 5,18.66666667,0.659360955,0.666666667,1.666666667
femaleAgeClass 6,22.33333333,0.528922477,0.666666667,0.666666667
femaleAgeClass 7,36.33333333,0,2.333333333,2.666666667
femaleAgeClass 8,78.66666667,0,5.333333333,6.666666667
