"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",0.333333333333333,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0,2,0.666666666666667,0.333333333333333
"maleAgeClass 4",1.33333333333333,2.66666666666667,0.666666666666667,0.333333333333333
"maleAgeClass 5",10,17,11,6
"maleAgeClass 6",13,13.3333333333333,10.3333333333333,5
"maleAgeClass 7",17,12.3333333333333,13.3333333333333,3.33333333333333
"maleAgeClass 8",17,34.3333333333333,9.33333333333333,4.66666666666667
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0,1,0,0.333333333333333
"femaleAgeClass 4",0.333333333333333,1.33333333333333,1,1
"femaleAgeClass 5",6.33333333333333,6.66666666666667,4.66666666666667,3.33333333333333
"femaleAgeClass 6",7,11.6666666666667,3.66666666666667,2.66666666666667
"femaleAgeClass 7",19.6666666666667,13.3333333333333,7,2
"femaleAgeClass 8",32.6666666666667,39.3333333333333,14.3333333333333,6
