"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0.333333333333333,0,0,0
"maleAgeClass 4",7,0,0.333333333333333,0.333333333333333
"maleAgeClass 5",29.3333333333333,1.33333333333333,2.33333333333333,1.33333333333333
"maleAgeClass 6",44.3333333333333,0.333333333333333,3,3.33333333333333
"maleAgeClass 7",72,0,2.33333333333333,5
"maleAgeClass 8",179.333333333333,2,8,6
"femaleAgeClass 1",0.333333333333333,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0,0,0,0
"femaleAgeClass 4",3.66666666666667,0,1,0
"femaleAgeClass 5",21,0.666666666666667,0.666666666666667,1.66666666666667
"femaleAgeClass 6",39.6666666666667,0.666666666666667,2.66666666666667,2.33333333333333
"femaleAgeClass 7",65.3333333333333,0.333333333333333,2,1.66666666666667
"femaleAgeClass 8",276.333333333333,0.666666666666667,9.33333333333333,8.66666666666667
