"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0,0.333333333333333,0.666666666666667,1.33333333333333
"maleAgeClass 4",10,4.66666666666667,4.66666666666667,3.66666666666667
"maleAgeClass 5",110.666666666667,27,15.6666666666667,18
"maleAgeClass 6",152,27.3333333333333,26.3333333333333,16
"maleAgeClass 7",202.333333333333,29.6666666666667,29,24
"maleAgeClass 8",519.666666666667,35.6666666666667,68.6666666666667,42.6666666666667
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",1.33333333333333,0,0.333333333333333,0.333333333333333
"femaleAgeClass 4",10,5.33333333333333,3,2.66666666666667
"femaleAgeClass 5",72.6666666666667,30,12.6666666666667,13.6666666666667
"femaleAgeClass 6",103.666666666667,25.6666666666667,21,11.6666666666667
"femaleAgeClass 7",181,31.6666666666667,28,18.3333333333333
"femaleAgeClass 8",901,62.6666666666667,80,50.3333333333333
